Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Hubei,Mainland China,1/25/2020 00:00,729.0,39.0,32.0,
Guangdong,Mainland China,1/25/2020 00:00,78.0,,2.0,
Zhejiang,Mainland China,1/25/2020 00:00,62.0,,1.0,
Chongqing,Mainland China,1/25/2020 00:00,57.0,,,
Hunan,Mainland China,1/25/2020 00:00,43.0,,,
Anhui,Mainland China,1/25/2020 00:00,39.0,,,4.0
Beijing,Mainland China,1/25/2020 00:00,36.0,,1.0,
Shanghai,Mainland China,1/25/2020 00:00,33.0,,1.0,22.0
Henan,Mainland China,1/25/2020 00:00,32.0,,,1.0
Sichuan,Mainland China,1/25/2020 00:00,28.0,,,4.0
Guangxi,Mainland China,1/25/2020 00:00,23.0,,,
Shandong,Mainland China,1/25/2020 00:00,21.0,,,
Jiangxi,Mainland China,1/25/2020 00:00,18.0,,,
Jiangsu,Mainland China,1/25/2020 00:00,18.0,,1.0,
Hainan,Mainland China,1/25/2020 00:00,17.0,,,
Liaoning,Mainland China,1/25/2020 00:00,15.0,,,
Fujian,Mainland China,1/25/2020 00:00,10.0,,,4.0
Heilongjiang,Mainland China,1/25/2020 00:00,9.0,1.0,,
Tianjin,Mainland China,1/25/2020 00:00,8.0,,,
Hebei,Mainland China,1/25/2020 00:00,8.0,1.0,,
Shanxi,Mainland China,1/25/2020 00:00,6.0,,,
Yunnan,Mainland China,1/25/2020 00:00,5.0,,,
Hong Kong,Hong Kong,1/25/2020 00:00,5.0,,,36.0
Shaanxi,Mainland China,1/25/2020 00:00,5.0,,,
Guizhou,Mainland China,1/25/2020 00:00,4.0,,,
Jilin,Mainland China,1/25/2020 00:00,4.0,,,
Gansu,Mainland China,1/25/2020 00:00,4.0,,,
Ningxia,Mainland China,1/25/2020 00:00,3.0,,,1.0
Taiwan,Taiwan,1/25/2020 00:00,3.0,,,
Xinjiang,Mainland China,1/25/2020 00:00,3.0,,,
Macau,Macau,1/25/2020 00:00,2.0,,,
Inner Mongolia,Mainland China,1/25/2020 00:00,2.0,,,
Qinghai,Mainland China,1/25/2020 00:00,,,,1.0
WA,US,1/25/2020 00:00,1.0,,,
Illinois,US,1/25/2020 00:00,1.0,,,
,Japan,1/25/2020 00:00,2.0,,,
,Thailand,1/25/2020 00:00,5.0,,,
,South Korea,1/25/2020 00:00,2.0,,,
,Singapore,1/25/2020 00:00,3.0,,,
,Vietnam,1/25/2020 00:00,2.0,,,
,France,1/25/2020 00:00,3.0,,,
,Australia,1/25/2020 00:00,1.0,,,
,Nepal,1/25/2020 00:00,1.0,,,
,Malaysia,1/25/2020 00:00,3.0,,,
