Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated,lat,lon
Hubei,China,02/02/2020 14:00,9074,294,267,,2020-02-02 14:00:00,31.1517252,112.8783222
Zhejiang,China,02/02/2020 14:00,661,0,32,,2020-02-02 14:00:00,29.0000001,119.9999999
Guangdong,China,02/02/2020 14:00,632,0,15,,2020-02-02 14:00:00,23.1357694,113.1982688
Henan,China,02/02/2020 14:00,493,2,10,,2020-02-02 14:00:00,34.0000001,113.9999999
Hunan,China,02/02/2020 14:00,463,0,16,,2020-02-02 14:00:00,27.6662087,111.7487063
Anhui,China,02/02/2020 14:00,340,0,7,,2020-02-02 14:00:00,32.0,117.0
Jiangxi,China,02/02/2020 14:00,333,0,12,,2020-02-02 14:00:00,28.0,116.0
Chongqing,China,02/02/2020 14:00,275,1,7,,2020-02-02 14:00:00,29.5585712,106.5492822
Jiangsu,China,02/02/2020 14:00,236,0,7,,2020-02-02 14:00:00,33.0000001,119.9999999
Sichuan,China,02/02/2020 14:00,231,1,11,,2020-02-02 14:00:00,30.5000001,102.4999999
Shandong,China,02/02/2020 14:00,230,0,6,,2020-02-02 14:00:00,36.0000001,118.9999999
Beijing,China,02/02/2020 14:00,191,1,9,,2020-02-02 14:00:00,39.906217,116.3912757
Shanghai,China,02/02/2020 14:00,182,1,10,,2020-02-02 14:00:00,31.2252985,121.4890497
Fujian,China,02/02/2020 14:00,159,0,0,,2020-02-02 14:00:00,26.5450001,117.842778
Shaanxi,China,02/02/2020 14:00,116,0,0,,2020-02-02 14:00:00,36.0,109.0
Guangxi,China,02/02/2020 14:00,111,0,2,,2020-02-02 14:00:00,24.0,109.0
Hebei,China,02/02/2020 14:00,104,1,3,,2020-02-02 14:00:00,39.0000001,116.0
Heilongjiang,China,02/02/2020 14:00,95,2,2,,2020-02-02 14:00:00,48.0000047,127.999992
Yunnan,China,02/02/2020 14:00,105,0,3,,2020-02-02 14:00:00,25.0,102.0
Liaoning,China,02/02/2020 14:00,70,0,1,,2020-02-02 14:00:00,40.9739116,122.3263915
Hainan,China,02/02/2020 14:00,64,1,4,,2020-02-02 14:00:00,19.2000001,109.5999999
Shanxi,China,02/02/2020 14:00,56,0,2,,2020-02-02 14:00:00,37.0,112.0
Tianjin,China,02/02/2020 14:00,48,0,1,,2020-02-02 14:00:00,39.1235635,117.1980785
Gansu,China,02/02/2020 14:00,40,0,3,,2020-02-02 14:00:00,38.0000001,101.9999999
Guizhou,China,02/02/2020 14:00,38,0,2,,2020-02-02 14:00:00,27.0,107.0
Ningxia,China,02/02/2020 14:00,28,0,0,,2020-02-02 14:00:00,37.3095528,105.9608553
Inner Mongolia,China,02/02/2020 14:00,27,0,1,,2020-02-02 14:00:00,43.2443242,114.3251664
Jilin,China,02/02/2020 14:00,23,0,1,,2020-02-02 14:00:00,42.9995032,125.9816054
Xinjiang,China,02/02/2020 14:00,21,0,0,,2020-02-02 14:00:00,41.7574769,87.1673842
,Japan,02/02/2020 14:00,20,0,1,,2020-02-02 14:00:00,34.9046568,136.6310496
,Thailand,02/02/2020 14:00,19,0,5,,2020-02-02 14:00:00,18.7544594,100.624804
,Singapore,02/02/2020 14:00,18,0,0,,2020-02-02 14:00:00,1.340863,103.8303918
,South Korea,02/02/2020 14:00,15,0,0,,2020-02-02 14:00:00,36.5581914,127.9408564
Hong Kong,Hong Kong,02/02/2020 14:00,14,0,0,,2020-02-02 14:00:00,22.2793278,114.1628131
Taiwan,Taiwan,02/02/2020 14:00,10,0,0,,2020-02-02 14:00:00,23.9739374,120.9820179
Qinghai,China,02/02/2020 14:00,11,0,0,,2020-02-02 14:00:00,35.4070952,95.9521157
