Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City,Date_last_updated_AEDT,lat,lon
Hubei,China,02/17/2020 21:00,59989,1789,7862,,2020-02-18 13:00:00,31.1517252,112.8783222
Guangdong,China,02/17/2020 21:00,1328,4,530,,2020-02-18 13:00:00,23.1357694,113.1982688
Henan,China,02/17/2020 21:00,1257,19,505,,2020-02-18 13:00:00,34.0000001,113.9999999
Zhejiang,China,02/17/2020 21:00,1172,0,514,,2020-02-18 13:00:00,29.0000001,119.9999999
Hunan,China,02/17/2020 21:00,1007,4,501,,2020-02-18 13:00:00,27.6662087,111.7487063
Anhui,China,02/17/2020 21:00,982,6,293,,2020-02-18 13:00:00,32.0,117.0
Jiangxi,China,02/17/2020 21:00,933,1,310,,2020-02-18 13:00:00,28.0,116.0
Jiangsu,China,02/17/2020 21:00,626,0,263,,2020-02-18 13:00:00,33.0000001,119.9999999
Chongqing,China,02/17/2020 21:00,553,5,225,,2020-02-18 13:00:00,29.5585712,106.5492822
Shandong,China,02/17/2020 21:00,543,2,193,,2020-02-18 13:00:00,36.0000001,118.9999999
Sichuan,China,02/17/2020 21:00,508,3,163,,2020-02-18 13:00:00,30.5000001,102.4999999
Heilongjiang,China,02/17/2020 21:00,464,11,85,,2020-02-18 13:00:00,48.0000047,127.999992
Beijing,China,02/17/2020 21:00,387,4,122,,2020-02-18 13:00:00,39.906217,116.3912757
Yokohama,Japan,02/17/2020 21:00,454,0,17,,2020-02-18 13:00:00,35.444991,139.636768
Shanghai,China,02/17/2020 21:00,333,1,161,,2020-02-18 13:00:00,31.2252985,121.4890497
Hebei,China,02/17/2020 21:00,302,4,123,,2020-02-18 13:00:00,39.0000001,116.0
Fujian,China,02/17/2020 21:00,290,0,91,,2020-02-18 13:00:00,26.5450001,117.842778
Guangxi,China,02/17/2020 21:00,242,2,58,,2020-02-18 13:00:00,24.0,109.0
Shaanxi,China,02/17/2020 21:00,240,0,79,,2020-02-18 13:00:00,36.0,109.0
