Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
Hubei,Mainland China,2/24/2020 20:00,64786,2563,18854,
Guangdong,Mainland China,2/24/2020 20:00,1345,6,786,
Zhejiang,Mainland China,2/24/2020 20:00,1205,1,782,
Shandong,Mainland China,2/24/2020 20:00,755,6,343,
Henan,Mainland China,2/24/2020 20:00,1271,19,943,
Anhui,Mainland China,2/24/2020 20:00,989,6,663,
Jiangxi,Mainland China,2/24/2020 20:00,934,1,645,
Hunan,Mainland China,2/24/2020 20:00,1016,4,731,
Heilongjiang,Mainland China,2/24/2020 20:00,480,12,227,
Sichuan,Mainland China,2/24/2020 20:00,527,3,276,
Chongqing,Mainland China,2/24/2020 20:00,576,6,349,
Jiangsu,Mainland China,2/24/2020 20:00,631,0,452,
Beijing,Mainland China,2/24/2020 20:00,399,4,198,
Guangxi,Mainland China,2/24/2020 20:00,251,2,112,
Fujian,Mainland China,2/24/2020 20:00,293,1,183,
Shanghai,Mainland China,2/24/2020 20:00,335,3,261,
Hebei,Mainland China,2/24/2020 20:00,311,6,234,
Shaanxi,Mainland China,2/24/2020 20:00,245,1,173,
Yunnan,Mainland China,2/24/2020 20:00,174,2,124,
Tianjin,Mainland China,2/24/2020 20:00,135,3,87,
Hainan,Mainland China,2/24/2020 20:00,168,5,116,
Hong Kong,Hong Kong,2/24/2020 20:00,81,2,18,
Guizhou,Mainland China,2/24/2020 20:00,146,2,102,
Liaoning,Mainland China,2/24/2020 20:00,121,1,80,
Shanxi,Mainland China,2/24/2020 20:00,133,0,94,
Inner Mongolia,Mainland China,2/24/2020 20:00,75,0,34,
Xinjiang,Mainland China,2/24/2020 20:00,76,2,30,
Jilin,Mainland China,2/24/2020 20:00,93,1,60,
Ningxia,Mainland China,2/24/2020 20:00,71,0,58,
Taiwan,Taiwan,2/24/2020 20:00,30,1,5,
Gansu,Mainland China,2/24/2020 20:00,91,2,80,
Macau,Macau,2/24/2020 20:00,10,0,6,
Qinghai,Mainland China,2/24/2020 20:00,18,0,18,
Tibet,Mainland China,2/24/2020 20:00,1,0,1,
Yokohama,Japan,2/24/2020 20:00,691,3,3,
,South Korea,2/24/2020 20:00,833,8,22,
,Italy,2/24/2020 20:00,229,7,1,
,Japan,2/24/2020 20:00,159,1,23,
,Singapore,2/24/2020 20:00,90,0,49,
,Thailand,2/24/2020 20:00,35,0,15,
,Malaysia,2/24/2020 20:00,22,0,18,
,Iran,2/24/2020 20:00,61,12,3,
,Germany,2/24/2020 20:00,16,0,14,
,Vietnam,2/24/2020 20:00,16,0,15,
,France,2/24/2020 20:00,12,1,11,
,United Arab Emirates,2/24/2020 20:00,13,0,3,
,UK,2/24/2020 20:00,13,0,8,
,Philippines,2/24/2020 20:00,3,1,2,
,India,2/24/2020 20:00,3,0,3,
,Russia,2/24/2020 20:00,2,0,2,
,Spain,2/24/2020 20:00,3,0,2,
Brussels,Belgium,2/24/2020 20:00,1,0,1,
,Cambodia,2/24/2020 20:00,1,0,1,
,Egypt,2/24/2020 20:00,1,0,1,
,Finland,2/24/2020 20:00,1,0,1,
,Israel,2/24/2020 20:00,2,0,0,
,Lebanon,2/24/2020 20:00,1,0,0,
,Nepal,2/24/2020 20:00,1,0,1,
,Sri Lanka,2/24/2020 20:00,1,0,1,
,Sweden,2/24/2020 20:00,1,0,0,
,Iraq,2/24/2020 20:00,1,0,0,
,Kuwait,2/24/2020 20:00,5,0,0,
,Afghanistan,2/24/2020 20:00,1,0,0,
,Bahrain,2/24/2020 20:00,2,0,0,
,Oman,2/24/2020 20:00,2,0,0,
British Columbia,Canada,2/24/2020 20:00,6,0,0,
Ontario,Canada,2/24/2020 20:00,5,0,3,
Massachusetts,US,2/24/2020 20:00,1,0,0,Boston
Illinois,US,2/24/2020 20:00,2,0,2,Chicago
Wisconsin,US,2/24/2020 20:00,1,0,0,Madison
WA,US,2/24/2020 20:00,1,0,1,Seattle
California,US,2/24/2020 20:00,10,0,2,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt"
Arizona,US,2/24/2020 20:00,1,0,0,Tempe
Texas,US,2/24/2020 20:00,1,0,0,San Antonio
Nebraska,US,2/24/2020 20:00,36,0,0,
Victoria,Australia,2/24/2020 20:00,6,0,4,
New South Wales,Australia,2/24/2020 20:00,4,0,4,
Queensland,Australia,2/24/2020 20:00,8,0,5,
Western Australia,Australia,2/24/2020 20:00,1,0,0,
South Australia,Australia,2/24/2020 20:00,3,0,2,
