Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,lat,lon
Hubei,China,02/29/2020 03:00,66337,2727,28929,2020-02-29 19:00:00,31.1517252,112.8783222
Guangdong,China,02/29/2020 03:00,1349,7,973,2020-02-29 19:00:00,23.1357694,113.1982688
Zhejiang,China,02/29/2020 03:00,1205,1,989,2020-02-29 19:00:00,29.0000001,119.9999999
Shandong,China,02/29/2020 03:00,756,6,417,2020-02-29 19:00:00,36.0000001,118.9999999
Henan,China,02/29/2020 03:00,1272,21,1162,2020-02-29 19:00:00,34.0000001,113.9999999
Anhui,China,02/29/2020 03:00,990,6,868,2020-02-29 19:00:00,32.0,117.0
Jiangxi,China,02/29/2020 03:00,935,1,811,2020-02-29 19:00:00,28.0,116.0
Hunan,China,02/29/2020 03:00,1018,4,843,2020-02-29 19:00:00,27.6662087,111.7487063
Heilongjiang,China,02/29/2020 03:00,480,13,299,2020-02-29 19:00:00,48.0000047,127.999992
Sichuan,China,02/29/2020 03:00,538,3,350,2020-02-29 19:00:00,30.5000001,102.4999999
Chongqing,China,02/29/2020 03:00,576,6,422,2020-02-29 19:00:00,29.5585712,106.5492822
Jiangsu,China,02/29/2020 03:00,631,0,523,2020-02-29 19:00:00,33.0000001,119.9999999
Beijing,China,02/29/2020 03:00,411,8,271,2020-02-29 19:00:00,39.906217,116.3912757
Guangxi,China,02/29/2020 03:00,252,2,172,2020-02-29 19:00:00,24.0,109.0
Fujian,China,02/29/2020 03:00,296,1,241,2020-02-29 19:00:00,26.5450001,117.842778
Shanghai,China,02/29/2020 03:00,337,3,287,2020-02-29 19:00:00,31.2252985,121.4890497
Hebei,China,02/29/2020 03:00,318,6,277,2020-02-29 19:00:00,39.0000001,116.0
Shaanxi,China,02/29/2020 03:00,245,1,203,2020-02-29 19:00:00,36.0,109.0
Yunnan,China,02/29/2020 03:00,174,2,157,2020-02-29 19:00:00,25.0,102.0
Tianjin,China,02/29/2020 03:00,136,3,105,2020-02-29 19:00:00,39.1235635,117.1980785
Hainan,China,02/29/2020 03:00,168,5,143,2020-02-29 19:00:00,19.2000001,109.5999999
Guizhou,China,02/29/2020 03:00,146,2,112,2020-02-29 19:00:00,27.0,107.0
Liaoning,China,02/29/2020 03:00,121,1,95,2020-02-29 19:00:00,40.9739116,122.3263915
Shanxi,China,02/29/2020 03:00,133,0,113,2020-02-29 19:00:00,37.0,112.0
Inner Mongolia,China,02/29/2020 03:00,75,0,47,2020-02-29 19:00:00,43.2443242,114.3251664
Xinjiang,China,02/29/2020 03:00,76,3,52,2020-02-29 19:00:00,41.7574769,87.1673842
Jilin,China,02/29/2020 03:00,93,1,73,2020-02-29 19:00:00,42.9995032,125.9816054
Ningxia,China,02/29/2020 03:00,73,0,69,2020-02-29 19:00:00,37.3095528,105.9608553
Gansu,China,02/29/2020 03:00,91,2,82,2020-02-29 19:00:00,38.0000001,101.9999999
Qinghai,China,02/29/2020 03:00,18,0,18,2020-02-29 19:00:00,35.4070952,95.9521157
Tibet,China,02/29/2020 03:00,1,0,1,2020-02-29 19:00:00,31.8943432,87.0781371
,South Korea,02/29/2020 03:00,2931,17,24,2020-02-29 19:00:00,35.8713,128.6018
,Italy,02/29/2020 03:00,889,21,46,2020-02-29 19:00:00,45.6209,9.768893
Yokohama,Japan,02/29/2020 03:00,705,6,10,2020-02-29 19:00:00,35.444991,139.636768
,Iran,02/29/2020 03:00,388,34,73,2020-02-29 19:00:00,32.6475314,54.5643516
,Japan,02/29/2020 03:00,236,5,32,2020-02-29 19:00:00,36.5748441,139.2394179
,Singapore,02/29/2020 03:00,98,0,69,2020-02-29 19:00:00,1.340863,103.8303918
Hong Kong,Hong Kong,02/29/2020 03:00,94,2,30,2020-02-29 19:00:00,22.2793278,114.1628131
,Germany,02/29/2020 03:00,60,0,16,2020-02-29 19:00:00,51.0834196,10.4234469
,France,02/29/2020 03:00,57,2,11,2020-02-29 19:00:00,46.603354,1.8883335
,Kuwait,02/29/2020 03:00,45,0,0,2020-02-29 19:00:00,29.2733964,47.4979476
,Thailand,02/29/2020 03:00,41,0,28,2020-02-29 19:00:00,14.8971921,100.83273
,Bahrain,02/29/2020 03:00,38,0,0,2020-02-29 19:00:00,26.1551249,50.5344606
Taiwan,Taiwan,02/29/2020 03:00,39,1,9,2020-02-29 19:00:00,23.9739374,120.9820179
,Spain,02/29/2020 03:00,33,0,2,2020-02-29 19:00:00,39.3262345,-4.8380649
,Malaysia,02/29/2020 03:00,25,0,20,2020-02-29 19:00:00,4.5693754,102.2656823
,UK,02/29/2020 03:00,20,0,8,2020-02-29 19:00:00,54.7023545,-3.2765753
,United Arab Emirates,02/29/2020 03:00,19,0,5,2020-02-29 19:00:00,24.0002488,53.9994829
,Vietnam,02/29/2020 03:00,16,0,16,2020-02-29 19:00:00,13.2904027,108.4265113
,Switzerland,02/29/2020 03:00,15,0,0,2020-02-29 19:00:00,46.7985624,8.2319736
,Sweden,02/29/2020 03:00,11,0,0,2020-02-29 19:00:00,59.6749712,14.5208584
Macau,Macau,02/29/2020 03:00,10,0,8,2020-02-29 19:00:00,22.1757605,113.5514142
,Iraq,02/29/2020 03:00,8,0,0,2020-02-29 19:00:00,33.0955793,44.1749775
,Israel,02/29/2020 03:00,7,0,1,2020-02-29 19:00:00,31.5313113,34.8667654
,Austria,02/29/2020 03:00,6,0,0,2020-02-29 19:00:00,47.2000338,13.199959
,Norway,02/29/2020 03:00,6,0,0,2020-02-29 19:00:00,60.5000209,9.0999715
