Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,3/05/2020  05:00,67466,2902,40479
Guangdong,Mainland China,3/05/2020  05:00,1350,7,1159
Zhejiang,Mainland China,3/05/2020  05:00,1215,1,1118
Shandong,Mainland China,3/05/2020  05:00,758,6,576
Henan,Mainland China,3/05/2020  05:00,1272,22,1239
Anhui,Mainland China,3/05/2020  05:00,990,6,956
Jiangxi,Mainland China,3/05/2020  05:00,935,1,901
Hunan,Mainland China,3/05/2020  05:00,1018,4,933
Heilongjiang,Mainland China,3/05/2020  05:00,481,13,379
Sichuan,Mainland China,3/05/2020  05:00,539,3,418
Chongqing,Mainland China,3/05/2020  05:00,576,6,502
Jiangsu,Mainland China,3/05/2020  05:00,631,0,580
Beijing,Mainland China,3/05/2020  05:00,418,8,297
Guangxi,Mainland China,3/05/2020  05:00,252,2,231
Fujian,Mainland China,3/05/2020  05:00,296,1,270
Shanghai,Mainland China,3/05/2020  05:00,338,3,298
Hebei,Mainland China,3/05/2020  05:00,318,6,301
Shaanxi,Mainland China,3/05/2020  05:00,245,1,222
Yunnan,Mainland China,3/05/2020  05:00,174,2,169
Tianjin,Mainland China,3/05/2020  05:00,136,3,128
Hainan,Mainland China,3/05/2020  05:00,168,5,158
Guizhou,Mainland China,3/05/2020  05:00,146,2,114
Liaoning,Mainland China,3/05/2020  05:00,125,1,106
Shanxi,Mainland China,3/05/2020  05:00,133,0,124
Inner Mongolia,Mainland China,3/05/2020  05:00,75,1,63
Xinjiang,Mainland China,3/05/2020  05:00,76,3,69
Jilin,Mainland China,3/05/2020  05:00,93,1,86
Ningxia,Mainland China,3/05/2020  05:00,74,0,69
Gansu,Mainland China,3/05/2020  05:00,91,2,87
Qinghai,Mainland China,3/05/2020  05:00,18,0,18
Tibet,Mainland China,3/05/2020  05:00,1,0,1
,South Korea,3/05/2020  05:00,5766,35,88
,Italy,3/05/2020  05:00,3089,107,276
,Iran,3/05/2020  05:00,2922,92,552
Yokohama,Japan,3/05/2020  05:00,696,6,212
,Germany,3/05/2020  05:00,349,0,16
,Japan,3/05/2020  05:00,331,6,43
,France,3/05/2020  05:00,285,4,12
,Spain,3/05/2020  05:00,228,2,2
,Singapore,3/05/2020  05:00,112,0,79
Hong Kong,Hong Kong,3/05/2020  05:00,104,2,43
,Switzerland,3/05/2020  05:00,93,0,3
,UK,3/05/2020  05:00,88,0,8
,Norway,3/05/2020  05:00,65,0,0
,Kuwait,3/05/2020  05:00,58,0,0
,Bahrain,3/05/2020  05:00,52,0,1
,Sweden,3/05/2020  05:00,52,0,1
,Malaysia,3/05/2020  05:00,50,0,22
,Thailand,3/05/2020  05:00,47,1,30
Taiwan,Taiwan,3/05/2020  05:00,42,1,12
,Netherlands,3/05/2020  05:00,38,0,0
,Austria,3/05/2020  05:00,37,0,0
,Iraq,3/05/2020  05:00,35,1,0
,India,3/05/2020  05:00,28,0,3
,United Arab Emirates,3/05/2020  05:00,28,0,5
,Iceland,3/05/2020  05:00,26,0,1
Brussels,Belgium,3/05/2020  05:00,23,0,1
,Algeria,3/05/2020  05:00,17,0,0
,San Marino,3/05/2020  05:00,16,0,0
,Vietnam,3/05/2020  05:00,16,0,16
,Denmark,3/05/2020  05:00,15,0,0
,Israel,3/05/2020  05:00,15,0,1
,Lebanon,3/05/2020  05:00,15,0,0
,Oman,3/05/2020  05:00,15,0,2
,Finland,3/05/2020  05:00,12,0,1
Macau,Macau,3/05/2020  05:00,10,0,9
,Croatia,3/05/2020  05:00,10,0,0
,Ecuador,3/05/2020  05:00,10,0,0
,Greece,3/05/2020  05:00,10,0,0
,Czechia,3/05/2020  05:00,8,0,0
,Portugal,3/05/2020  05:00,8,0,0
,Qatar,3/05/2020  05:00,8,0,0
,Belarus,3/05/2020  05:00,6,0,0
,Ireland,3/05/2020  05:00,6,0,0
,Mexico,3/05/2020  05:00,6,0,1
,Romania,3/05/2020  05:00,6,0,1
,Pakistan,3/05/2020  05:00,5,0,0
,Russia,3/05/2020  05:00,4,0,2
,Senegal,3/05/2020  05:00,4,0,0
,Palestine,3/05/2020  05:00,4,0,0
,Philippines,3/05/2020  05:00,3,1,2
,Azerbaijan,3/05/2020  05:00,3,0,0
,Brazil,3/05/2020  05:00,3,0,0
,Georgia,3/05/2020  05:00,3,0,0
,New Zealand,3/05/2020  05:00,3,0,0
,Chile,3/05/2020  05:00,3,0,0
,Egypt,3/05/2020  05:00,2,0,1
,Estonia,3/05/2020  05:00,2,0,0
,Indonesia,3/05/2020  05:00,2,0,0
,Morocco,3/05/2020  05:00,2,0,0
,Saudi Arabia,3/05/2020  05:00,2,0,0
,Bosnia and Herzegovina,3/05/2020  05:00,2,0,0
,Hungary,3/05/2020  05:00,2,0,0
,Afghanistan,3/05/2020  05:00,1,0,0
,Andorra,3/05/2020  05:00,1,0,0
,Armenia,3/05/2020  05:00,1,0,0
,Cambodia,3/05/2020  05:00,1,0,1
