Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,lat,lon
Hubei,China,03/19/2020 23:30,67800,3132,58381,2020-03-20 15:30:00,6287,31.1517252,112.8783222
Beijing,China,03/19/2020 23:30,480,8,380,2020-03-20 15:30:00,92,39.906217,116.3912757
Guangdong,China,03/19/2020 23:30,1378,8,1318,2020-03-20 15:30:00,52,23.1357694,113.1982688
Gansu,China,03/19/2020 23:30,134,2,98,2020-03-20 15:30:00,34,38.0000001,101.9999999
Shanghai,China,03/19/2020 23:30,371,3,326,2020-03-20 15:30:00,42,31.2252985,121.4890497
Sichuan,China,03/19/2020 23:30,540,3,536,2020-03-20 15:30:00,1,30.5000001,102.4999999
Heilongjiang,China,03/19/2020 23:30,483,13,460,2020-03-20 15:30:00,10,48.00000470000001,127.999992
Zhejiang,China,03/19/2020 23:30,1233,1,1217,2020-03-20 15:30:00,15,29.0000001,119.9999999
Shandong,China,03/19/2020 23:30,761,7,747,2020-03-20 15:30:00,7,36.0000001,118.9999999
Shaanxi,China,03/19/2020 23:30,246,3,237,2020-03-20 15:30:00,6,36.0,109.0
Liaoning,China,03/19/2020 23:30,125,1,122,2020-03-20 15:30:00,2,40.9739116,122.3263915
Guangxi,China,03/19/2020 23:30,254,2,250,2020-03-20 15:30:00,2,24.0,109.0
Inner Mongolia,China,03/19/2020 23:30,75,1,74,2020-03-20 15:30:00,0,43.2443242,114.3251664
Hebei,China,03/19/2020 23:30,318,6,310,2020-03-20 15:30:00,2,39.0000001,116.0
Hainan,China,03/19/2020 23:30,168,6,161,2020-03-20 15:30:00,1,19.2000001,109.5999999
Ningxia,China,03/19/2020 23:30,75,0,75,2020-03-20 15:30:00,0,37.3095528,105.9608553
Henan,China,03/19/2020 23:30,1273,22,1250,2020-03-20 15:30:00,1,34.0000001,113.9999999
Jiangsu,China,03/19/2020 23:30,631,0,631,2020-03-20 15:30:00,0,33.0000001,119.9999999
Chongqing,China,03/19/2020 23:30,576,6,570,2020-03-20 15:30:00,0,29.5585712,106.5492822
Guizhou,China,03/19/2020 23:30,146,2,144,2020-03-20 15:30:00,0,27.0,107.0
Tianjin,China,03/19/2020 23:30,137,3,133,2020-03-20 15:30:00,1,39.1235635,117.1980785
Jilin,China,03/19/2020 23:30,93,1,92,2020-03-20 15:30:00,0,42.9995032,125.9816054
Hunan,China,03/19/2020 23:30,1018,4,1014,2020-03-20 15:30:00,0,27.6662087,111.7487063
Anhui,China,03/19/2020 23:30,990,6,984,2020-03-20 15:30:00,0,32.0,117.0
Jiangxi,China,03/19/2020 23:30,935,1,934,2020-03-20 15:30:00,0,28.0,116.0
Fujian,China,03/19/2020 23:30,296,1,295,2020-03-20 15:30:00,0,26.5450001,117.842778
Yunnan,China,03/19/2020 23:30,176,2,172,2020-03-20 15:30:00,2,25.0,102.0
Shanxi,China,03/19/2020 23:30,133,0,133,2020-03-20 15:30:00,0,37.0,112.0
Xinjiang,China,03/19/2020 23:30,76,3,73,2020-03-20 15:30:00,0,41.7574769,87.1673842
Qinghai,China,03/19/2020 23:30,18,0,18,2020-03-20 15:30:00,0,35.40709520000001,95.9521157
Tibet,China,03/19/2020 23:30,1,0,1,2020-03-20 15:30:00,0,31.8943432,87.07813709999998
New South Wales,Australia,03/19/2020 23:30,381,5,4,2020-03-20 15:30:00,372,-33.8548157,151.2164539
Queensland,Australia,03/19/2020 23:30,144,1,9,2020-03-20 15:30:00,134,-27.4689682,153.02349909999995
Victoria,Australia,03/19/2020 23:30,150,0,28,2020-03-20 15:30:00,122,-37.814217600000006,144.9631608
South Australia,Australia,03/19/2020 23:30,42,0,6,2020-03-20 15:30:00,36,-34.9281805,138.5999312
Western Australia,Australia,03/19/2020 23:30,52,1,1,2020-03-20 15:30:00,50,-31.95271210000001,115.8604796
Tasmania,Australia,03/19/2020 23:30,10,0,3,2020-03-20 15:30:00,7,-42.8825088,147.3281233
Australian Capital Territory,Australia,03/19/2020 23:30,4,0,1,2020-03-20 15:30:00,3,-35.488350200000006,149.00269419999995
Northern Territory,Australia,03/19/2020 23:30,1,0,0,2020-03-20 15:30:00,1,-12.46044,130.8410469
New York,US,03/19/2020 23:30,5711,38,0,2020-03-20 15:30:00,5673,40.7127281,-74.0060152
WA,US,03/19/2020 23:30,1377,74,1,2020-03-20 15:30:00,1302,47.2868352,-120.2126139
California,US,03/19/2020 23:30,1042,18,6,2020-03-20 15:30:00,1018,36.7014631,-118.7559974
New Jersey,US,03/19/2020 23:30,742,9,1,2020-03-20 15:30:00,732,40.0757384,-74.4041622
Florida,US,03/19/2020 23:30,432,9,0,2020-03-20 15:30:00,423,27.7567667,-81.4639835
Illinois,US,03/19/2020 23:30,422,4,2,2020-03-20 15:30:00,416,40.0796606,-89.4337288
Louisiana,US,03/19/2020 23:30,392,10,0,2020-03-20 15:30:00,382,30.8703881,-92.007126
Michigan,US,03/19/2020 23:30,334,3,0,2020-03-20 15:30:00,331,43.6211955,-84.6824346
Massachusetts,US,03/19/2020 23:30,328,0,1,2020-03-20 15:30:00,327,42.3788774,-72.03236600000002
Texas,US,03/19/2020 23:30,319,5,0,2020-03-20 15:30:00,314,31.8160381,-99.5120986
Georgia,US,03/19/2020 23:30,288,10,0,2020-03-20 15:30:00,278,32.329380900000004,-83.1137366
Colorado,US,03/19/2020 23:30,277,4,0,2020-03-20 15:30:00,273,38.7251776,-105.6077167
Pennsylvania,US,03/19/2020 23:30,206,1,0,2020-03-20 15:30:00,205,40.9699889,-77.72788309999999
Wisconsin,US,03/19/2020 23:30,160,2,1,2020-03-20 15:30:00,157,44.4308975,-89.6884637
Connecticut,US,03/19/2020 23:30,159,3,0,2020-03-20 15:30:00,156,41.6500201,-72.7342163
North Carolina,US,03/19/2020 23:30,138,0,0,2020-03-20 15:30:00,138,35.6729639,-79.03929190000002
Tennessee,US,03/19/2020 23:30,132,0,0,2020-03-20 15:30:00,132,35.7730076,-86.28200809999998
Ohio,US,03/19/2020 23:30,120,1,0,2020-03-20 15:30:00,119,40.2253569,-82.6881395
Maryland,US,03/19/2020 23:30,107,1,3,2020-03-20 15:30:00,103,39.5162234,-76.9382069
Virginia,US,03/19/2020 23:30,104,2,0,2020-03-20 15:30:00,102,37.1232245,-78.4927721
Nevada,US,03/19/2020 23:30,95,1,0,2020-03-20 15:30:00,94,39.5158825,-116.8537227
Minnesota,US,03/19/2020 23:30,89,0,0,2020-03-20 15:30:00,89,45.98965870000001,-94.6113288
Oregon,US,03/19/2020 23:30,88,3,0,2020-03-20 15:30:00,85,43.9792797,-120.737257
South Carolina,US,03/19/2020 23:30,81,1,0,2020-03-20 15:30:00,80,33.687438799999995,-80.4363743
Utah,US,03/19/2020 23:30,78,0,0,2020-03-20 15:30:00,78,39.4225192,-111.7143584
Alabama,US,03/19/2020 23:30,78,0,0,2020-03-20 15:30:00,78,33.2588817,-86.8295337
Washington DC,US,03/19/2020 23:30,71,0,0,2020-03-20 15:30:00,71,38.89489320000001,-77.0365529
Arkansas,US,03/19/2020 23:30,62,0,0,2020-03-20 15:30:00,62,35.2048883,-92.4479108
Indiana,US,03/19/2020 23:30,60,2,0,2020-03-20 15:30:00,58,40.3270127,-86.1746933
Maine,US,03/19/2020 23:30,52,0,0,2020-03-20 15:30:00,52,45.709097,-68.8590201
Kentucky,US,03/19/2020 23:30,50,2,1,2020-03-20 15:30:00,47,37.5726028,-85.1551411
Mississippi,US,03/19/2020 23:30,50,1,0,2020-03-20 15:30:00,49,32.9715645,-89.7348497
Arizona,US,03/19/2020 23:30,47,0,1,2020-03-20 15:30:00,46,34.395342,-111.7632755
From Diamond Princess cruise,US,03/19/2020 23:30,47,0,0,2020-03-20 15:30:00,47,41.2587459,-95.9383758
Rhode Island,US,03/19/2020 23:30,44,0,0,2020-03-20 15:30:00,44,41.7962409,-71.59923719999998
New Hampshire,US,03/19/2020 23:30,44,0,0,2020-03-20 15:30:00,44,43.4849133,-71.6553992
Oklahoma,US,03/19/2020 23:30,44,1,0,2020-03-20 15:30:00,43,34.9550817,-97.2684063
Iowa,US,03/19/2020 23:30,44,0,0,2020-03-20 15:30:00,44,41.9216734,-93.3122705
Missouri,US,03/19/2020 23:30,41,1,0,2020-03-20 15:30:00,40,38.7604815,-92.5617875
Kansas,US,03/19/2020 23:30,36,1,0,2020-03-20 15:30:00,35,38.27312,-98.5821872
New Mexico,US,03/19/2020 23:30,35,0,0,2020-03-20 15:30:00,35,34.5708167,-105.993007
Nebraska,US,03/19/2020 23:30,32,0,0,2020-03-20 15:30:00,32,41.7370229,-99.5873816
Delaware,US,03/19/2020 23:30,30,0,0,2020-03-20 15:30:00,30,38.6920451,-75.4013315
Hawaii,US,03/19/2020 23:30,26,0,0,2020-03-20 15:30:00,26,21.2160437,-157.975203
Idaho,US,03/19/2020 23:30,23,0,0,2020-03-20 15:30:00,23,43.6447642,-114.0154071
From Grand Princess,US,03/19/2020 23:30,22,1,0,2020-03-20 15:30:00,21,37.7268801,-122.203452
Vermont,US,03/19/2020 23:30,22,2,0,2020-03-20 15:30:00,20,44.5990718,-72.5002608
North Dakota,US,03/19/2020 23:30,19,0,0,2020-03-20 15:30:00,19,47.6201461,-100.540737
Wyoming,US,03/19/2020 23:30,18,0,0,2020-03-20 15:30:00,18,43.1700264,-107.5685348
Montana,US,03/19/2020 23:30,15,0,0,2020-03-20 15:30:00,15,47.3752671,-109.63875790000002
South Dakota,US,03/19/2020 23:30,14,1,0,2020-03-20 15:30:00,13,44.6471761,-100.348761
Alaska,US,03/19/2020 23:30,12,0,0,2020-03-20 15:30:00,12,64.44596130000001,-149.680909
West Virginia,US,03/19/2020 23:30,5,0,0,2020-03-20 15:30:00,5,38.47584060000001,-80.84084150000002
British Columbia,Canada,03/19/2020 23:30,271,8,4,2020-03-20 15:30:00,259,55.001251,-125.002441
Ontario,Canada,03/19/2020 23:30,257,2,5,2020-03-20 15:30:00,250,50.000678,-86.000977
Alberta,Canada,03/19/2020 23:30,146,1,0,2020-03-20 15:30:00,145,55.001251,-115.002136
Quebec,Canada,03/19/2020 23:30,121,1,0,2020-03-20 15:30:00,120,52.4760892,-71.8258668
Saskatchewan,Canada,03/19/2020 23:30,20,0,0,2020-03-20 15:30:00,20,55.5321257,-106.1412243
Manitoba,Canada,03/19/2020 23:30,17,0,0,2020-03-20 15:30:00,17,55.001251,-97.001038
Nova Scotia,Canada,03/19/2020 23:30,14,0,0,2020-03-20 15:30:00,14,45.1960403,-63.1653789
New Brunswick,Canada,03/19/2020 23:30,11,0,0,2020-03-20 15:30:00,11,46.500283,-66.75018299999999
Newfoundland and Labrador,Canada,03/19/2020 23:30,3,0,0,2020-03-20 15:30:00,3,53.82173270000001,-61.2295532
Prince Edward Island,Canada,03/19/2020 23:30,2,0,0,2020-03-20 15:30:00,2,46.5035454,-63.5955171
,Italy,03/19/2020 23:30,41035,3405,4440,2020-03-20 15:30:00,33190,45.6209,9.768892999999998
,Iran,03/19/2020 23:30,18407,1284,5979,2020-03-20 15:30:00,11144,32.6475314,54.56435160000001
,Spain,03/19/2020 23:30,18077,831,1107,2020-03-20 15:30:00,16139,39.3262345,-4.838064900000001
,Germany,03/19/2020 23:30,15320,44,115,2020-03-20 15:30:00,15161,51.0834196,10.4234469
,France,03/19/2020 23:30,10995,372,1295,2020-03-20 15:30:00,9328,46.603354,1.8883335
,South Korea,03/19/2020 23:30,8652,94,2233,2020-03-20 15:30:00,6325,35.8713,128.6018
,Switzerland,03/19/2020 23:30,4222,43,15,2020-03-20 15:30:00,4164,46.7985624,8.231973599999998
,UK,03/19/2020 23:30,3269,144,65,2020-03-20 15:30:00,3060,54.70235450000001,-3.2765753
,Netherlands,03/19/2020 23:30,2460,76,2,2020-03-20 15:30:00,2382,52.5001698,5.7480821
,Austria,03/19/2020 23:30,2196,6,9,2020-03-20 15:30:00,2181,47.2000338,13.199959
Brussels,Belgium,03/19/2020 23:30,1795,21,165,2020-03-20 15:30:00,1609,50.8436709,4.3674367
,Norway,03/19/2020 23:30,1790,7,1,2020-03-20 15:30:00,1782,60.5000209,9.0999715
,Sweden,03/19/2020 23:30,1439,11,16,2020-03-20 15:30:00,1412,59.67497120000001,14.5208584
