Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon
Hubei,China,04/01/2020 04:30,67801,3187,63153,2020-04-01 20:30:00,1461,58500000,31.151725199999998,112.87832220000001
Beijing,China,04/01/2020 04:30,580,8,418,2020-04-01 20:30:00,154,21540000,39.906217,116.3912757
Shanghai,China,04/01/2020 04:30,516,6,341,2020-04-01 20:30:00,169,24280000,31.225298499999997,121.4890497
Guangdong,China,04/01/2020 04:30,1494,8,1356,2020-04-01 20:30:00,130,113460000,23.135769399999997,113.19826880000001
Fujian,China,04/01/2020 04:30,343,1,295,2020-04-01 20:30:00,47,38560000,26.5450001,117.84277800000001
Zhejiang,China,04/01/2020 04:30,1257,1,1226,2020-04-01 20:30:00,30,57370000,29.000000099999998,119.9999999
Tianjin,China,04/01/2020 04:30,174,3,135,2020-04-01 20:30:00,36,15621200,39.1235635,117.1980785
Inner Mongolia,China,04/01/2020 04:30,107,1,74,2020-04-01 20:30:00,32,24710000,43.2443242,114.32516640000001
Shandong,China,04/01/2020 04:30,774,7,753,2020-04-01 20:30:00,14,100472400,36.0000001,118.9999999
Jiangsu,China,04/01/2020 04:30,646,0,631,2020-04-01 20:30:00,15,80400000,33.0000001,119.9999999
Sichuan,China,04/01/2020 04:30,552,3,536,2020-04-01 20:30:00,13,81100000,30.500000099999998,102.4999999
Gansu,China,04/01/2020 04:30,138,2,125,2020-04-01 20:30:00,11,25580000,38.0000001,101.9999999
Shaanxi,China,04/01/2020 04:30,255,3,242,2020-04-01 20:30:00,10,37330000,36.0,109.0
Yunnan,China,04/01/2020 04:30,182,2,172,2020-04-01 20:30:00,8,45970000,25.0,102.0
Liaoning,China,04/01/2020 04:30,140,2,124,2020-04-01 20:30:00,14,43900000,40.9739116,122.3263915
Jilin,China,04/01/2020 04:30,98,1,92,2020-04-01 20:30:00,5,27460000,42.9995032,125.9816054
Hebei,China,04/01/2020 04:30,323,6,310,2020-04-01 20:30:00,7,74700000,39.0000001,116.0
Henan,China,04/01/2020 04:30,1276,22,1251,2020-04-01 20:30:00,3,95590000,34.0000001,113.9999999
Chongqing,China,04/01/2020 04:30,579,6,570,2020-04-01 20:30:00,3,30480000,29.5585712,106.5492822
Heilongjiang,China,04/01/2020 04:30,484,13,469,2020-04-01 20:30:00,2,38310000,48.000004700000005,127.99999199999999
Guangxi,China,04/01/2020 04:30,254,2,250,2020-04-01 20:30:00,2,48380000,24.0,109.0
Shanxi,China,04/01/2020 04:30,137,0,133,2020-04-01 20:30:00,4,36500000,37.0,112.0
Jiangxi,China,04/01/2020 04:30,937,1,935,2020-04-01 20:30:00,1,45200000,28.0,116.0
Hunan,China,04/01/2020 04:30,1018,4,1014,2020-04-01 20:30:00,0,67370000,27.6662087,111.74870630000001
Anhui,China,04/01/2020 04:30,990,6,984,2020-04-01 20:30:00,0,62000000,32.0,117.0
Hainan,China,04/01/2020 04:30,168,6,162,2020-04-01 20:30:00,0,9258000,19.2000001,109.5999999
Guizhou,China,04/01/2020 04:30,147,2,144,2020-04-01 20:30:00,1,34750000,27.0,107.0
Xinjiang,China,04/01/2020 04:30,76,3,73,2020-04-01 20:30:00,0,21810000,41.7574769,87.1673842
Ningxia,China,04/01/2020 04:30,75,0,75,2020-04-01 20:30:00,0,6301000,37.3095528,105.9608553
Qinghai,China,04/01/2020 04:30,18,0,18,2020-04-01 20:30:00,0,5627000,35.40709520000001,95.95211570000001
Tibet,China,04/01/2020 04:30,1,0,1,2020-04-01 20:30:00,0,3180000,31.894343199999998,87.07813709999999
New South Wales,Australia,04/01/2020 04:30,2182,9,4,2020-04-01 20:30:00,2169,7544000,-33.8548157,151.2164539
Queensland,Australia,04/01/2020 04:30,781,3,9,2020-04-01 20:30:00,769,5071000,-27.468968199999996,153.02349909999998
Victoria,Australia,04/01/2020 04:30,968,4,343,2020-04-01 20:30:00,621,6359000,-37.814217600000006,144.9631608
South Australia,Australia,04/01/2020 04:30,367,0,6,2020-04-01 20:30:00,361,1677000,-34.928180499999996,138.5999312
Western Australia,Australia,04/01/2020 04:30,392,2,48,2020-04-01 20:30:00,342,2589000,-31.952712100000003,115.86047959999999
Tasmania,Australia,04/01/2020 04:30,69,2,3,2020-04-01 20:30:00,64,515000,-42.8825088,147.3281233
Australian Capital Territory,Australia,04/01/2020 04:30,84,1,2,2020-04-01 20:30:00,81,412576,-35.488350200000006,149.00269419999998
Northern Territory,Australia,04/01/2020 04:30,18,0,0,2020-04-01 20:30:00,18,211945,-12.46044,130.8410469
,Artania Cruise,04/01/2020 04:30,36,0,0,2020-04-01 20:30:00,36,1300,-32.065715000000004,115.67786299999999
