Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
Hubei,China,04/16/2020 07:00,67803,3222,64435,2020-04-16 22:00:00,146,58500000,31.151725199999998,112.87832220000001,Asia,Worldwide
Heilongjiang,China,04/16/2020 07:00,861,13,471,2020-04-16 22:00:00,377,38310000,48.000004700000005,127.99999199999999,Asia,Worldwide
Shanghai,China,04/16/2020 07:00,628,7,489,2020-04-16 22:00:00,132,24280000,31.225298499999997,121.4890497,Asia,Worldwide
Beijing,China,04/16/2020 07:00,593,8,503,2020-04-16 22:00:00,82,21540000,39.906217,116.3912757,Asia,Worldwide
Guangdong,China,04/16/2020 07:00,1571,8,1471,2020-04-16 22:00:00,92,113460000,23.135769399999997,113.19826880000001,Asia,Worldwide
Inner Mongolia,China,04/16/2020 07:00,193,1,94,2020-04-16 22:00:00,98,24710000,43.2443242,114.32516640000001,Asia,Worldwide
Fujian,China,04/16/2020 07:00,353,1,333,2020-04-16 22:00:00,19,38560000,26.5450001,117.84277800000001,Asia,Worldwide
Shanxi,China,04/16/2020 07:00,194,0,135,2020-04-16 22:00:00,59,36500000,37.0,112.0,Asia,Worldwide
Zhejiang,China,04/16/2020 07:00,1268,1,1244,2020-04-16 22:00:00,23,57370000,29.000000099999998,119.9999999,Asia,Worldwide
Tianjin,China,04/16/2020 07:00,185,3,171,2020-04-16 22:00:00,11,15621200,39.1235635,117.1980785,Asia,Worldwide
Shandong,China,04/16/2020 07:00,784,7,761,2020-04-16 22:00:00,16,100472400,36.0000001,118.9999999,Asia,Worldwide
Jiangsu,China,04/16/2020 07:00,653,0,642,2020-04-16 22:00:00,11,80400000,33.0000001,119.9999999,Asia,Worldwide
Sichuan,China,04/16/2020 07:00,560,3,552,2020-04-16 22:00:00,5,81100000,30.500000099999998,102.4999999,Asia,Worldwide
Liaoning,China,04/16/2020 07:00,145,2,138,2020-04-16 22:00:00,5,43900000,40.9739116,122.3263915,Asia,Worldwide
Yunnan,China,04/16/2020 07:00,184,2,176,2020-04-16 22:00:00,6,45970000,25.0,102.0,Asia,Worldwide
