Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
Hubei,China,04/17/2020 16:30,68128,4512,63487,0,2020-04-18 07:30:00,129,58500000,31.151725199999998,112.87832220000001,Asia,Worldwide
Heilongjiang,China,04/17/2020 16:30,872,13,471,0,2020-04-18 07:30:00,388,38310000,48.000004700000005,127.99999199999999,Asia,Worldwide
Shanghai,China,04/17/2020 16:30,628,7,489,0,2020-04-18 07:30:00,132,24280000,31.225298499999997,121.4890497,Asia,Worldwide
Beijing,China,04/17/2020 16:30,593,8,509,0,2020-04-18 07:30:00,76,21540000,39.906217,116.3912757,Asia,Worldwide
Guangdong,China,04/17/2020 16:30,1577,8,1475,0,2020-04-18 07:30:00,94,113460000,23.135769399999997,113.19826880000001,Asia,Worldwide
Inner Mongolia,China,04/17/2020 16:30,193,1,103,0,2020-04-18 07:30:00,89,24710000,43.2443242,114.32516640000001,Asia,Worldwide
Fujian,China,04/17/2020 16:30,354,1,334,0,2020-04-18 07:30:00,19,38560000,26.5450001,117.84277800000001,Asia,Worldwide
Shanxi,China,04/17/2020 16:30,197,0,135,0,2020-04-18 07:30:00,62,36500000,37.0,112.0,Asia,Worldwide
Zhejiang,China,04/17/2020 16:30,1268,1,1246,0,2020-04-18 07:30:00,21,57370000,29.000000099999998,119.9999999,Asia,Worldwide
Tianjin,China,04/17/2020 16:30,186,3,172,0,2020-04-18 07:30:00,11,15621200,39.1235635,117.1980785,Asia,Worldwide
Shandong,China,04/17/2020 16:30,787,7,761,0,2020-04-18 07:30:00,19,100472400,36.0000001,118.9999999,Asia,Worldwide
Jiangsu,China,04/17/2020 16:30,653,0,643,0,2020-04-18 07:30:00,10,80400000,33.0000001,119.9999999,Asia,Worldwide
Sichuan,China,04/17/2020 16:30,560,3,552,0,2020-04-18 07:30:00,5,81100000,30.500000099999998,102.4999999,Asia,Worldwide
Liaoning,China,04/17/2020 16:30,146,2,140,0,2020-04-18 07:30:00,4,43900000,40.9739116,122.3263915,Asia,Worldwide
Yunnan,China,04/17/2020 16:30,184,2,177,0,2020-04-18 07:30:00,5,45970000,25.0,102.0,Asia,Worldwide
Hebei,China,04/17/2020 16:30,328,6,316,0,2020-04-18 07:30:00,6,74700000,39.0000001,116.0,Asia,Worldwide
Shaanxi,China,04/17/2020 16:30,256,3,252,0,2020-04-18 07:30:00,1,37330000,36.0,109.0,Asia,Worldwide
Jilin,China,04/17/2020 16:30,102,1,97,0,2020-04-18 07:30:00,4,27460000,42.9995032,125.9816054,Asia,Worldwide
Chongqing,China,04/17/2020 16:30,579,6,570,0,2020-04-18 07:30:00,3,30480000,29.5585712,106.5492822,Asia,Worldwide
Henan,China,04/17/2020 16:30,1276,22,1254,0,2020-04-18 07:30:00,0,95590000,34.0000001,113.9999999,Asia,Worldwide
Gansu,China,04/17/2020 16:30,139,2,136,0,2020-04-18 07:30:00,1,25580000,38.0000001,101.9999999,Asia,Worldwide
Hunan,China,04/17/2020 16:30,1019,4,1014,0,2020-04-18 07:30:00,1,67370000,27.6662087,111.74870630000001,Asia,Worldwide
Anhui,China,04/17/2020 16:30,991,6,984,0,2020-04-18 07:30:00,1,62000000,32.0,117.0,Asia,Worldwide
Jiangxi,China,04/17/2020 16:30,937,1,936,0,2020-04-18 07:30:00,0,45200000,28.0,116.0,Asia,Worldwide
Guizhou,China,04/17/2020 16:30,147,2,144,0,2020-04-18 07:30:00,1,34750000,27.0,107.0,Asia,Worldwide
Guangxi,China,04/17/2020 16:30,254,2,252,0,2020-04-18 07:30:00,0,48380000,24.0,109.0,Asia,Worldwide
Hainan,China,04/17/2020 16:30,168,6,162,0,2020-04-18 07:30:00,0,9258000,19.2000001,109.5999999,Asia,Worldwide
Xinjiang,China,04/17/2020 16:30,76,3,73,0,2020-04-18 07:30:00,0,21810000,41.7574769,87.1673842,Asia,Worldwide
Ningxia,China,04/17/2020 16:30,75,0,75,0,2020-04-18 07:30:00,0,6301000,37.3095528,105.9608553,Asia,Worldwide
Qinghai,China,04/17/2020 16:30,18,0,18,0,2020-04-18 07:30:00,0,5627000,35.40709520000001,95.95211570000001,Asia,Worldwide
Tibet,China,04/17/2020 16:30,1,0,1,0,2020-04-18 07:30:00,0,3180000,31.894343199999998,87.07813709999999,Asia,Worldwide
New South Wales,Australia,04/17/2020 16:30,2926,25,1420,155302,2020-04-18 07:30:00,1481,7544000,-33.8548157,151.2164539,Oceania,Worldwide
Queensland,Australia,04/17/2020 16:30,1007,5,442,77727,2020-04-18 07:30:00,560,5071000,-27.468968199999996,153.02349909999998,Oceania,Worldwide
Victoria,Australia,04/17/2020 16:30,1302,14,1159,75000,2020-04-18 07:30:00,129,6359000,-37.814217600000006,144.9631608,Oceania,Worldwide
South Australia,Australia,04/17/2020 16:30,435,4,331,53752,2020-04-18 07:30:00,100,1677000,-34.928180499999996,138.5999312,Oceania,Worldwide
Western Australia,Australia,04/17/2020 16:30,541,7,377,26225,2020-04-18 07:30:00,157,2589000,-31.952712100000003,115.86047959999999,Oceania,Worldwide
Tasmania,Australia,04/17/2020 16:30,182,7,67,4810,2020-04-18 07:30:00,108,515000,-42.8825088,147.3281233,Oceania,Worldwide
Australian Capital Territory,Australia,04/17/2020 16:30,103,3,81,6754,2020-04-18 07:30:00,19,412576,-35.488350200000006,149.00269419999998,Oceania,Worldwide
Northern Territory,Australia,04/17/2020 16:30,27,0,6,3381,2020-04-18 07:30:00,21,211945,-12.46044,130.8410469,Oceania,Worldwide
,Artania Cruise,04/17/2020 16:30,41,2,0,0,2020-04-18 07:30:00,39,1300,-32.065715000000004,115.67786299999999,Oceania,Worldwide
New York,US,04/17/2020 16:30,223699,12822,28089,0,2020-04-18 07:30:00,182788,19542200,40.7127281,-74.0060152,North America,Worldwide
New Jersey,US,04/17/2020 16:30,78467,3840,470,0,2020-04-18 07:30:00,74157,8909000,40.0757384,-74.4041622,North America,Worldwide
Massachusetts,US,04/17/2020 16:30,34402,1245,729,0,2020-04-18 07:30:00,32428,6902000,42.3788774,-72.03236600000001,North America,Worldwide
Michigan,US,04/17/2020 16:30,30023,2227,502,0,2020-04-18 07:30:00,27294,9996000,43.6211955,-84.6824346,North America,Worldwide
Pennsylvania,US,04/17/2020 16:30,29888,921,317,0,2020-04-18 07:30:00,28650,12810000,40.9699889,-77.72788309999999,North America,Worldwide
California,US,04/17/2020 16:30,28888,1021,2547,0,2020-04-18 07:30:00,25320,39560000,36.7014631,-118.75599740000001,North America,Worldwide
Illinois,US,04/17/2020 16:30,27578,1132,465,0,2020-04-18 07:30:00,25981,12740000,40.079660600000004,-89.4337288,North America,Worldwide
Florida,US,04/17/2020 16:30,24119,686,174,0,2020-04-18 07:30:00,23259,21300000,27.7567667,-81.4639835,North America,Worldwide
Louisiana,US,04/17/2020 16:30,23118,1213,0,0,2020-04-18 07:30:00,21905,4660000,30.8703881,-92.007126,North America,Worldwide
Texas,US,04/17/2020 16:30,17423,436,4190,0,2020-04-18 07:30:00,12797,28700000,31.8160381,-99.51209859999999,North America,Worldwide
Georgia,US,04/17/2020 16:30,17194,650,340,0,2020-04-18 07:30:00,16204,10520000,32.329380900000004,-83.1137366,North America,Worldwide
Connecticut,US,04/17/2020 16:30,16848,1036,63,0,2020-04-18 07:30:00,15749,3573000,41.6500201,-72.7342163,North America,Worldwide
