Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical,Date_last_updated_AEDT,Remaining,Population,lat,lon,Continent,World
Hubei,China,04/21/2020 07:00,68128,4512,63514,0,0,2020-04-21 22:00:00,102,58500000.0,31.151725199999998,112.87832220000001,Asia,Worldwide
Heilongjiang,China,04/21/2020 07:00,913,13,475,0,0,2020-04-21 22:00:00,425,38310000.0,48.000004700000005,127.99999199999999,Asia,Worldwide
Shanghai,China,04/21/2020 07:00,638,7,530,0,0,2020-04-21 22:00:00,101,24280000.0,31.225298499999997,121.4890497,Asia,Worldwide
Beijing,China,04/21/2020 07:00,593,8,516,0,0,2020-04-21 22:00:00,69,21540000.0,39.906217,116.3912757,Asia,Worldwide
Guangdong,China,04/21/2020 07:00,1582,8,1501,0,0,2020-04-21 22:00:00,73,113460000.0,23.135769399999997,113.19826880000001,Asia,Worldwide
Inner Mongolia,China,04/21/2020 07:00,194,1,108,0,0,2020-04-21 22:00:00,85,24710000.0,43.2443242,114.32516640000001,Asia,Worldwide
Fujian,China,04/21/2020 07:00,355,1,341,0,0,2020-04-21 22:00:00,13,38560000.0,26.5450001,117.84277800000001,Asia,Worldwide
Shanxi,China,04/21/2020 07:00,197,0,140,0,0,2020-04-21 22:00:00,57,36500000.0,37.0,112.0,Asia,Worldwide
Zhejiang,China,04/21/2020 07:00,1268,1,1251,0,0,2020-04-21 22:00:00,16,57370000.0,29.000000099999998,119.9999999,Asia,Worldwide
Tianjin,China,04/21/2020 07:00,189,3,174,0,0,2020-04-21 22:00:00,12,15621200.0,39.1235635,117.1980785,Asia,Worldwide
Shandong,China,04/21/2020 07:00,787,7,765,0,0,2020-04-21 22:00:00,15,100472400.0,36.0000001,118.9999999,Asia,Worldwide
Jiangsu,China,04/21/2020 07:00,653,0,644,0,0,2020-04-21 22:00:00,9,80400000.0,33.0000001,119.9999999,Asia,Worldwide
Sichuan,China,04/21/2020 07:00,561,3,554,0,0,2020-04-21 22:00:00,4,81100000.0,30.500000099999998,102.4999999,Asia,Worldwide
Liaoning,China,04/21/2020 07:00,146,2,143,0,0,2020-04-21 22:00:00,1,43900000.0,40.9739116,122.3263915,Asia,Worldwide
Yunnan,China,04/21/2020 07:00,184,2,178,0,0,2020-04-21 22:00:00,4,45970000.0,25.0,102.0,Asia,Worldwide
Hebei,China,04/21/2020 07:00,328,6,317,0,0,2020-04-21 22:00:00,5,74700000.0,39.0000001,116.0,Asia,Worldwide
Shaanxi,China,04/21/2020 07:00,277,3,253,0,0,2020-04-21 22:00:00,21,37330000.0,36.0,109.0,Asia,Worldwide
Jilin,China,04/21/2020 07:00,106,1,97,0,0,2020-04-21 22:00:00,8,27460000.0,42.9995032,125.9816054,Asia,Worldwide
Chongqing,China,04/21/2020 07:00,579,6,570,0,0,2020-04-21 22:00:00,3,30480000.0,29.5585712,106.5492822,Asia,Worldwide
Henan,China,04/21/2020 07:00,1276,22,1254,0,0,2020-04-21 22:00:00,0,95590000.0,34.0000001,113.9999999,Asia,Worldwide
Gansu,China,04/21/2020 07:00,139,2,137,0,0,2020-04-21 22:00:00,0,25580000.0,38.0000001,101.9999999,Asia,Worldwide
Hunan,China,04/21/2020 07:00,1019,4,1015,0,0,2020-04-21 22:00:00,0,67370000.0,27.6662087,111.74870630000001,Asia,Worldwide
Anhui,China,04/21/2020 07:00,991,6,984,0,0,2020-04-21 22:00:00,1,62000000.0,32.0,117.0,Asia,Worldwide
Jiangxi,China,04/21/2020 07:00,937,1,936,0,0,2020-04-21 22:00:00,0,45200000.0,28.0,116.0,Asia,Worldwide
Guizhou,China,04/21/2020 07:00,147,2,145,0,0,2020-04-21 22:00:00,0,34750000.0,27.0,107.0,Asia,Worldwide
Guangxi,China,04/21/2020 07:00,254,2,252,0,0,2020-04-21 22:00:00,0,48380000.0,24.0,109.0,Asia,Worldwide
Hainan,China,04/21/2020 07:00,168,6,162,0,0,2020-04-21 22:00:00,0,9258000.0,19.2000001,109.5999999,Asia,Worldwide
Xinjiang,China,04/21/2020 07:00,76,3,73,0,0,2020-04-21 22:00:00,0,21810000.0,41.7574769,87.1673842,Asia,Worldwide
Ningxia,China,04/21/2020 07:00,75,0,75,0,0,2020-04-21 22:00:00,0,6301000.0,37.3095528,105.9608553,Asia,Worldwide
Qinghai,China,04/21/2020 07:00,18,0,18,0,0,2020-04-21 22:00:00,0,5627000.0,35.40709520000001,95.95211570000001,Asia,Worldwide
Tibet,China,04/21/2020 07:00,1,0,1,0,0,2020-04-21 22:00:00,0,3180000.0,31.894343199999998,87.07813709999999,Asia,Worldwide
New South Wales,Australia,04/21/2020 07:00,2969,31,1755,171158,0,2020-04-21 22:00:00,1183,7544000.0,-33.8548157,151.2164539,Oceania,Worldwide
Queensland,Australia,04/21/2020 07:00,1024,6,738,87470,0,2020-04-21 22:00:00,280,5071000.0,-27.468968199999996,153.02349909999998,Oceania,Worldwide
Victoria,Australia,04/21/2020 07:00,1336,15,1202,88000,0,2020-04-21 22:00:00,119,6359000.0,-37.814217600000006,144.9631608,Oceania,Worldwide
South Australia,Australia,04/21/2020 07:00,437,4,369,60478,0,2020-04-21 22:00:00,64,1677000.0,-34.928180499999996,138.5999312,Oceania,Worldwide
Western Australia,Australia,04/21/2020 07:00,546,7,443,30112,0,2020-04-21 22:00:00,96,2589000.0,-31.952712100000003,115.86047959999999,Oceania,Worldwide
Tasmania,Australia,04/21/2020 07:00,202,8,67,6701,0,2020-04-21 22:00:00,127,515000.0,-42.8825088,147.3281233,Oceania,Worldwide
Australian Capital Territory,Australia,04/21/2020 07:00,104,3,92,7126,0,2020-04-21 22:00:00,9,412576.0,-35.488350200000006,149.00269419999998,Oceania,Worldwide
Northern Territory,Australia,04/21/2020 07:00,27,0,15,3710,0,2020-04-21 22:00:00,12,211945.0,-12.46044,130.8410469,Oceania,Worldwide
,Artania Cruise,04/21/2020 07:00,41,2,0,0,0,2020-04-21 22:00:00,39,1300.0,-32.065715000000004,115.67786299999999,Oceania,Worldwide
New York,US,04/21/2020 07:00,253311,18822,29593,0,0,2020-04-21 22:00:00,204896,19542200.0,40.7127281,-74.0060152,North America,Worldwide
New Jersey,US,04/21/2020 07:00,88806,4520,730,0,0,2020-04-21 22:00:00,83556,8909000.0,40.0757384,-74.4041622,North America,Worldwide
Massachusetts,US,04/21/2020 07:00,39643,1809,1299,0,0,2020-04-21 22:00:00,36535,6902000.0,42.3788774,-72.03236600000001,North America,Worldwide
Pennsylvania,US,04/21/2020 07:00,34005,1357,466,0,0,2020-04-21 22:00:00,32182,12810000.0,40.9699889,-77.72788309999999,North America,Worldwide
California,US,04/21/2020 07:00,33866,1229,3337,0,0,2020-04-21 22:00:00,29300,39560000.0,36.7014631,-118.75599740000001,North America,Worldwide
Michigan,US,04/21/2020 07:00,32000,2468,3237,0,0,2020-04-21 22:00:00,26295,9996000.0,43.6211955,-84.6824346,North America,Worldwide
