Province/State,Country/Region,Confirmed,Recovered,Tests,Critical,Remaining,Deaths,Date_last_updated_AEDT,Population,Continent,World,lat,lon
Acre,Brazil,11381,,,,,300,2020-06-22,881935,South America,Worldwide,-9.0478679,-70.52649759999998
Amapá,Brazil,21840,,,,,359,2020-06-22,845731,South America,Worldwide,1.3545441999999999,-51.9161977
Amazonas,Brazil,63410,,,,,2657,2020-06-22,4144597,South America,Worldwide,-4.479925,-63.518539600000004
Pará,Brazil,86020,,,,,4605,2020-06-22,8602865,South America,Worldwide,-4.7493932999999995,-52.89730060000001
Rondônia,Brazil,15181,,,,,417,2020-06-22,1777225,South America,Worldwide,-10.943145,-62.8277863
Roraima,Brazil,8188,,,,,251,2020-06-22,605761,South America,Worldwide,2.135138,-61.3631922
Tocantins,Brazil,8354,,,,,175,2020-06-22,1572866,South America,Worldwide,-10.8855129,-48.3716912
Alagoas,Brazil,28657,,,,,884,2020-06-22,3337357,South America,Worldwide,-9.661166099999999,-36.650242600000006
Bahia,Brazil,46279,,,,,1391,2020-06-22,14873064,South America,Worldwide,-12.285250999999999,-41.9294776
Ceará,Brazil,92866,,,,,5523,2020-06-22,9132078,South America,Worldwide,-5.3264703,-39.715607299999995
Maranhão,Brazil,70059,,,,,1721,2020-06-22,7075181,South America,Worldwide,-5.2085503,-45.3930262
Paraíba,Brazil,36784,,,,,766,2020-06-22,4018127,South America,Worldwide,-7.1219366,-36.724684499999995
Pernambuco,Brazil,52113,,,,,4234,2020-06-22,9557071,South America,Worldwide,-8.4116316,-37.591969899999995
Piauí,Brazil,14476,,,,,502,2020-06-22,3273227,South America,Worldwide,-7.699278200000001,-42.504378700000004
Rio Grande do Norte,Brazil,19290,,,,,697,2020-06-22,3506853,South America,Worldwide,-5.6781175,-36.4781776
Sergipe,Brazil,18985,,,,,462,2020-06-22,2298696,South America,Worldwide,-10.6743911,-37.377351899999994
Federal District,Brazil,33227,,,,,423,2020-06-22,3015268,South America,Worldwide,-15.7754462,-47.7970891
Goiás,Brazil,15928,,,,,306,2020-06-22,7018354,South America,Worldwide,-15.932366199999999,-50.13929279999999
Mato Grosso,Brazil,9776,,,,,370,2020-06-22,3484466,South America,Worldwide,-12.2115009,-55.5716547
Mato Grosso do Sul,Brazil,5237,,,,,45,2020-06-22,2778986,South America,Worldwide,-19.5852564,-54.4794731
Espírito Santo,Brazil,34866,,,,,1328,2020-06-22,4018650,South America,Worldwide,-19.5687682,-40.1721991
Minas Gerais,Brazil,27641,,,,,661,2020-06-22,21168791,South America,Worldwide,-18.526484399999998,-44.158865399999996
Rio de Janeiro,Brazil,96133,,,,,8875,2020-06-22,17264943,South America,Worldwide,-22.911013699999998,-43.2093727
São Paulo,Brazil,219185,,,,,12588,2020-06-22,45919049,South America,Worldwide,-23.5506507,-46.633382399999995
Paraná,Brazil,14501,,,,,451,2020-06-22,11433957,South America,Worldwide,-24.4842187,-51.8148872
Rio Grande do Sul,Brazil,19348,,,,,434,2020-06-22,11286500,South America,Worldwide,-29.8425284,-53.76805770000001
Santa Catarina,Brazil,17582,,,,,246,2020-06-22,6727000,South America,Worldwide,-27.0628367,-51.114965000000005
