Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
0,0,2020-03-16,0,0,0,0,0,0
0,0,2020-03-17,0,0,0,0,0,0
0,0,2020-03-18,0,0,0,0,0,0
3,0,2020-03-19,3,0,0,0,0,0
7,0,2020-03-20,4,0,0,0,0,0
9,0,2020-03-21,2,0,0,0,0,0
11,0,2020-03-22,2,0,0,0,0,0
11,0,2020-03-23,0,0,0,0,0,0
17,0,2020-03-24,6,0,0,0,0,0
23,0,2020-03-25,6,0,0,0,0,0
24,0,2020-03-26,1,0,0,0,0,0
25,0,2020-03-27,1,0,0,0,0,0
25,0,2020-03-28,0,0,0,0,0,0
34,0,2020-03-29,9,0,0,0,0,0
42,0,2020-03-30,8,0,0,0,0,0
42,0,2020-03-31,0,0,0,0,0,0
43,0,2020-04-01,1,0,0,0,0,0
43,0,2020-04-02,0,0,0,0,0,0
46,0,2020-04-03,3,0,0,0,0,0
46,0,2020-04-04,0,0,0,0,0,0
48,0,2020-04-05,2,0,0,0,0,0
50,0,2020-04-06,2,0,0,0,0,0
50,1,2020-04-07,0,0,1,0,0,0
54,2,2020-04-08,4,0,1,0,0,0
62,2,2020-04-09,8,0,0,0,0,0
70,2,2020-04-10,8,0,0,0,0,0
72,2,2020-04-11,2,0,0,0,0,0
77,2,2020-04-12,5,0,0,0,0,0
90,3,2020-04-13,13,0,1,1,0,0
99,3,2020-04-14,9,0,0,2,0,0
101,3,2020-04-15,2,1,0,3,0,0
110,5,2020-04-16,9,2,2,4,0,0
135,5,2020-04-17,25,3,0,5,0,0
142,5,2020-04-18,7,4,0,6,0,0
163,6,2020-04-19,21,5,1,7,0,0
176,8,2020-04-20,13,6,2,8,0,0
195,8,2020-04-21,19,7,0,9,0,0
214,8,2020-04-22,19,8,0,10,0,0
227,10,2020-04-23,13,9,2,11,0,0
234,11,2020-04-24,7,10,1,12,0,0
258,11,2020-04-25,24,11,0,13,0,0
279,11,2020-04-26,21,12,0,14,0,0
279,14,2020-04-27,0,13,3,15,0,0
311,16,2020-04-28,32,14,2,16,0,0
354,17,2020-04-29,43,15,1,17,0,0
404,19,2020-04-30,50,16,2,18,0,0
486,19,2020-05-01,82,17,0,19,0,0
553,21,2020-05-02,67,18,2,20,0,0
657,24,2020-05-03,104,19,3,21,0,0
733,28,2020-05-04,76,20,4,22,0,0
817,29,2020-05-05,84,21,1,23,0,0
943,33,2020-05-06,126,22,4,24,0,0
1014,36,2020-05-07,71,23,3,25,0,0
1177,38,2020-05-08,163,24,2,26,0,0
1335,39,2020-05-09,158,25,1,27,0,0
1447,41,2020-05-10,112,26,2,28,0,0
1460,45,2020-05-11,13,27,4,29,0,0
1590,51,2020-05-12,130,28,6,30,0,0
1694,51,2020-05-13,104,29,0,31,0,0
1740,55,2020-05-14,46,30,4,32,0,0
1785,55,2020-05-15,45,31,0,33,0,0
1867,57,2020-05-16,82,32,2,34,0,0
1996,60,2020-05-17,129,33,3,35,0,0
2234,67,2020-05-18,238,34,7,36,0,0
2482,73,2020-05-19,248,35,6,37,0,0
2817,73,2020-05-20,335,36,0,38,0,0
3103,78,2020-05-21,286,37,5,39,0,0
3343,80,2020-05-22,240,38,2,40,0,0
3867,87,2020-05-23,524,39,7,41,0,0
4160,92,2020-05-24,293,40,5,42,0,0
4501,97,2020-05-25,341,41,5,43,0,0
4781,105,2020-05-26,280,42,8,44,0,0
5251,113,2020-05-27,470,43,8,45,0,0
5600,122,2020-05-28,349,44,9,46,0,0
5600,122,2020-05-29,0,45,0,47,0,0
