Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
34455,21254,1012,2020-07-13 22:00:00,2020-07-13,4,108,2,109,38
34451,21216,1010,2020-07-12 22:00:00,2020-07-12,85,107,16,108,81
34366,21135,994,2020-07-11 22:00:00,2020-07-11,172,106,23,107,253
34194,20882,971,2020-07-10 22:00:00,2020-07-10,286,105,14,106,35
33908,20847,957,2020-07-09 22:00:00,2020-07-09,314,104,21,105,542
33594,20305,936,2020-07-08 22:00:00,2020-07-08,210,103,16,104,126
33384,20179,920,2020-07-07 22:00:00,2020-07-07,194,102,22,103,76
33190,20103,898,2020-07-06 22:00:00,2020-07-06,239,101,34,102,737
32951,19366,864,2020-07-05 22:00:00,2020-07-05,279,100,38,101,202
32672,19164,826,2020-07-04 22:00:00,2020-07-04,348,99,7,100,1833
32324,17331,819,2020-07-03 22:00:00,2020-07-03,302,98,12,99,1290
32022,16041,807,2020-07-02 22:00:00,2020-07-02,186,97,33,98,390
31836,15651,774,2020-07-01 22:00:00,2020-07-01,477,96,39,97,1717
31359,13934,735,2020-06-30 22:00:00,2020-06-30,121,95,2,96,0
31238,13934,733,2020-06-29 22:00:00,2020-06-29,271,94,-4,95,1346
30967,12588,737,2020-06-28 22:00:00,2020-06-28,351,93,34,94,1914
30616,10674,703,2020-06-27 22:00:00,2020-06-27,165,92,20,93,368
30451,10306,683,2020-06-26 22:00:00,2020-06-26,276,91,8,92,132
30175,10174,675,2020-06-25 22:00:00,2020-06-25,535,90,36,91,305
29640,9869,639,2020-06-24 22:00:00,2020-06-24,159,89,21,90,609
29481,9260,618,2020-06-23 22:00:00,2020-06-23,338,88,20,89,419
29143,8841,598,2020-06-22 22:00:00,2020-06-22,310,87,17,88,77
28833,8764,581,2020-06-21 22:00:00,2020-06-21,409,86,12,87,472
28424,8292,569,2020-06-20 22:00:00,2020-06-20,546,85,21,86,330
27878,7962,548,2020-06-19 22:00:00,2020-06-19,346,84,2,85,302
27532,7660,546,2020-06-18 22:00:00,2020-06-18,658,83,42,84,1502
26874,6158,504,2020-06-17 22:00:00,2020-06-17,564,82,13,83,650
26310,5508,491,2020-06-16 22:00:00,2020-06-16,783,81,15,82,344
25527,5164,476,2020-06-15 22:00:00,2020-06-15,761,80,5,81,439
24766,4725,471,2020-06-14 22:00:00,2020-06-14,664,79,20,80,524
24102,4201,451,2020-06-13 22:00:00,2020-06-13,556,78,5,79,273
23546,3928,446,2020-06-12 22:00:00,2020-06-12,656,77,20,78,602
22890,3326,426,2020-06-11 22:00:00,2020-06-11,748,76,21,77,313
22142,3013,405,2020-06-10 22:00:00,2020-06-10,683,75,21,76,362
21459,2651,384,2020-06-09 22:00:00,2020-06-09,542,74,15,75,480
20917,2171,369,2020-06-08 22:00:00,2020-06-08,575,73,12,74,296
20342,1875,357,2020-06-07 22:00:00,2020-06-07,791,72,37,73,55
19551,1820,320,2020-06-06 22:00:00,2020-06-06,582,71,11,72,58
18969,1762,309,2020-06-05 22:00:00,2020-06-05,915,70,9,71,177
18054,1585,300,2020-06-04 22:00:00,2020-06-04,787,69,6,70,63
17267,1522,294,2020-06-03 22:00:00,2020-06-03,775,68,24,69,72
16492,1450,270,2020-06-02 22:00:00,2020-06-02,742,67,5,68,22
15750,1428,265,2020-06-01 22:00:00,2020-06-01,545,66,8,67,100
15205,1328,257,2020-05-31 22:00:00,2020-05-31,680,65,8,66,25
14525,1303,249,2020-05-30 22:00:00,2020-05-30,866,64,3,65,44
13659,1259,246,2020-05-29 22:00:00,2020-05-29,623,63,11,64,50
13036,1209,235,2020-05-28 22:00:00,2020-05-28,580,62,8,63,71
12456,1138,227,2020-05-27 22:00:00,2020-05-27,625,61,7,62,10
11831,1128,220,2020-05-26 22:00:00,2020-05-26,658,60,1,61,31
11173,1097,219,2020-05-25 22:00:00,2020-05-25,591,59,1,60,22
10582,1075,218,2020-05-24 22:00:00,2020-05-24,584,58,2,59,35
9998,1040,216,2020-05-23 22:00:00,2020-05-23,782,57,11,58,44
9216,996,205,2020-05-22 22:00:00,2020-05-22,540,56,12,57,58
8676,938,193,2020-05-21 22:00:00,2020-05-21,531,55,6,56,8
8145,930,187,2020-05-20 22:00:00,2020-05-20,492,54,9,55,80
7653,850,178,2020-05-19 22:00:00,2020-05-19,581,53,5,54,49
7072,801,173,2020-05-18 22:00:00,2020-05-18,408,52,4,53,23
6664,778,169,2020-05-17 22:00:00,2020-05-17,262,51,1,52,33
6402,745,168,2020-05-16 22:00:00,2020-05-16,349,50,15,51,0
6053,745,153,2020-05-15 22:00:00,2020-05-15,414,49,17,50,54
5639,691,136,2020-05-14 22:00:00,2020-05-14,413,48,4,49,43
5226,648,132,2020-05-13 22:00:00,2020-05-13,263,47,5,48,38
4963,610,127,2020-05-12 22:00:00,2020-05-12,276,46,5,47,52
4687,558,122,2020-05-11 22:00:00,2020-05-11,654,45,7,46,56
4033,502,115,2020-05-10 22:00:00,2020-05-10,0,44,0,45,0
4033,502,115,2020-05-09 22:00:00,2020-05-09,470,43,9,44,34
3563,468,106,2020-05-08 22:00:00,2020-05-08,0,42,0,43,0
3563,468,106,2020-05-07 22:00:00,2020-05-07,171,41,2,42,10
3392,458,104,2020-05-06 22:00:00,2020-05-06,168,40,9,41,37
3224,421,95,2020-05-05 22:00:00,2020-05-05,520,39,10,40,76
2704,345,85,2020-05-04 22:00:00,2020-05-04,0,38,0,39,0
2704,345,85,2020-05-03 22:00:00,2020-05-03,235,37,13,38,14
2469,331,72,2020-05-02 22:00:00,2020-05-02,134,36,4,37,21
2335,310,68,2020-05-01 22:00:00,2020-05-01,164,35,4,36,50
2171,260,64,2020-04-30 22:00:00,2020-04-30,343,34,6,35,32
1828,228,58,2020-04-29 22:00:00,2020-04-29,0,33,0,34,0
1828,228,58,2020-04-28 22:00:00,2020-04-28,125,32,1,33,8
1703,220,57,2020-04-27 22:00:00,2020-04-27,172,31,7,32,13
1531,207,50,2020-04-26 22:00:00,2020-04-26,68,30,3,31,19
1463,188,47,2020-04-25 22:00:00,2020-04-25,184,29,5,30,9
1279,179,42,2020-04-24 22:00:00,2020-04-24,53,28,2,29,2
1226,177,40,2020-04-23 22:00:00,2020-04-23,83,27,0,28,11
1143,166,40,2020-04-22 22:00:00,2020-04-22,51,26,4,27,16
