Confirmed,DayElapsed_death,Deaths,New,New_death,New_recover,Recovered,Date_last_updated_AEDT,date_day,DayElapsed
408389,112,10197,11958,281,6212,195958,2020-07-01 22:00:00,2020-07-01,114
396431,111,9916,10224,213,4093,189746,2020-06-30 22:00:00,2020-06-30,113
386207,110,9703,11213,177,4335,185653,2020-06-29 22:00:00,2020-06-29,112
374994,109,9526,12055,209,5572,181318,2020-06-28 22:00:00,2020-06-28,111
362939,108,9317,11572,202,6813,175746,2020-06-27 22:00:00,2020-06-27,110
351367,107,9115,11931,224,5260,168933,2020-06-26 22:00:00,2020-06-26,109
339436,106,8891,11417,233,6529,163673,2020-06-25 22:00:00,2020-06-25,108
328019,105,8658,9227,284,3650,157144,2020-06-24 22:00:00,2020-06-24,107
318792,104,8374,9082,218,4455,153494,2020-06-23 22:00:00,2020-06-23,106
309710,103,8156,9036,192,3634,149039,2020-06-22 22:00:00,2020-06-22,105
300674,102,7964,11400,248,10002,145405,2020-06-21 22:00:00,2020-06-21,104
289274,101,7716,9204,252,4897,135403,2020-06-20 22:00:00,2020-06-20,103
280070,100,7464,9145,213,4852,130506,2020-06-19 22:00:00,2020-06-19,102
270925,99,7251,8575,197,4169,125654,2020-06-18 22:00:00,2020-06-18,101
262350,98,7054,7842,250,4443,121485,2020-06-17 22:00:00,2020-06-17,100
254508,97,6804,8339,240,3863,117042,2020-06-16 22:00:00,2020-06-16,99
246169,96,6564,10401,281,4277,113179,2020-06-15 22:00:00,2020-06-15,98
235768,95,6283,7692,198,3612,108902,2020-06-14 22:00:00,2020-06-14,97
228076,94,6085,8387,202,4338,105290,2020-06-13 22:00:00,2020-06-13,96
219689,93,5883,7155,162,3550,100952,2020-06-12 22:00:00,2020-06-12,95
212534,92,5721,6014,143,4205,97402,2020-06-11 22:00:00,2020-06-11,94
206520,91,5578,7110,183,4821,93197,2020-06-10 22:00:00,2020-06-10,93
199410,90,5395,6689,171,3268,88376,2020-06-09 22:00:00,2020-06-09,92
192721,89,5224,6133,132,1561,85108,2020-06-08 22:00:00,2020-06-08,91
186588,88,5092,6798,145,2914,83547,2020-06-07 22:00:00,2020-06-07,90
179790,87,4947,6670,159,3780,80633,2020-06-06 22:00:00,2020-06-06,89
173120,86,4788,7726,155,4164,76853,2020-06-05 22:00:00,2020-06-05,88
165394,85,4633,5061,107,3342,72689,2020-06-04 22:00:00,2020-06-04,87
160333,84,4526,5051,154,2872,69347,2020-06-03 22:00:00,2020-06-03,86
155282,83,4372,5864,126,2395,66475,2020-06-02 22:00:00,2020-06-02,85
149418,82,4246,5318,150,2711,64080,2020-06-01 22:00:00,2020-06-01,84
144100,81,4096,6120,148,2998,61369,2020-05-31 22:00:00,2020-05-31,83
137980,80,3948,5726,129,3114,58371,2020-05-30 22:00:00,2020-05-30,82
132254,79,3819,5011,95,2204,55257,2020-05-29 22:00:00,2020-05-29,81
127243,78,3724,5213,94,2904,53053,2020-05-28 22:00:00,2020-05-28,80
122030,77,3630,3712,119,2106,50149,2020-05-27 22:00:00,2020-05-27,79
118318,76,3511,4251,135,1626,48043,2020-05-26 22:00:00,2020-05-26,78
114067,75,3376,3982,96,2074,46417,2020-05-25 22:00:00,2020-05-25,77
110085,74,3280,3786,75,1075,44343,2020-05-24 22:00:00,2020-05-24,76
106299,73,3205,4028,87,2482,43268,2020-05-23 22:00:00,2020-05-23,75
102271,72,3118,4559,96,1172,40786,2020-05-22 22:00:00,2020-05-22,74
97712,71,3022,4126,96,2578,39614,2020-05-21 22:00:00,2020-05-21,73
93586,70,2926,3190,68,1964,37036,2020-05-20 22:00:00,2020-05-20,72
90396,69,2858,3578,73,1470,35072,2020-05-19 22:00:00,2020-05-19,71
86818,68,2785,3286,55,1317,33602,2020-05-18 22:00:00,2020-05-18,70
83532,67,2730,3361,77,1739,32285,2020-05-17 22:00:00,2020-05-17,69
80171,66,2653,3054,74,2227,30546,2020-05-16 22:00:00,2020-05-16,68
77117,65,2579,3053,71,1977,28319,2020-05-15 22:00:00,2020-05-15,67
74064,64,2508,3024,101,1405,26342,2020-05-14 22:00:00,2020-05-14,66
71040,63,2407,2378,52,758,24937,2020-05-13 22:00:00,2020-05-13,65
68662,62,2355,3263,54,1169,24179,2020-05-12 22:00:00,2020-05-12,64
65399,61,2301,2916,61,1039,23010,2020-05-11 22:00:00,2020-05-11,63
62483,60,2240,2953,69,2027,21971,2020-05-10 22:00:00,2020-05-10,62
59530,59,2171,3868,85,643,19944,2020-05-09 22:00:00,2020-05-09,61
55662,58,2086,2673,68,876,19301,2020-05-08 22:00:00,2020-05-08,60
52989,57,2018,2383,96,1284,18425,2020-05-07 22:00:00,2020-05-07,59
50606,56,1922,2420,72,748,17141,2020-05-06 22:00:00,2020-05-06,58
48186,55,1850,2602,44,1102,16393,2020-05-05 22:00:00,2020-05-05,57
45584,54,1806,1677,42,415,15291,2020-05-04 22:00:00,2020-05-04,56
43907,53,1764,2211,66,777,14876,2020-05-03 22:00:00,2020-05-03,55
41696,52,1698,1695,58,921,14099,2020-05-02 22:00:00,2020-05-02,54
40001,51,1640,1679,42,446,13178,2020-05-01 22:00:00,2020-05-01,53
38322,50,1598,2475,68,733,12732,2020-04-30 22:00:00,2020-04-30,52
35847,49,1530,1650,55,1360,11999,2020-04-29 22:00:00,2020-04-29,51
34197,48,1475,1464,48,525,10639,2020-04-28 22:00:00,2020-04-28,50
32733,47,1427,1390,46,519,10114,2020-04-27 22:00:00,2020-04-27,49
31343,46,1381,1272,49,424,9595,2020-04-26 22:00:00,2020-04-26,48
30071,45,1332,1604,31,528,9171,2020-04-25 22:00:00,2020-04-25,47
28467,44,1301,1635,55,1284,8643,2020-04-24 22:00:00,2020-04-24,46
26832,43,1246,1055,44,553,7359,2020-04-23 22:00:00,2020-04-23,45
25777,42,1202,1420,36,299,6806,2020-04-22 22:00:00,2020-04-22,44
24357,41,1166,1217,35,630,6507,2020-04-21 22:00:00,2020-04-21,43
23140,40,1131,1229,48,399,5877,2020-04-20 22:00:00,2020-04-20,42
21911,39,1083,1205,54,438,5478,2020-04-19 22:00:00,2020-04-19,41
