Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
5678,0,202,2020-04-24 07:30:00,2020-04-24,68,35,1,28,0
5610,0,201,2020-04-23 22:00:00,2020-04-23,283,34,16,27,0
5327,0,185,2020-04-22 22:00:00,2020-04-22,249,33,21,26,0
5078,0,164,2020-04-21 22:00:00,2020-04-21,175,32,4,25,0
4903,0,160,2020-04-20 22:00:00,2020-04-20,180,31,13,24,0
4723,0,147,2020-04-19 22:00:00,2020-04-19,151,30,-4,23,0
4572,0,151,2020-04-18 22:00:00,2020-04-18,168,29,14,22,0
4404,0,137,2020-04-17 22:00:00,2020-04-17,163,28,14,21,0
4241,0,123,2020-04-16 22:00:00,2020-04-16,288,27,9,20,0
3953,0,114,2020-04-15 22:00:00,2020-04-15,150,26,11,19,0
3803,0,103,2020-04-14 22:00:00,2020-04-14,220,25,10,18,0
3583,0,93,2020-04-13 22:00:00,2020-04-13,321,24,0,17,0
3262,0,93,2020-04-12 22:00:00,2020-04-12,254,23,13,16,0
3008,0,80,2020-04-11 22:00:00,2020-04-11,170,22,2,15,0
2838,0,78,2020-04-10 22:00:00,2020-04-10,339,21,11,14,0
2499,0,67,2020-04-09 22:00:00,2020-04-09,302,20,3,13,0
2197,0,64,2020-04-08 22:00:00,2020-04-08,191,19,11,12,0
2006,0,53,2020-04-07 22:00:00,2020-04-07,165,18,8,11,0
1841,0,45,2020-04-06 22:00:00,2020-04-06,208,17,1,10,0
1633,0,44,2020-04-05 22:00:00,2020-04-05,98,16,6,9,0
1535,0,38,2020-04-04 21:00:00,2020-04-04,265,15,6,8,0
1270,0,32,2020-04-03 21:00:00,2020-04-03,163,14,4,7,0
1107,0,28,2020-04-02 21:00:00,2020-04-02,108,13,4,6,0
999,0,24,2020-04-01 21:00:00,2020-04-01,52,12,13,5,0
947,0,11,2020-03-31 21:00:00,2020-03-31,117,11,1,4,0
830,0,10,2020-03-30 21:00:00,2020-03-30,109,10,1,3,0
721,0,9,2020-03-29 21:00:00,2020-03-29,82,9,5,2,0
639,0,4,2020-03-28 21:00:00,2020-03-28,108,8,3,1,0
531,0,1,2020-03-27 21:10:00,2020-03-27,92,7,0,0,0
439,0,1,2020-03-26 22:20:00,2020-03-26,197,6,1,0,0
242,0,0,2020-03-25 23:20:00,2020-03-25,46,5,0,0,0
196,0,0,2020-03-24 21:20:00,2020-03-24,39,4,0,0,0
157,0,0,2020-03-23 21:40:00,2020-03-23,26,3,0,0,0
131,0,0,2020-03-22 21:00:00,2020-03-22,25,2,0,0,0
106,0,0,2020-03-21 21:00:00,2020-03-21,28,1,0,0,0
78,0,0,2020-03-20 21:20:00,2020-03-20,26,0,0,0,0
52,0,0,2020-03-19 21:30:00,2020-03-19,13,0,0,0,0
39,0,0,2020-03-18 22:00:00,2020-03-18,10,0,0,0,0
29,0,0,2020-03-17 21:00:00,2020-03-17,7,0,0,0,0
22,0,0,2020-03-16 21:00:00,2020-03-16,10,0,0,0,0
12,0,0,2020-03-15 21:00:00,2020-03-15,6,0,0,0,0
6,0,0,2020-03-14 21:00:00,2020-03-14,6,0,0,0,0
0,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
