Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
1,0,2020-03-08,1,0,0,0,0,0
1,0,2020-03-09,0,0,0,0,0,0
1,0,2020-03-10,0,0,0,0,0,0
1,0,2020-03-11,0,0,0,0,0,0
1,0,2020-03-12,0,0,0,0,0,0
1,0,2020-03-13,0,0,0,0,0,0
1,0,2020-03-14,0,0,0,0,0,0
1,0,2020-03-15,0,0,0,0,0,0
1,0,2020-03-16,0,0,0,0,0,0
1,0,2020-03-17,0,0,0,0,0,0
1,0,2020-03-18,0,0,0,0,0,0
4,0,2020-03-19,3,0,0,0,0,0
5,0,2020-03-20,1,0,0,0,0,0
7,0,2020-03-21,2,0,0,0,0,0
7,0,2020-03-22,0,0,0,0,0,0
7,0,2020-03-23,0,0,0,0,0,0
9,0,2020-03-24,2,0,0,0,0,0
11,0,2020-03-25,2,0,0,0,0,0
11,0,2020-03-26,0,0,0,0,0,0
11,0,2020-03-27,0,0,0,0,0,0
14,0,2020-03-28,3,0,0,0,0,0
17,0,2020-03-29,3,0,0,0,0,0
17,0,2020-03-30,0,0,0,0,0,0
18,1,2020-03-31,1,0,1,0,0,0
18,1,2020-04-01,0,0,0,0,0,0
18,1,2020-04-02,0,0,0,0,0,0
22,2,2020-04-03,4,0,1,0,0,0
23,2,2020-04-04,1,0,0,0,0,0
28,2,2020-04-05,5,0,0,0,0,0
31,2,2020-04-06,3,0,0,0,0,0
32,2,2020-04-07,1,0,0,0,0,0
37,2,2020-04-08,5,0,0,0,0,0
37,3,2020-04-09,0,0,1,1,0,0
45,3,2020-04-10,8,0,0,2,0,0
48,3,2020-04-11,3,0,0,3,0,0
48,3,2020-04-12,0,0,0,4,0,0
50,3,2020-04-13,2,0,0,5,0,0
72,4,2020-04-14,22,0,1,6,0,0
82,5,2020-04-15,10,0,1,7,0,0
89,5,2020-04-16,7,0,0,8,0,0
110,7,2020-04-17,21,1,2,9,0,0
132,7,2020-04-18,22,2,0,10,0,0
159,15,2020-04-19,27,3,8,11,0,0
171,18,2020-04-20,12,4,3,12,0,0
210,19,2020-04-21,39,5,1,13,0,0
243,20,2020-04-22,33,6,1,14,0,0
324,22,2020-04-23,81,7,2,15,0,0
413,27,2020-04-24,89,8,5,16,0,0
501,29,2020-04-25,88,9,2,17,0,0
501,29,2020-04-26,0,10,0,18,0,0
