Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
0,0,2020-03-16,0,0,0,0,0,0
0,0,2020-03-17,0,0,0,0,0,0
0,0,2020-03-18,0,0,0,0,0,0
0,0,2020-03-19,0,0,0,0,0,0
1,0,2020-03-20,1,0,0,0,0,0
1,0,2020-03-21,0,0,0,0,0,0
1,0,2020-03-22,0,0,0,0,0,0
1,0,2020-03-23,0,0,0,0,0,0
1,0,2020-03-24,0,0,0,0,0,0
1,0,2020-03-25,0,0,0,0,0,0
2,0,2020-03-26,1,0,0,0,0,0
2,0,2020-03-27,0,0,0,0,0,0
4,0,2020-03-28,2,0,0,0,0,0
4,0,2020-03-29,0,0,0,0,0,0
8,0,2020-03-30,4,0,0,0,0,0
10,0,2020-03-31,2,0,0,0,0,0
11,0,2020-04-01,1,0,0,0,0,0
11,0,2020-04-02,0,0,0,0,0,0
19,0,2020-04-03,8,0,0,0,0,0
28,1,2020-04-04,9,0,1,0,0,0
29,2,2020-04-05,1,0,1,0,0,0
34,2,2020-04-06,5,0,0,0,0,0
48,2,2020-04-07,14,0,0,0,0,0
107,2,2020-04-08,59,1,0,0,0,0
128,2,2020-04-09,21,2,0,0,0,0
166,2,2020-04-10,38,3,0,0,0,0
193,3,2020-04-11,27,4,1,1,0,0
230,5,2020-04-12,37,5,2,2,0,0
242,5,2020-04-13,12,6,0,3,0,0
307,6,2020-04-14,65,7,1,4,0,0
334,7,2020-04-15,27,8,1,5,0,0
362,9,2020-04-16,28,9,2,6,0,0
370,10,2020-04-17,8,10,1,7,0,0
393,10,2020-04-18,23,11,0,8,0,0
416,11,2020-04-19,23,12,1,9,0,0
433,13,2020-04-20,17,13,2,10,0,0
457,13,2020-04-21,24,14,0,11,0,0
479,14,2020-04-22,22,15,1,12,0,0
548,16,2020-04-23,69,16,2,13,0,0
633,18,2020-04-24,85,17,2,14,0,0
685,19,2020-04-25,52,18,1,15,0,0
798,21,2020-04-26,113,19,2,16,0,0
842,26,2020-04-27,44,20,5,17,0,0
918,28,2020-04-28,76,21,2,18,0,0
1016,31,2020-04-29,98,22,3,19,0,0
1080,34,2020-04-30,64,23,3,20,0,0
1121,37,2020-05-01,41,24,3,21,0,0
1187,40,2020-05-02,66,25,3,22,0,0
1482,43,2020-05-03,295,26,3,23,0,0
1733,49,2020-05-04,251,27,6,24,0,0
1931,55,2020-05-05,198,28,6,25,0,0
2046,56,2020-05-06,115,29,1,26,0,0
2199,61,2020-05-07,153,30,5,27,0,0
2322,66,2020-05-08,123,31,5,28,0,0
2493,69,2020-05-09,171,32,3,29,0,0
2613,72,2020-05-10,120,33,3,30,0,0
2671,73,2020-05-11,58,34,1,31,0,0
2910,86,2020-05-12,239,35,13,32,0,0
3005,94,2020-05-13,95,36,8,33,0,0
3428,101,2020-05-14,423,37,7,34,0,0
3428,101,2020-05-15,0,38,0,35,0,0
3834,103,2020-05-16,406,39,2,36,0,0
3952,108,2020-05-17,118,40,5,37,0,0
4023,127,2020-05-18,71,41,19,38,0,0
4310,136,2020-05-19,287,42,9,39,0,0
4549,142,2020-05-20,239,43,6,40,0,0
5188,142,2020-05-21,639,44,0,41,0,0
5655,157,2020-05-22,467,45,15,42,0,0
6091,162,2020-05-23,436,46,5,43,0,0
6353,163,2020-05-24,262,47,1,44,0,0
6584,168,2020-05-25,231,48,5,45,0,0
6967,173,2020-05-26,383,49,5,46,0,0
7619,183,2020-05-27,652,50,10,47,0,0
8152,198,2020-05-28,533,51,15,48,0,0
8469,207,2020-05-29,317,52,9,49,0,0
9313,215,2020-05-30,844,53,8,50,0,0
9602,222,2020-05-31,289,54,7,51,0,0
9890,228,2020-06-01,288,55,6,52,0,0
10511,237,2020-06-02,621,56,9,53,0,0
11107,247,2020-06-03,596,57,10,54,0,0
11551,254,2020-06-04,444,58,7,55,0,0
12327,260,2020-06-05,776,59,6,56,0,0
12773,269,2020-06-06,446,60,9,57,0,0
13045,272,2020-06-07,272,61,3,58,0,0
13294,278,2020-06-08,249,62,6,59,0,0
13771,285,2020-06-09,477,63,7,60,0,0
14623,289,2020-06-10,852,64,4,61,0,0
15166,303,2020-06-11,543,65,14,62,0,0
15683,312,2020-06-12,517,66,9,63,0,0
16322,319,2020-06-13,639,67,7,64,0,0
16512,324,2020-06-14,190,68,5,65,0,0
16813,329,2020-06-15,301,69,5,66,0,0
18024,337,2020-06-16,1211,70,8,67,0,0
18618,338,2020-06-17,594,71,1,68,0,0
19387,342,2020-06-18,769,72,4,69,0,0
19922,348,2020-06-19,535,73,6,70,0,0
19922,348,2020-06-20,0,74,0,71,0,0
21840,359,2020-06-21,1918,75,11,72,0,0
24862,372,2020-06-22,3022,76,13,73,0,0
26437,380,2020-06-23,1575,77,8,74,0,0
26919,387,2020-06-24,482,78,7,75,0,0
27415,394,2020-06-25,496,79,7,76,0,0
27662,401,2020-06-26,247,80,7,77,0,0
27901,406,2020-06-27,239,81,5,78,0,0
27985,407,2020-06-28,84,82,1,79,0,0
28253,413,2020-06-29,268,83,6,80,0,0
28492,417,2020-06-30,239,84,4,81,0,0
28927,420,2020-07-01,435,85,3,82,0,0
29153,427,2020-07-02,226,86,7,83,0,0
29574,438,2020-07-03,421,87,11,84,0,0
29809,441,2020-07-04,235,88,3,85,0,0
29883,442,2020-07-05,74,89,1,86,0,0
30004,449,2020-07-06,121,90,7,87,0,0
30294,455,2020-07-07,290,91,6,88,0,0
30524,462,2020-07-08,230,92,7,89,0,0
30763,467,2020-07-09,239,93,5,90,0,0
31080,470,2020-07-10,317,94,3,91,0,0
31279,473,2020-07-11,199,95,3,92,0,0
31364,474,2020-07-12,85,96,1,93,0,0
31552,478,2020-07-13,188,97,4,94,0,0
31885,483,2020-07-14,333,98,5,95,0,0
32408,488,2020-07-15,523,99,5,96,0,0
33004,493,2020-07-16,596,100,5,97,0,0
33004,493,2020-07-17,0,101,0,98,0,0
