Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
743,398,41,2020-04-29 15:00:00,2020-04-29,0,38,1,34,13
743,385,40,2020-04-28 22:00:00,2020-04-28,5,37,0,33,41
738,344,40,2020-04-27 22:00:00,2020-04-27,0,36,0,32,0
738,344,40,2020-04-26 22:00:00,2020-04-26,7,35,0,31,0
731,344,40,2020-04-25 22:00:00,2020-04-25,8,34,3,30,11
723,333,37,2020-04-24 22:00:00,2020-04-24,0,33,0,29,24
723,309,37,2020-04-23 22:00:00,2020-04-23,6,32,0,28,27
717,282,37,2020-04-22 22:00:00,2020-04-22,0,31,0,27,34
717,248,37,2020-04-21 22:00:00,2020-04-21,4,30,1,26,13
713,235,36,2020-04-20 22:00:00,2020-04-20,9,29,1,25,30
704,205,35,2020-04-19 22:00:00,2020-04-19,8,28,0,24,14
696,191,35,2020-04-18 22:00:00,2020-04-18,14,27,2,23,22
682,169,33,2020-04-17 22:00:00,2020-04-17,9,26,0,22,0
673,169,33,2020-04-16 22:00:00,2020-04-16,14,25,2,21,41
659,128,31,2020-04-15 22:00:00,2020-04-15,13,24,2,20,0
646,128,29,2020-04-14 22:00:00,2020-04-14,8,23,0,19,0
638,128,29,2020-04-13 22:00:00,2020-04-13,37,22,3,18,57
601,71,26,2020-04-12 22:00:00,2020-04-12,0,21,0,17,0
601,71,26,2020-04-11 22:00:00,2020-04-11,18,20,1,16,13
583,58,25,2020-04-10 22:00:00,2020-04-10,19,19,2,15,6
564,52,23,2020-04-09 22:00:00,2020-04-09,19,18,1,14,13
545,39,22,2020-04-08 22:00:00,2020-04-08,20,17,1,13,8
525,31,21,2020-04-07 22:00:00,2020-04-07,24,16,3,12,5
501,26,18,2020-04-06 22:00:00,2020-04-06,0,15,0,11,0
501,26,18,2020-04-05 22:00:00,2020-04-05,62,14,2,10,10
439,16,16,2020-04-04 21:00:00,2020-04-04,11,13,1,9,6
428,10,15,2020-04-03 21:00:00,2020-04-03,38,12,1,8,0
390,10,14,2020-04-02 21:00:00,2020-04-02,14,11,2,7,0
376,10,12,2020-04-01 21:00:00,2020-04-01,6,10,4,6,0
370,10,8,2020-03-31 21:00:00,2020-03-31,36,9,2,5,4
