Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
990,984,6,2020-03-31 22:00:00,2020-03-31,0,64
990,984,6,2020-03-30 22:00:00,2020-03-30,0,63
990,984,6,2020-03-29 22:00:00,2020-03-29,0,62
990,984,6,2020-03-28 22:00:00,2020-03-28,0,61
990,984,6,2020-03-27 22:10:00,2020-03-27,0,60
990,984,6,2020-03-26 23:20:00,2020-03-26,0,59
990,984,6,2020-03-25 23:00:00,2020-03-25,0,58
990,984,6,2020-03-24 22:20:00,2020-03-24,0,57
990,984,6,2020-03-23 22:40:00,2020-03-23,0,56
990,984,6,2020-03-22 22:00:00,2020-03-22,0,55
990,984,6,2020-03-21 22:00:00,2020-03-21,0,54
990,984,6,2020-03-20 22:20:00,2020-03-20,0,53
990,984,6,2020-03-19 22:30:00,2020-03-19,0,52
990,984,6,2020-03-18 23:00:00,2020-03-18,0,51
990,984,6,2020-03-17 22:00:00,2020-03-17,0,50
990,984,6,2020-03-16 22:00:00,2020-03-16,0,49
990,984,6,2020-03-15 22:00:00,2020-03-15,0,48
990,984,6,2020-03-14 22:00:00,2020-03-14,0,47
990,984,6,2020-03-13 22:00:00,2020-03-13,0,46
990,984,6,2020-03-12 22:00:00,2020-03-12,0,45
990,984,6,2020-03-11 22:00:00,2020-03-11,0,44
990,984,6,2020-03-10 22:00:00,2020-03-10,0,43
990,984,6,2020-03-09 22:00:00,2020-03-09,0,42
990,984,6,2020-03-08 22:00:00,2020-03-08,0,41
990,979,6,2020-03-07 22:00:00,2020-03-07,0,40
990,979,6,2020-03-06 22:00:00,2020-03-06,0,39
990,970,6,2020-03-05 22:00:00,2020-03-05,0,38
990,956,6,2020-03-04 22:00:00,2020-03-04,0,37
990,928,6,2020-03-03 22:00:00,2020-03-03,0,36
990,889,6,2020-03-02 22:00:00,2020-03-02,0,35
990,873,6,2020-03-01 22:00:00,2020-03-01,0,34
990,868,6,2020-02-29 22:00:00,2020-02-29,0,33
990,821,6,2020-02-28 22:00:00,2020-02-28,1,32
989,775,6,2020-02-27 22:00:00,2020-02-27,0,31
989,744,6,2020-02-26 22:00:00,2020-02-26,0,30
989,727,6,2020-02-25 22:00:00,2020-02-25,0,29
989,663,6,2020-02-24 22:00:00,2020-02-24,0,28
989,637,6,2020-02-23 22:00:00,2020-02-23,0,27
989,597,6,2020-02-22 22:00:00,2020-02-22,1,26
988,539,6,2020-02-21 22:00:00,2020-02-21,1,25
987,474,6,2020-02-20 22:00:00,2020-02-20,1,24
986,401,6,2020-02-19 22:00:00,2020-02-19,4,23
982,337,6,2020-02-18 22:00:00,2020-02-18,9,22
973,280,6,2020-02-17 22:00:00,2020-02-17,11,21
962,255,6,2020-02-16 22:00:00,2020-02-16,12,20
950,217,6,2020-02-15 22:00:00,2020-02-15,16,19
934,184,6,2020-02-14 22:00:00,2020-02-14,24,18
910,162,5,2020-02-13 22:00:00,2020-02-13,21,17
889,127,4,2020-02-12 22:00:00,2020-02-12,29,16
860,105,4,2020-02-11 21:30:00,2020-02-11,30,15
830,89,3,2020-02-10 22:00:00,2020-02-10,51,14
779,72,1,2020-02-09 22:00:00,2020-02-09,46,13
733,59,0,2020-02-08 22:00:00,2020-02-08,68,12
665,47,0,2020-02-07 22:00:00,2020-02-07,74,11
591,34,0,2020-02-06 22:00:00,2020-02-06,61,10
530,21,0,2020-02-05 22:00:00,2020-02-05,50,9
480,20,0,2020-02-04 21:00:00,2020-02-04,72,8
408,11,0,2020-02-03 21:00:00,2020-02-03,68,7
340,5,0,2020-02-02 21:00:00,2020-02-02,103,6
237,3,0,2020-02-01 11:00:00,2020-02-01,0,5
237,3,0,2020-01-31 13:30:00,2020-01-31,37,4
200,2,0,2020-01-30 13:00:00,2020-01-30,48,3
152,0,0,2020-01-29 15:00:00,2020-01-29,46,2
106,0,0,2020-01-28 12:30:00,2020-01-28,36,1
70,0,0,2020-01-27 15:00:00,2020-01-27,10,0
60,0,0,2020-01-26 14:00:00,2020-01-26,21,0
39,0,0,2020-01-25 16:00:00,2020-01-25,24,0
15,0,0,2020-01-24 16:00:00,2020-01-24,6,0
9,0,0,2020-01-23 16:00:00,2020-01-23,8,0
1,0,0,2020-01-22 16:00:00,2020-01-22,1,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0,0
