Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
177002,174,3747,2020-08-02 22:00:00,2020-08-02,2992,134,53,132,0
174010,174,3694,2020-08-01 22:00:00,2020-08-01,3212,133,68,131,0
170798,174,3626,2020-07-31 22:00:00,2020-07-31,2525,132,172,130,0
168273,174,3454,2020-07-30 22:00:00,2020-07-30,2339,131,46,129,0
165934,174,3408,2020-07-29 22:00:00,2020-07-29,2107,130,103,128,0
163827,174,3305,2020-07-28 22:00:00,2020-07-28,1813,129,0,127,0
162014,174,3305,2020-07-27 22:00:00,2020-07-27,1973,128,19,126,0
160041,174,3286,2020-07-26 22:00:00,2020-07-26,3740,127,143,125,0
156301,174,3143,2020-07-25 22:00:00,2020-07-25,3357,126,80,124,0
152944,174,3063,2020-07-24 22:00:00,2020-07-24,2335,125,89,123,0
150609,174,2974,2020-07-23 22:00:00,2020-07-23,1926,124,56,122,0
148683,174,2918,2020-07-22 22:00:00,2020-07-22,3500,123,134,121,0
145183,174,2784,2020-07-21 22:00:00,2020-07-21,1559,122,23,120,0
143624,174,2761,2020-07-20 22:00:00,2020-07-20,2359,121,31,119,0
141265,174,2730,2020-07-19 22:00:00,2020-07-19,2742,120,147,118,0
138523,174,2583,2020-07-18 22:00:00,2020-07-18,3910,119,91,117,0
134613,174,2492,2020-07-17 22:00:00,2020-07-17,3259,118,58,116,0
131354,174,2434,2020-07-16 22:00:00,2020-07-16,3257,117,97,115,0
128097,174,2337,2020-07-15 22:00:00,2020-07-15,4273,116,92,114,0
123824,174,2245,2020-07-14 22:00:00,2020-07-14,1357,115,8,113,0
122467,174,2237,2020-07-13 22:00:00,2020-07-13,2537,114,86,112,0
119930,174,2151,2020-07-12 22:00:00,2020-07-12,3038,113,69,111,0
116892,174,2082,2020-07-11 22:00:00,2020-07-11,4221,112,44,110,0
112671,174,2038,2020-07-10 22:00:00,2020-07-10,4057,111,75,109,0
108614,174,1963,2020-07-09 22:00:00,2020-07-09,3520,110,36,108,0
105094,174,1927,2020-07-08 22:00:00,2020-07-08,3639,109,98,107,0
101455,174,1829,2020-07-07 22:00:00,2020-07-07,3352,108,4,106,0
98103,174,1825,2020-07-06 22:00:00,2020-07-06,3536,107,8,105,0
94567,174,1817,2020-07-05 22:00:00,2020-07-05,2695,106,19,104,0
91872,174,1798,2020-07-04 22:00:00,2020-07-04,4427,105,34,103,0
87445,174,1764,2020-07-03 22:00:00,2020-07-03,3340,104,39,102,0
84105,174,1725,2020-07-02 22:00:00,2020-07-02,4877,103,80,101,0
79228,174,1645,2020-07-01 22:00:00,2020-07-01,4683,102,47,100,0
74545,174,1598,2020-06-30 22:00:00,2020-06-30,637,101,4,99,0
73908,174,1594,2020-06-29 22:00:00,2020-06-29,3784,100,14,98,0
70124,174,1580,2020-06-28 22:00:00,2020-06-28,3465,99,44,97,0
66659,174,1536,2020-06-27 22:00:00,2020-06-27,3378,98,41,96,0
63281,174,1495,2020-06-26 22:00:00,2020-06-26,3091,97,28,95,0
60190,174,1467,2020-06-25 22:00:00,2020-06-25,1812,96,71,94,0
58378,174,1396,2020-06-24 22:00:00,2020-06-24,3779,95,45,93,0
54599,174,1351,2020-06-23 22:00:00,2020-06-23,2008,94,2,92,0
52591,174,1349,2020-06-22 22:00:00,2020-06-22,2464,93,3,91,0
50127,174,1346,2020-06-21 22:00:00,2020-06-21,3217,92,25,90,0
46910,174,1321,2020-06-20 22:00:00,2020-06-20,3465,91,38,89,0
43445,174,1283,2020-06-19 22:00:00,2020-06-19,2508,90,34,88,0
40937,174,1249,2020-06-18 22:00:00,2020-06-18,1752,89,21,87,0
39185,174,1228,2020-06-17 22:00:00,2020-06-17,2341,88,25,86,0
36844,174,1203,2020-06-16 22:00:00,2020-06-16,1138,87,12,85,0
35706,174,1191,2020-06-15 22:00:00,2020-06-15,1046,86,2,84,0
