Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
38196,28366,728,2020-07-30 22:00:00,2020-07-30,259,134,5,124,542
37937,27824,723,2020-07-29 22:00:00,2020-07-29,308,133,4,123,467
37629,27357,719,2020-07-28 22:00:00,2020-07-28,239,132,8,122,692
37390,26665,711,2020-07-27 22:00:00,2020-07-27,73,131,6,121,187
37317,26478,705,2020-07-26 22:00:00,2020-07-26,321,130,5,120,235
36996,26243,700,2020-07-25 22:00:00,2020-07-25,383,129,8,119,509
36613,25734,692,2020-07-24 22:00:00,2020-07-24,451,128,4,118,490
36162,25244,688,2020-07-23 22:00:00,2020-07-23,469,127,10,117,478
35693,24766,678,2020-07-22 22:00:00,2020-07-22,439,126,16,116,560
35254,24206,662,2020-07-21 22:00:00,2020-07-21,273,125,12,115,704
34981,23502,650,2020-07-20 22:00:00,2020-07-20,104,124,9,114,208
34877,23294,641,2020-07-19 22:00:00,2020-07-19,415,123,10,113,171
34462,23123,631,2020-07-18 22:00:00,2020-07-18,461,122,11,112,631
34001,22492,620,2020-07-17 22:00:00,2020-07-17,442,121,13,111,561
33559,21931,607,2020-07-16 22:00:00,2020-07-16,554,120,15,110,583
33005,21348,592,2020-07-15 22:00:00,2020-07-15,515,119,11,109,619
32490,20729,581,2020-07-14 22:00:00,2020-07-14,339,118,8,108,864
32151,19865,573,2020-07-13 22:00:00,2020-07-13,182,117,8,107,232
31969,19633,565,2020-07-12 22:00:00,2020-07-12,577,116,6,106,214
31392,19419,559,2020-07-11 22:00:00,2020-07-11,489,115,13,105,710
30903,18709,546,2020-07-10 22:00:00,2020-07-10,557,114,11,104,709
30346,18000,535,2020-07-09 22:00:00,2020-07-09,526,113,14,103,573
29820,17427,521,2020-07-08 22:00:00,2020-07-08,535,112,18,102,520
29285,16907,503,2020-07-07 22:00:00,2020-07-07,349,111,12,101,605
28936,16302,491,2020-07-06 22:00:00,2020-07-06,330,110,7,100,162
28606,16140,484,2020-07-05 22:00:00,2020-07-05,706,109,7,99,205
27900,15935,477,2020-07-04 22:00:00,2020-07-04,580,108,8,98,451
27320,15484,469,2020-07-03 22:00:00,2020-07-03,662,107,10,97,448
26658,15036,459,2020-07-02 22:00:00,2020-07-02,593,106,6,96,473
26065,14563,453,2020-07-01 22:00:00,2020-07-01,523,105,10,95,515
25542,14048,443,2020-06-30 22:00:00,2020-06-30,415,104,10,94,751
25127,13297,433,2020-06-29 22:00:00,2020-06-29,482,103,7,93,181
24645,13116,426,2020-06-28 22:00:00,2020-06-28,736,102,5,92,205
23909,12911,421,2020-06-27 22:00:00,2020-06-27,662,101,11,91,762
23247,12149,410,2020-06-26 22:00:00,2020-06-26,759,100,13,90,814
22488,11335,397,2020-06-25 22:00:00,2020-06-25,771,99,11,89,538
21717,10797,386,2020-06-24 22:00:00,2020-06-24,711,98,14,88,653
21006,10144,372,2020-06-23 22:00:00,2020-06-23,418,97,12,87,1013
20588,9131,360,2020-06-22 22:00:00,2020-06-22,320,96,10,86,129
20268,9002,350,2020-06-21 22:00:00,2020-06-21,560,95,18,85,148
19708,8854,332,2020-06-20 22:00:00,2020-06-20,551,94,13,84,588
19157,8266,319,2020-06-19 22:00:00,2020-06-19,459,93,10,83,706
18698,7560,309,2020-06-18 22:00:00,2020-06-18,665,92,7,82,746
18033,6814,302,2020-06-17 22:00:00,2020-06-17,544,91,9,81,243
17489,6571,293,2020-06-16 22:00:00,2020-06-16,425,90,8,80,295
17064,6276,285,2020-06-15 22:00:00,2020-06-15,397,89,16,79,62
16667,6214,269,2020-06-14 22:00:00,2020-06-14,663,88,5,78,133
16004,6081,264,2020-06-13 22:00:00,2020-06-13,723,87,6,77,442
15281,5639,258,2020-06-12 22:00:00,2020-06-12,612,86,13,76,173
14669,5466,245,2020-06-11 22:00:00,2020-06-11,566,85,18,75,240
14103,5226,227,2020-06-10 22:00:00,2020-06-10,428,84,10,74,775
13675,4451,217,2020-06-09 22:00:00,2020-06-09,350,83,6,73,352
13325,4099,211,2020-06-08 22:00:00,2020-06-08,195,82,11,72,85
13130,4014,200,2020-06-07 22:00:00,2020-06-07,766,81,10,71,294
12364,3720,190,2020-06-06 22:00:00,2020-06-06,547,80,7,70,207
11817,3513,183,2020-06-05 22:00:00,2020-06-05,596,79,7,69,45
11221,3468,176,2020-06-04 22:00:00,2020-06-04,697,78,6,68,14
10524,3454,170,2020-06-03 22:00:00,2020-06-03,515,77,12,67,27
10009,3427,158,2020-06-02 22:00:00,2020-06-02,517,76,19,66,25
9492,3402,139,2020-06-01 22:00:00,2020-06-01,210,75,8,65,16
9282,3386,131,2020-05-31 22:00:00,2020-05-31,355,74,4,64,69
8927,3317,127,2020-05-30 22:00:00,2020-05-30,251,73,7,63,20
8676,3297,120,2020-05-29 22:00:00,2020-05-29,460,72,7,62,10
8216,3287,113,2020-05-28 22:00:00,2020-05-28,442,71,15,61,32
7774,3255,98,2020-05-27 22:00:00,2020-05-27,372,70,7,60,35
7402,3220,91,2020-05-26 22:00:00,2020-05-26,289,69,4,59,75
7113,3145,87,2020-05-25 22:00:00,2020-05-25,452,68,6,58,81
6661,3064,81,2020-05-24 22:00:00,2020-05-24,359,67,4,57,128
6302,2936,77,2020-05-23 22:00:00,2020-05-23,374,66,3,56,62
5928,2874,74,2020-05-22 22:00:00,2020-05-22,322,65,4,55,293
5606,2581,70,2020-05-21 22:00:00,2020-05-21,335,64,3,54,162
5271,2419,67,2020-05-20 22:00:00,2020-05-20,230,63,3,53,255
5041,2164,64,2020-05-19 22:00:00,2020-05-19,218,62,3,52,145
4823,2019,61,2020-05-18 22:00:00,2020-05-18,351,61,1,51,94
4472,1925,60,2020-05-17 22:00:00,2020-05-17,189,60,5,50,134
4283,1791,55,2020-05-16 22:00:00,2020-05-16,239,59,3,49,125
4044,1666,52,2020-05-15 22:00:00,2020-05-15,184,58,3,48,94
3860,1572,49,2020-05-14 22:00:00,2020-05-14,142,57,1,47,72
3718,1500,48,2020-05-13 22:00:00,2020-05-13,180,56,1,46,70
3538,1430,47,2020-05-12 22:00:00,2020-05-12,146,55,1,45,71
3392,1359,46,2020-05-11 22:00:00,2020-05-11,79,54,1,44,34
3313,1325,45,2020-05-10 22:00:00,2020-05-10,138,53,1,43,58
3175,1267,44,2020-05-09 22:00:00,2020-05-09,146,52,1,42,49
3029,1218,43,2020-05-08 22:00:00,2020-05-08,145,51,1,41,33
2884,1185,42,2020-05-07 22:00:00,2020-05-07,102,50,2,40,50
2782,1135,40,2020-05-06 22:00:00,2020-05-06,163,49,0,39,24
2619,1111,40,2020-05-05 22:00:00,2020-05-05,112,48,1,38,40
2507,1071,39,2020-05-04 22:00:00,2020-05-04,121,47,4,37,36
2386,1035,35,2020-05-03 22:00:00,2020-05-03,113,46,2,36,25
2273,1010,33,2020-05-02 22:00:00,2020-05-02,125,45,0,35,33
2148,977,33,2020-05-01 22:00:00,2020-05-01,82,44,1,34,48
2066,929,32,2020-04-30 22:00:00,2020-04-30,134,43,2,33,29
1932,900,30,2020-04-29 22:00:00,2020-04-29,65,42,0,32,34
1867,866,30,2020-04-28 22:00:00,2020-04-28,59,41,1,31,18
1808,848,29,2020-04-27 22:00:00,2020-04-27,62,40,1,30,15
1746,833,28,2020-04-26 22:00:00,2020-04-26,69,39,0,29,30
1677,803,28,2020-04-25 22:00:00,2020-04-25,81,38,1,28,75
1596,728,27,2020-04-24 22:00:00,2020-04-24,73,37,3,27,69
1523,659,24,2020-04-23 22:00:00,2020-04-23,50,36,0,26,26
1473,633,24,2020-04-22 22:00:00,2020-04-22,72,35,0,25,24
1401,609,24,2020-04-21 22:00:00,2020-04-21,62,34,2,24,29
1339,580,22,2020-04-20 22:00:00,2020-04-20,48,33,2,23,35
1291,545,20,2020-04-19 22:00:00,2020-04-19,43,32,0,22,22
1248,523,20,2020-04-18 22:00:00,2020-04-18,47,31,1,21,121
1201,402,19,2020-04-17 22:00:00,2020-04-17,42,30,1,20,44
1159,358,18,2020-04-16 22:00:00,2020-04-16,48,29,1,19,61
1111,297,17,2020-04-15 22:00:00,2020-04-15,44,28,1,18,32
1067,265,16,2020-04-14 22:00:00,2020-04-14,28,27,2,17,54
1039,211,14,2020-04-13 22:00:00,2020-04-13,26,26,1,16,14
1013,197,13,2020-04-12 22:00:00,2020-04-12,46,25,0,15,24
967,173,13,2020-04-11 22:00:00,2020-04-11,30,24,2,14,24
937,149,11,2020-04-10 22:00:00,2020-04-10,16,23,1,13,11
921,138,10,2020-04-09 22:00:00,2020-04-09,40,22,1,12,24
881,114,9,2020-04-08 22:00:00,2020-04-08,28,21,1,11,27
853,87,8,2020-04-07 22:00:00,2020-04-07,20,20,0,10,25
833,62,8,2020-04-06 22:00:00,2020-04-06,11,19,1,9,5
822,57,7,2020-04-05 22:00:00,2020-04-05,52,18,0,8,14
770,43,7,2020-04-04 21:00:00,2020-04-04,34,17,0,7,0
736,43,7,2020-04-03 21:00:00,2020-04-03,73,16,3,6,10
663,33,4,2020-04-02 21:00:00,2020-04-02,92,15,1,5,2
571,31,3,2020-04-01 21:00:00,2020-04-01,39,14,0,4,1
532,30,3,2020-03-31 21:00:00,2020-03-31,50,13,0,3,0
482,30,3,2020-03-30 21:00:00,2020-03-30,58,12,0,2,0
424,30,3,2020-03-29 21:00:00,2020-03-29,52,11,2,1,2
372,28,1,2020-03-28 21:00:00,2020-03-28,43,10,0,0,10
329,18,1,2020-03-27 21:10:00,2020-03-27,39,9,1,0,0
290,18,0,2020-03-26 22:20:00,2020-03-26,25,8,0,0,2
265,16,0,2020-03-25 23:20:00,2020-03-25,30,7,0,0,14
235,2,0,2020-03-24 21:20:00,2020-03-24,41,6,0,0,0
194,2,0,2020-03-23 21:40:00,2020-03-23,4,5,0,0,0
190,2,0,2020-03-22 21:00:00,2020-03-22,30,4,0,0,1
160,1,0,2020-03-21 21:00:00,2020-03-21,24,3,0,0,0
136,1,0,2020-03-20 21:20:00,2020-03-20,14,2,0,0,0
122,1,0,2020-03-19 21:30:00,2020-03-19,38,1,0,0,0
84,1,0,2020-03-18 22:00:00,2020-03-18,20,0,0,0,0
64,1,0,2020-03-17 21:00:00,2020-03-17,34,0,0,0,0
30,1,0,2020-03-16 21:00:00,2020-03-16,10,0,0,0,1
20,0,0,2020-03-15 21:00:00,2020-03-15,5,0,0,0,0
