Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
13117,8582,133,2020-07-23 22:00:00,2020-07-23,410,136,5,138,228
12707,8354,128,2020-07-22 22:00:00,2020-07-22,468,135,2,137,2
12239,8352,126,2020-07-21 22:00:00,2020-07-21,359,134,3,136,150
11880,8202,123,2020-07-20 22:00:00,2020-07-20,267,133,1,135,120
11613,8082,122,2020-07-19 22:00:00,2020-07-19,361,132,4,134,112
11252,7970,118,2020-07-18 22:00:00,2020-07-18,206,131,2,133,45
11046,7925,116,2020-07-17 22:00:00,2020-07-17,425,130,3,132,81
10621,7844,113,2020-07-16 22:00:00,2020-07-16,315,129,2,131,107
10306,7737,111,2020-07-15 22:00:00,2020-07-15,244,128,3,130,93
10062,7644,108,2020-07-14 22:00:00,2020-07-14,271,127,0,129,66
9791,7578,108,2020-07-13 22:00:00,2020-07-13,183,126,0,128,42
9608,7536,108,2020-07-12 22:00:00,2020-07-12,244,125,1,127,3
9364,7533,107,2020-07-11 22:00:00,2020-07-11,195,124,2,126,118
9169,7415,105,2020-07-10 22:00:00,2020-07-10,299,123,0,125,31
8870,7384,105,2020-07-09 22:00:00,2020-07-09,173,122,0,124,88
8697,7296,105,2020-07-08 22:00:00,2020-07-08,131,121,0,123,32
8566,7264,105,2020-07-07 22:00:00,2020-07-07,169,120,0,122,35
8397,7229,105,2020-07-06 22:00:00,2020-07-06,137,119,2,121,21
8260,7208,103,2020-07-05 22:00:00,2020-07-05,87,118,0,120,44
8173,7164,103,2020-07-04 22:00:00,2020-07-04,107,117,0,119,36
8066,7128,103,2020-07-03 22:00:00,2020-07-03,65,116,0,118,40
8001,7088,103,2020-07-02 22:00:00,2020-07-02,81,115,0,117,27
7920,7061,103,2020-07-01 22:00:00,2020-07-01,86,114,0,116,26
7834,7035,103,2020-06-30 22:00:00,2020-06-30,67,113,0,115,29
7767,7006,103,2020-06-29 22:00:00,2020-06-29,81,112,0,114,15
7686,6991,103,2020-06-28 22:00:00,2020-06-28,45,111,0,113,14
7641,6977,103,2020-06-27 22:00:00,2020-06-27,46,110,0,112,21
7595,6956,103,2020-06-26 22:00:00,2020-06-26,37,109,0,111,16
7558,6940,103,2020-06-25 22:00:00,2020-06-25,37,108,0,110,18
7521,6922,103,2020-06-24 22:00:00,2020-06-24,29,107,1,109,9
7492,6913,102,2020-06-23 22:00:00,2020-06-23,18,106,0,108,12
7474,6901,102,2020-06-22 22:00:00,2020-06-22,13,105,0,107,7
7461,6894,102,2020-06-21 22:00:00,2020-06-21,25,104,0,106,8
7436,6886,102,2020-06-20 22:00:00,2020-06-20,27,103,0,105,8
7409,6878,102,2020-06-19 22:00:00,2020-06-19,18,102,0,104,10
7391,6868,102,2020-06-18 22:00:00,2020-06-18,21,101,0,103,0
7370,6868,102,2020-06-17 22:00:00,2020-06-17,23,100,0,102,12
7347,6856,102,2020-06-16 22:00:00,2020-06-16,12,99,0,101,5
7335,6851,102,2020-06-15 22:00:00,2020-06-15,15,98,0,100,13
7320,6838,102,2020-06-14 22:00:00,2020-06-14,18,97,0,99,26
7302,6812,102,2020-06-13 22:00:00,2020-06-13,13,96,0,98,30
7289,6782,102,2020-06-12 22:00:00,2020-06-12,4,95,0,97,22
7285,6760,102,2020-06-11 22:00:00,2020-06-11,9,94,0,96,15
7276,6745,102,2020-06-10 22:00:00,2020-06-10,9,93,0,95,24
7267,6721,102,2020-06-09 22:00:00,2020-06-09,2,92,0,94,14
7265,6707,102,2020-06-08 22:00:00,2020-06-08,5,91,0,93,3
7260,6704,102,2020-06-07 22:00:00,2020-06-07,5,90,0,92,10
7255,6694,102,2020-06-06 22:00:00,2020-06-06,4,89,0,91,13
7251,6681,102,2020-06-05 22:00:00,2020-06-05,11,88,0,90,16
7240,6665,102,2020-06-04 22:00:00,2020-06-04,11,87,0,89,23
7229,6642,102,2020-06-03 22:00:00,2020-06-03,8,86,0,88,15
7221,6627,102,2020-06-02 22:00:00,2020-06-02,17,85,-1,87,6
7204,6621,103,2020-06-01 22:00:00,2020-06-01,9,84,0,86,5
7195,6616,103,2020-05-31 22:00:00,2020-05-31,10,83,0,85,8
7185,6608,103,2020-05-30 22:00:00,2020-05-30,12,82,0,84,24
7173,6584,103,2020-05-29 22:00:00,2020-05-29,16,81,0,83,3
7157,6581,103,2020-05-28 22:00:00,2020-05-28,18,80,0,82,18
7139,6563,103,2020-05-27 22:00:00,2020-05-27,6,79,1,81,8
7133,6555,102,2020-05-26 22:00:00,2020-05-26,15,78,0,80,21
7118,6534,102,2020-05-25 22:00:00,2020-05-25,4,77,0,79,23
7114,6511,102,2020-05-24 22:00:00,2020-05-24,3,76,0,78,15
7111,6496,102,2020-05-23 22:00:00,2020-05-23,16,75,1,77,15
7095,6481,101,2020-05-22 22:00:00,2020-05-22,14,74,1,76,8
7081,6473,100,2020-05-21 22:00:00,2020-05-21,2,73,0,75,26
7079,6447,100,2020-05-20 22:00:00,2020-05-20,11,72,1,74,30
7068,6417,99,2020-05-19 22:00:00,2020-05-19,8,71,0,73,19
7060,6398,99,2020-05-18 22:00:00,2020-05-18,9,70,1,72,27
7051,6371,98,2020-05-17 22:00:00,2020-05-17,9,69,0,71,4
7042,6367,98,2020-05-16 22:00:00,2020-05-16,18,68,0,70,34
7024,6333,98,2020-05-15 22:00:00,2020-05-15,30,67,0,69,20
6994,6313,98,2020-05-14 22:00:00,2020-05-14,14,66,0,68,39
6980,6274,98,2020-05-13 22:00:00,2020-05-13,12,65,1,67,39
6968,6235,97,2020-05-12 22:00:00,2020-05-12,20,64,0,66,47
6948,6188,97,2020-05-11 22:00:00,2020-05-11,9,63,0,65,21
6939,6167,97,2020-05-10 22:00:00,2020-05-10,12,62,0,64,29
6927,6138,97,2020-05-09 22:00:00,2020-05-09,14,61,0,63,56
6913,6082,97,2020-05-08 22:00:00,2020-05-08,18,60,0,62,43
6895,6039,97,2020-05-07 22:00:00,2020-05-07,20,59,1,61,59
6875,5980,96,2020-05-06 22:00:00,2020-05-06,26,58,1,60,89
6849,5891,95,2020-05-05 22:00:00,2020-05-05,26,57,0,59,27
6823,5864,95,2020-05-04 22:00:00,2020-05-04,26,56,1,58,46
6797,5818,94,2020-05-03 22:00:00,2020-05-03,16,55,1,57,26
6781,5792,93,2020-05-02 22:00:00,2020-05-02,16,54,0,56,44
6765,5748,93,2020-05-01 22:00:00,2020-05-01,14,53,2,55,31
6751,5717,91,2020-04-30 22:00:00,2020-04-30,7,52,2,54,47
6744,5670,89,2020-04-29 22:00:00,2020-04-29,13,51,5,53,48
6731,5622,84,2020-04-28 22:00:00,2020-04-28,11,50,1,52,46
6720,5576,83,2020-04-27 22:00:00,2020-04-27,9,49,0,51,35
6711,5541,83,2020-04-26 22:00:00,2020-04-26,16,48,3,50,168
6695,5373,80,2020-04-25 22:00:00,2020-04-25,19,47,2,49,241
6676,5132,78,2020-04-24 22:00:00,2020-04-24,17,46,3,48,99
6659,5033,75,2020-04-23 22:00:00,2020-04-23,8,45,1,47,101
6651,4932,74,2020-04-22 22:00:00,2020-04-22,6,44,0,46,251
6645,4681,74,2020-04-21 22:00:00,2020-04-21,26,43,1,45,423
6619,4258,73,2020-04-20 22:00:00,2020-04-20,13,42,2,44,28
6606,4230,71,2020-04-19 22:00:00,2020-04-19,41,41,3,43,67
6565,4163,68,2020-04-18 22:00:00,2020-04-18,42,40,3,42,349
