Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
16655,15347,668,2020-05-29 22:00:00,2020-05-29,27,83,0,74,61
16628,15286,668,2020-05-28 22:00:00,2020-05-28,71,82,23,73,58
16557,15228,645,2020-05-27 22:00:00,2020-05-27,0,81,2,72,46
16557,15182,643,2020-05-26 22:00:00,2020-05-26,18,80,2,71,44
16539,15138,641,2020-05-25 22:00:00,2020-05-25,36,79,1,70,75
16503,15063,640,2020-05-24 22:00:00,2020-05-24,17,78,1,69,26
16486,15037,639,2020-05-23 22:00:00,2020-05-23,50,77,4,68,32
16436,15005,635,2020-05-22 22:00:00,2020-05-22,32,76,2,67,54
16404,14951,633,2020-05-21 22:00:00,2020-05-21,51,75,0,66,69
16353,14882,633,2020-05-20 22:00:00,2020-05-20,32,74,1,65,204
16321,14678,632,2020-05-19 22:00:00,2020-05-19,52,73,3,64,64
16269,14614,629,2020-05-18 22:00:00,2020-05-18,27,72,0,63,51
16242,14563,629,2020-05-17 22:00:00,2020-05-17,41,71,0,62,39
16201,14524,629,2020-05-16 22:00:00,2020-05-16,93,70,1,61,53
16108,14471,628,2020-05-15 22:00:00,2020-05-15,50,69,2,60,66
16058,14405,626,2020-05-14 22:00:00,2020-05-14,61,68,2,59,101
15997,14304,624,2020-05-13 22:00:00,2020-05-13,36,67,1,58,156
15961,14148,623,2020-05-12 22:00:00,2020-05-12,79,66,3,57,87
15882,14061,620,2020-05-11 22:00:00,2020-05-11,11,65,2,56,70
15871,13991,618,2020-05-10 22:00:00,2020-05-10,38,64,3,55,63
15833,13928,615,2020-05-09 22:00:00,2020-05-09,59,63,1,54,92
15774,13836,614,2020-05-08 22:00:00,2020-05-08,22,62,5,53,138
15752,13698,609,2020-05-07 22:00:00,2020-05-07,68,61,1,52,59
15684,13639,608,2020-05-06 22:00:00,2020-05-06,34,60,2,51,177
15650,13462,606,2020-05-05 22:00:00,2020-05-05,53,59,8,50,234
15597,13228,598,2020-05-04 22:00:00,2020-05-04,0,58,0,49,0
15597,13228,598,2020-05-03 22:00:00,2020-05-03,39,57,2,48,48
15558,13180,596,2020-05-02 22:00:00,2020-05-02,-3,56,7,47,70
15561,13110,589,2020-05-01 22:00:00,2020-05-01,109,55,5,46,203
15452,12907,584,2020-04-30 22:00:00,2020-04-30,50,54,4,45,128
15402,12779,580,2020-04-29 22:00:00,2020-04-29,45,53,11,44,199
15357,12580,569,2020-04-28 22:00:00,2020-04-28,83,52,20,43,218
15274,12362,549,2020-04-27 22:00:00,2020-04-27,49,51,7,42,80
15225,12282,542,2020-04-26 22:00:00,2020-04-26,77,50,6,41,179
15148,12103,536,2020-04-25 22:00:00,2020-04-25,77,49,14,40,231
15071,11872,522,2020-04-24 22:00:00,2020-04-24,69,48,0,39,178
15002,11694,522,2020-04-23 22:00:00,2020-04-23,77,47,12,38,366
14925,11328,510,2020-04-22 22:00:00,2020-04-22,52,46,19,37,357
14873,10971,491,2020-04-21 22:00:00,2020-04-21,78,45,21,36,340
14795,10631,470,2020-04-20 22:00:00,2020-04-20,114,44,27,35,130
14681,10501,443,2020-04-19 22:00:00,2020-04-19,10,43,0,34,287
14671,10214,443,2020-04-18 22:00:00,2020-04-18,144,42,33,33,510
14527,9704,410,2020-04-17 22:00:00,2020-04-17,115,41,17,32,1606
14412,8098,393,2020-04-16 22:00:00,2020-04-16,122,40,0,31,0
14290,8098,393,2020-04-15 22:00:00,2020-04-15,155,39,9,30,465
14135,7633,384,2020-04-14 22:00:00,2020-04-14,151,38,16,29,290
13984,7343,368,2020-04-13 22:00:00,2020-04-13,39,37,18,28,356
13945,6987,350,2020-04-12 22:00:00,2020-04-12,201,36,13,27,383
13744,6604,337,2020-04-11 22:00:00,2020-04-11,313,35,18,26,540
13431,6064,319,2020-04-10 22:00:00,2020-04-10,357,34,24,25,824
13074,5240,295,2020-04-09 22:00:00,2020-04-09,250,33,22,24,728
12824,4512,273,2020-04-08 22:00:00,2020-04-08,363,32,30,23,466
12461,4046,243,2020-04-07 22:00:00,2020-04-07,352,31,23,22,583
12109,3463,220,2020-04-06 22:00:00,2020-04-06,248,30,16,21,465
11861,2998,204,2020-04-05 22:00:00,2020-04-05,80,29,18,20,491
11781,2507,186,2020-04-04 21:00:00,2020-04-04,530,28,18,19,485
11251,2022,168,2020-04-03 21:00:00,2020-04-03,374,27,10,18,273
10877,1749,158,2020-04-02 21:00:00,2020-04-02,490,26,12,17,654
10387,1095,146,2020-04-01 21:00:00,2020-04-01,536,25,18,16,0
9851,1095,128,2020-03-31 21:00:00,2020-03-31,748,24,20,15,459
9103,636,108,2020-03-30 21:00:00,2020-03-30,692,23,22,14,157
8411,479,86,2020-03-29 21:00:00,2020-03-29,699,22,18,13,254
7712,225,68,2020-03-28 21:00:00,2020-03-28,516,21,10,12,0
7196,225,58,2020-03-27 21:10:00,2020-03-27,1195,20,16,11,113
6001,112,42,2020-03-26 22:20:00,2020-03-26,485,19,12,10,103
5516,9,30,2020-03-25 23:20:00,2020-03-25,734,18,5,9,0
4782,9,25,2020-03-24 21:20:00,2020-03-24,1023,17,9,8,0
3759,9,16,2020-03-23 21:40:00,2020-03-23,735,16,8,7,0
3024,9,8,2020-03-22 21:00:00,2020-03-22,329,15,1,6,0
2695,9,7,2020-03-21 21:00:00,2020-03-21,492,14,1,5,0
2203,9,6,2020-03-20 21:20:00,2020-03-20,360,13,1,4,0
1843,9,5,2020-03-19 21:30:00,2020-03-19,372,12,1,3,0
1471,9,4,2020-03-18 22:00:00,2020-03-18,260,11,1,2,1
1211,8,3,2020-03-17 21:00:00,2020-03-17,193,10,1,1,2
