Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
1,0,2020-02-25,1,0,0,0,0,0
3,0,2020-02-26,2,0,0,0,0,0
6,0,2020-02-27,3,0,0,0,0,0
10,0,2020-02-28,4,0,0,0,0,0
14,0,2020-02-29,4,0,0,0,0,0
15,0,2020-03-01,1,0,0,0,0,0
19,0,2020-03-02,4,0,0,0,0,0
26,0,2020-03-03,7,0,0,0,0,0
44,0,2020-03-04,18,0,0,0,0,0
65,0,2020-03-05,21,0,0,0,0,0
91,0,2020-03-06,26,0,0,0,0,0
116,0,2020-03-07,25,1,0,0,0,0
182,0,2020-03-08,66,2,0,0,0,0
199,0,2020-03-09,17,3,0,0,0,0
237,0,2020-03-10,38,4,0,0,0,0
277,0,2020-03-11,40,5,0,0,0,0
454,1,2020-03-12,177,6,1,0,0,0
454,1,2020-03-13,0,7,0,0,0,0
569,2,2020-03-14,115,8,1,0,0,0
827,3,2020-03-15,258,9,1,1,0,0
1105,3,2020-03-16,278,10,0,2,0,0
1479,2,2020-03-17,374,11,-1,0,0,0
1609,2,2020-03-18,130,12,0,0,0,0
2155,6,2020-03-19,546,13,4,3,0,0
2746,10,2020-03-20,591,14,4,4,0,0
3668,16,2020-03-21,922,15,6,5,0,0
3807,21,2020-03-22,139,16,5,6,0,0
3811,21,2020-03-23,4,17,0,7,0,0
5348,30,2020-03-24,1537,18,9,8,0,0
6069,37,2020-03-25,721,19,7,9,0,0
7283,56,2020-03-26,1214,20,19,10,0,0
8161,70,2020-03-27,878,21,14,11,0,0
9781,101,2020-03-28,1620,22,31,12,0,0
9794,101,2020-03-29,13,23,0,13,0,0
10943,119,2020-03-30,1149,24,18,14,0,0
12334,165,2020-03-31,1391,25,46,15,0,0
13410,197,2020-04-01,1076,26,32,16,0,0
14662,241,2020-04-02,1252,27,44,17,0,0
16059,285,2020-04-03,1397,28,44,18,0,0
17014,316,2020-04-04,955,29,31,19,0,0
18614,367,2020-04-05,1600,30,51,20,0,0
19395,387,2020-04-06,781,31,20,21,0,0
20141,433,2020-04-07,746,32,46,22,0,0
20680,464,2020-04-08,539,33,31,23,0,0
21603,519,2020-04-09,923,34,55,24,0,0
22433,570,2020-04-10,830,35,51,25,0,0
23617,622,2020-04-11,1184,36,52,26,0,0
24078,649,2020-04-12,461,37,27,27,0,0
24570,677,2020-04-13,492,38,28,28,0,0
25040,711,2020-04-14,470,39,34,29,0,0
25438,767,2020-04-15,398,40,56,30,0,0
25881,802,2020-04-16,443,41,35,31,0,0
26543,872,2020-04-17,662,42,70,32,0,0
27258,919,2020-04-18,715,43,47,33,0,0
27883,968,2020-04-19,625,44,49,34,0,0
28253,982,2020-04-20,370,45,14,35,0,0
28712,1031,2020-04-21,459,46,49,36,0,0
28898,1063,2020-04-22,186,47,32,37,0,0
