Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
67002,60092,530,2020-07-26 22:00:00,2020-07-26,0,118,0,115,0
67002,60092,530,2020-07-25 22:00:00,2020-07-25,156,117,6,114,337
66846,59755,524,2020-07-24 22:00:00,2020-07-24,158,116,5,113,316
66688,59439,519,2020-07-23 22:00:00,2020-07-23,167,115,6,112,378
66521,59061,513,2020-07-22 22:00:00,2020-07-22,308,114,10,111,771
66213,58290,503,2020-07-21 22:00:00,2020-07-21,118,113,4,110,86
66095,58204,499,2020-07-20 22:00:00,2020-07-20,142,112,4,109,348
65953,57856,495,2020-07-19 22:00:00,2020-07-19,0,111,0,108,0
65953,57856,495,2020-07-18 22:00:00,2020-07-18,330,110,10,107,941
65623,56915,485,2020-07-17 22:00:00,2020-07-17,0,109,0,106,0
65623,56915,485,2020-07-16 22:00:00,2020-07-16,180,108,5,105,536
65443,56379,480,2020-07-15 22:00:00,2020-07-15,174,107,6,104,580
65269,55799,474,2020-07-14 22:00:00,2020-07-14,337,106,10,103,419
64932,55380,464,2020-07-13 22:00:00,2020-07-13,165,105,5,102,461
64767,54919,459,2020-07-12 22:00:00,2020-07-12,0,104,0,101,0
64767,54919,459,2020-07-11 22:00:00,2020-07-11,163,103,5,100,665
64604,54254,454,2020-07-10 22:00:00,2020-07-10,380,102,11,99,1400
64224,52854,443,2020-07-09 22:00:00,2020-07-09,221,101,7,98,952
64003,51902,436,2020-07-08 22:00:00,2020-07-08,199,100,7,97,782
63804,51120,429,2020-07-07 22:00:00,2020-07-07,250,99,6,96,249
63554,50871,423,2020-07-06 22:00:00,2020-07-06,284,98,5,95,202
63270,50669,418,2020-07-05 22:00:00,2020-07-05,273,97,6,94,760
62997,49909,412,2020-07-04 22:00:00,2020-07-04,299,96,7,93,1171
62698,48738,405,2020-07-03 22:00:00,2020-07-03,0,95,0,92,0
62698,48738,405,2020-07-02 22:00:00,2020-07-02,580,94,13,91,2684
62118,46054,392,2020-07-01 22:00:00,2020-07-01,328,93,5,90,841
61790,45213,387,2020-06-30 22:00:00,2020-06-30,315,92,4,89,186
61475,45027,383,2020-06-29 22:00:00,2020-06-29,380,91,6,88,901
61095,44126,377,2020-06-28 22:00:00,2020-06-28,382,90,4,87,1437
60713,42689,373,2020-06-27 22:00:00,2020-06-27,331,89,6,86,1241
60382,41448,367,2020-06-26 22:00:00,2020-06-26,437,88,5,85,1312
59945,40136,362,2020-06-25 22:00:00,2020-06-25,458,87,5,84,1448
59487,38688,357,2020-06-24 22:00:00,2020-06-24,0,86,0,83,0
59487,38688,357,2020-06-23 22:00:00,2020-06-23,982,85,11,82,1022
58505,37666,346,2020-06-22 22:00:00,2020-06-22,0,84,0,81,0
58505,37666,346,2020-06-21 22:00:00,2020-06-21,569,83,3,80,917
57936,36749,343,2020-06-20 22:00:00,2020-06-20,1279,82,12,79,2726
56657,34023,331,2020-06-19 22:00:00,2020-06-19,625,81,7,78,1288
56032,32735,324,2020-06-18 22:00:00,2020-06-18,0,80,0,77,0
56032,32735,324,2020-06-17 22:00:00,2020-06-17,1352,79,12,76,2315
54680,30420,312,2020-06-16 22:00:00,2020-06-16,707,78,4,75,317
53973,30103,308,2020-06-15 22:00:00,2020-06-15,732,77,5,74,992
53241,29111,303,2020-06-14 22:00:00,2020-06-14,721,76,5,73,1351
52520,27760,298,2020-06-13 22:00:00,2020-06-13,704,75,5,72,1117
51816,26643,293,2020-06-12 22:00:00,2020-06-12,0,74,0,71,0
51816,26643,293,2020-06-11 22:00:00,2020-06-11,1551,73,11,70,2137
50265,24506,282,2020-06-10 22:00:00,2020-06-10,812,72,6,69,626
49453,23880,276,2020-06-09 22:00:00,2020-06-09,0,71,0,68,0
49453,23880,276,2020-06-08 22:00:00,2020-06-08,823,70,7,67,233
48630,23647,269,2020-06-07 22:00:00,2020-06-07,1762,69,10,66,1581
46868,22066,259,2020-06-06 22:00:00,2020-06-06,0,68,0,65,0
46868,22066,259,2020-06-05 22:00:00,2020-06-05,1752,67,11,64,1895
45116,20171,248,2020-06-04 22:00:00,2020-06-04,861,66,5,63,976
44255,19195,243,2020-06-03 22:00:00,2020-06-03,852,65,3,62,419
43403,18776,240,2020-06-02 22:00:00,2020-06-02,0,64,0,61,0
43403,18776,240,2020-06-01 22:00:00,2020-06-01,1745,63,11,60,812
41658,17964,229,2020-05-31 22:00:00,2020-05-31,894,62,5,59,574
40764,17390,224,2020-05-30 22:00:00,2020-05-30,906,61,5,58,730
39858,16660,219,2020-05-29 22:00:00,2020-05-29,0,60,0,57,0
39858,16660,219,2020-05-28 22:00:00,2020-05-28,902,59,5,56,737
38956,15923,214,2020-05-27 22:00:00,2020-05-27,897,58,6,55,837
38059,15086,208,2020-05-26 22:00:00,2020-05-26,1861,57,9,54,931
36198,14155,199,2020-05-25 22:00:00,2020-05-25,0,56,0,53,0
36198,14155,199,2020-05-24 22:00:00,2020-05-24,954,55,5,52,627
35244,13528,194,2020-05-23 22:00:00,2020-05-23,941,54,4,51,695
34303,12833,190,2020-05-22 22:00:00,2020-05-22,932,53,5,50,776
33371,12057,185,2020-05-21 22:00:00,2020-05-21,1863,52,10,49,1437
31508,10620,175,2020-05-20 22:00:00,2020-05-20,0,51,0,48,0
31508,10620,175,2020-05-19 22:00:00,2020-05-19,936,50,4,47,490
30572,10130,171,2020-05-18 22:00:00,2020-05-18,922,49,6,46,198
29650,9932,165,2020-05-17 22:00:00,2020-05-17,969,48,5,45,434
28681,9498,160,2020-05-16 22:00:00,2020-05-16,1909,47,9,44,1330
26772,8168,151,2020-05-15 22:00:00,2020-05-15,0,46,0,43,0
26772,8168,151,2020-05-14 22:00:00,2020-05-14,1899,45,9,42,1194
24873,6974,142,2020-05-13 22:00:00,2020-05-13,967,44,7,41,443
23906,6531,135,2020-05-12 22:00:00,2020-05-12,0,43,0,40,0
23906,6531,135,2020-05-11 22:00:00,2020-05-11,1854,42,9,39,481
22052,6050,126,2020-05-10 22:00:00,2020-05-10,951,41,5,38,566
21101,5484,121,2020-05-09 22:00:00,2020-05-09,933,40,5,37,417
20168,5067,116,2020-05-08 22:00:00,2020-05-08,913,39,4,36,679
19255,4388,112,2020-05-07 22:00:00,2020-05-07,0,38,0,35,0
19255,4388,112,2020-05-06 22:00:00,2020-05-06,1766,37,9,34,1129
17489,3259,103,2020-05-05 22:00:00,2020-05-05,0,36,0,33,0
17489,3259,103,2020-05-04 22:00:00,2020-05-04,784,35,4,32,63
16705,3196,99,2020-05-03 22:00:00,2020-05-03,877,34,2,31,79
15828,3117,97,2020-05-02 22:00:00,2020-05-02,911,33,4,30,199
14917,2918,93,2020-05-01 22:00:00,2020-05-01,890,32,4,29,532
14027,2386,89,2020-04-30 22:00:00,2020-04-30,846,31,5,28,314
13181,2072,84,2020-04-29 22:00:00,2020-04-29,973,30,5,27,79
12208,1993,79,2020-04-28 22:00:00,2020-04-28,919,29,4,26,253
11289,1740,75,2020-04-27 22:00:00,2020-04-27,826,28,3,25,45
10463,1695,72,2020-04-26 22:00:00,2020-04-26,873,27,5,24,122
9590,1573,67,2020-04-25 22:00:00,2020-04-25,1568,26,7,23,635
8022,938,60,2020-04-24 22:00:00,2020-04-24,741,25,2,22,169
7281,769,58,2020-04-23 22:00:00,2020-04-23,0,24,0,21,0
7281,769,58,2020-04-22 22:00:00,2020-04-22,1017,23,7,20,255
6264,514,51,2020-04-21 22:00:00,2020-04-21,1485,22,4,19,20
4779,494,47,2020-04-20 22:00:00,2020-04-20,0,21,2,18,152
4779,342,45,2020-04-19 22:00:00,2020-04-19,0,20,3,17,0
4779,342,42,2020-04-18 22:00:00,2020-04-18,0,19,0,16,0
4779,342,42,2020-04-17 22:00:00,2020-04-17,575,18,2,15,139
4204,203,40,2020-04-16 22:00:00,2020-04-16,476,17,4,14,0
3728,203,36,2020-04-15 22:00:00,2020-04-15,447,16,3,13,0
3281,203,33,2020-04-14 22:00:00,2020-04-14,362,15,4,12,0
2919,203,29,2020-04-13 22:00:00,2020-04-13,341,14,3,11,0
2578,203,26,2020-04-12 22:00:00,2020-04-12,352,13,3,10,31
2226,172,23,2020-04-11 22:00:00,2020-04-11,245,12,4,9,3
1981,169,19,2020-04-10 22:00:00,2020-04-10,915,11,6,8,92
1066,77,13,2020-04-09 22:00:00,2020-04-09,0,10,0,7,0
1066,77,13,2020-04-08 22:00:00,2020-04-08,366,9,0,6,24
700,53,13,2020-04-07 22:00:00,2020-04-07,0,8,0,5,0
700,53,13,2020-04-06 22:00:00,2020-04-06,138,7,5,4,0
562,53,8,2020-04-05 22:00:00,2020-04-05,211,6,4,3,0
351,53,4,2020-04-04 21:00:00,2020-04-04,47,5,0,2,0
304,53,4,2020-04-03 21:00:00,2020-04-03,141,4,2,1,0
163,53,2,2020-04-02 21:00:00,2020-04-02,0,3,0,0,0
163,53,2,2020-04-01 21:00:00,2020-04-01,11,2,2,0,6
152,47,0,2020-03-31 21:00:00,2020-03-31,58,1,0,0,15
94,32,0,2020-03-30 21:00:00,2020-03-30,0,0,0,0,0
94,32,0,2020-03-29 21:00:00,2020-03-29,0,0,0,0,0
94,32,0,2020-03-28 21:00:00,2020-03-28,0,0,0,0,3
