Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
93,85,0,2020-07-26 22:00:00,2020-07-26,1,0,0,0,0
92,85,0,2020-07-25 22:00:00,2020-07-25,0,0,0,0,2
92,83,0,2020-07-24 22:00:00,2020-07-24,0,0,0,0,0
92,83,0,2020-07-23 22:00:00,2020-07-23,0,0,0,0,0
92,83,0,2020-07-22 22:00:00,2020-07-22,2,0,0,0,0
90,83,0,2020-07-21 22:00:00,2020-07-21,1,0,0,0,1
89,82,0,2020-07-20 22:00:00,2020-07-20,2,0,0,0,2
87,80,0,2020-07-19 22:00:00,2020-07-19,0,0,0,0,2
87,78,0,2020-07-18 22:00:00,2020-07-18,1,0,0,0,0
86,78,0,2020-07-17 22:00:00,2020-07-17,2,0,0,0,0
84,78,0,2020-07-16 22:00:00,2020-07-16,0,0,0,0,0
84,78,0,2020-07-15 22:00:00,2020-07-15,0,0,0,0,0
84,78,0,2020-07-14 22:00:00,2020-07-14,0,0,0,0,2
84,76,0,2020-07-13 22:00:00,2020-07-13,2,0,0,0,0
82,76,0,2020-07-12 22:00:00,2020-07-12,0,0,0,0,19
82,57,0,2020-07-11 22:00:00,2020-07-11,2,0,0,0,2
80,55,0,2020-07-10 22:00:00,2020-07-10,0,0,0,0,0
80,55,0,2020-07-09 22:00:00,2020-07-09,0,0,0,0,0
80,55,0,2020-07-08 22:00:00,2020-07-08,0,0,0,0,1
80,54,0,2020-07-07 22:00:00,2020-07-07,0,0,0,0,1
80,53,0,2020-07-06 22:00:00,2020-07-06,2,0,0,0,2
78,51,0,2020-07-05 22:00:00,2020-07-05,0,0,0,0,0
78,51,0,2020-07-04 22:00:00,2020-07-04,1,0,0,0,1
77,50,0,2020-07-03 22:00:00,2020-07-03,0,0,0,0,0
77,50,0,2020-07-02 22:00:00,2020-07-02,0,0,0,0,2
77,48,0,2020-07-01 22:00:00,2020-07-01,0,0,0,0,4
77,44,0,2020-06-30 22:00:00,2020-06-30,1,0,0,0,0
76,44,0,2020-06-29 22:00:00,2020-06-29,0,0,0,0,6
76,38,0,2020-06-28 22:00:00,2020-06-28,1,0,0,0,0
75,38,0,2020-06-27 22:00:00,2020-06-27,5,0,0,0,0
70,38,0,2020-06-26 22:00:00,2020-06-26,0,0,0,0,4
70,34,0,2020-06-25 22:00:00,2020-06-25,0,0,0,0,0
70,34,0,2020-06-24 22:00:00,2020-06-24,1,0,0,0,2
69,32,0,2020-06-23 22:00:00,2020-06-23,1,0,0,0,0
68,32,0,2020-06-22 22:00:00,2020-06-22,0,0,0,0,2
68,30,0,2020-06-21 22:00:00,2020-06-21,0,0,0,0,2
68,28,0,2020-06-20 22:00:00,2020-06-20,1,0,0,0,3
67,25,0,2020-06-19 22:00:00,2020-06-19,0,0,0,0,0
67,25,0,2020-06-18 22:00:00,2020-06-18,0,0,0,0,1
67,24,0,2020-06-17 22:00:00,2020-06-17,0,0,0,0,2
67,22,0,2020-06-16 22:00:00,2020-06-16,1,0,0,0,0
66,22,0,2020-06-15 22:00:00,2020-06-15,0,0,0,0,1
