Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
72327,21971,2720,2020-07-29 22:00:00,2020-07-29,1146,121,73,121,493
71181,21478,2647,2020-07-28 22:00:00,2020-07-28,1752,120,64,120,309
69429,21169,2583,2020-07-27 22:00:00,2020-07-27,1148,119,48,119,218
68281,20951,2535,2020-07-26 22:00:00,2020-07-26,1825,118,62,118,337
66456,20614,2473,2020-07-25 22:00:00,2020-07-25,1204,117,66,117,584
65252,20030,2407,2020-07-24 22:00:00,2020-07-24,1117,116,79,116,309
64135,19721,2328,2020-07-23 22:00:00,2020-07-23,1778,115,55,115,431
62357,19290,2273,2020-07-22 22:00:00,2020-07-22,1366,114,55,114,415
60991,18875,2218,2020-07-21 22:00:00,2020-07-21,1409,113,67,113,322
59582,18553,2151,2020-07-20 22:00:00,2020-07-20,1444,112,45,112,353
58138,18200,2106,2020-07-19 22:00:00,2020-07-19,2036,111,57,111,318
56102,17882,2049,2020-07-18 22:00:00,2020-07-18,1946,110,65,110,903
54156,16979,1984,2020-07-17 22:00:00,2020-07-17,1938,109,42,109,622
52218,16357,1942,2020-07-16 22:00:00,2020-07-16,1351,108,44,108,538
50867,15819,1898,2020-07-15 22:00:00,2020-07-15,1617,107,32,107,525
49250,15294,1866,2020-07-14 22:00:00,2020-07-14,1063,106,59,106,451
48187,14843,1807,2020-07-13 22:00:00,2020-07-13,987,105,53,105,510
47200,14333,1754,2020-07-12 22:00:00,2020-07-12,1635,104,52,104,415
45565,13918,1702,2020-07-11 22:00:00,2020-07-11,1452,103,64,103,564
44113,13354,1638,2020-07-10 22:00:00,2020-07-10,1129,102,61,102,471
42984,12883,1577,2020-07-09 22:00:00,2020-07-09,1439,101,47,101,485
41545,12398,1530,2020-07-08 22:00:00,2020-07-08,1036,100,54,100,469
40509,11929,1476,2020-07-07 22:00:00,2020-07-07,1212,99,42,99,262
39297,11667,1434,2020-07-06 22:00:00,2020-07-06,1226,98,56,98,395
38071,11272,1378,2020-07-05 22:00:00,2020-07-05,1253,97,58,97,506
36818,10766,1320,2020-07-04 22:00:00,2020-07-04,1290,96,49,96,408
35528,10358,1271,2020-07-03 22:00:00,2020-07-03,1301,95,70,95,594
34227,9764,1201,2020-07-02 22:00:00,2020-07-02,1008,94,78,94,424
33219,9340,1123,2020-07-01 22:00:00,2020-07-01,1094,93,52,93,412
32125,8928,1071,2020-06-30 22:00:00,2020-06-30,601,92,57,92,411
31524,8517,1014,2020-06-29 22:00:00,2020-06-29,848,91,44,91,359
30676,8158,970,2020-06-28 22:00:00,2020-06-28,1253,90,36,90,422
29423,7736,934,2020-06-27 22:00:00,2020-06-27,920,89,21,89,398
28503,7338,913,2020-06-26 22:00:00,2020-06-26,1016,88,37,88,543
27487,6795,876,2020-06-25 22:00:00,2020-06-25,1098,87,30,87,495
26389,6300,846,2020-06-24 22:00:00,2020-06-24,896,86,26,86,443
25493,5857,820,2020-06-23 22:00:00,2020-06-23,1105,85,47,85,403
24388,5454,773,2020-06-22 22:00:00,2020-06-22,876,84,33,84,368
23512,5086,740,2020-06-21 22:00:00,2020-06-21,1036,83,25,83,416
22476,4670,715,2020-06-20 22:00:00,2020-06-20,977,82,18,82,668
21499,4002,697,2020-06-19 22:00:00,2020-06-19,814,81,18,81,0
20685,4002,679,2020-06-18 22:00:00,2020-06-18,802,80,20,80,250
19883,3752,659,2020-06-17 22:00:00,2020-06-17,810,79,27,79,322
19073,3430,632,2020-06-16 22:00:00,2020-06-16,614,78,21,78,317
18459,3113,611,2020-06-15 22:00:00,2020-06-15,617,77,26,77,345
17842,2768,585,2020-06-14 22:00:00,2020-06-14,913,76,26,76,337
16929,2431,559,2020-06-13 22:00:00,2020-06-13,764,75,26,75,59
16165,2372,533,2020-06-12 22:00:00,2020-06-12,884,74,21,74,111
15281,2261,512,2020-06-11 22:00:00,2020-06-11,637,73,25,73,71
14644,2190,487,2020-06-10 22:00:00,2020-06-10,695,72,12,72,31
13949,2159,475,2020-06-09 22:00:00,2020-06-09,306,71,10,71,73
13643,2086,465,2020-06-08 22:00:00,2020-06-08,285,70,11,70,184
13358,1902,454,2020-06-07 22:00:00,2020-06-07,630,69,27,69,163
12728,1739,427,2020-06-06 22:00:00,2020-06-06,483,68,12,68,81
12245,1658,415,2020-06-05 22:00:00,2020-06-05,607,67,15,67,151
11638,1507,400,2020-06-04 22:00:00,2020-06-04,647,66,24,66,209
10991,1298,376,2020-06-03 22:00:00,2020-06-03,460,65,33,65,161
10531,1137,343,2020-06-02 22:00:00,2020-06-02,549,64,30,64,169
9982,968,313,2020-06-01 22:00:00,2020-06-01,390,63,3,63,79
9592,889,310,2020-05-31 22:00:00,2020-05-31,861,62,10,62,140
8731,749,300,2020-05-30 22:00:00,2020-05-30,344,61,7,61,11
8387,738,293,2020-05-29 22:00:00,2020-05-29,619,60,13,60,49
7768,689,280,2020-05-28 22:00:00,2020-05-28,632,59,6,59,12
7136,677,274,2020-05-27 22:00:00,2020-05-27,476,58,13,58,30
6660,647,261,2020-05-26 22:00:00,2020-05-26,397,57,11,57,18
6263,629,250,2020-05-25 22:00:00,2020-05-25,348,56,10,56,20
5915,609,240,2020-05-24 22:00:00,2020-05-24,336,55,10,55,34
5579,575,230,2020-05-23 22:00:00,2020-05-23,392,54,15,54,14
5187,561,215,2020-05-22 22:00:00,2020-05-22,268,53,16,53,8
4919,553,199,2020-05-21 22:00:00,2020-05-21,438,52,10,52,20
4481,533,189,2020-05-20 22:00:00,2020-05-20,218,51,15,51,30
4263,503,174,2020-05-19 22:00:00,2020-05-19,175,50,5,50,10
4088,493,169,2020-05-18 22:00:00,2020-05-18,262,49,4,49,20
3826,473,165,2020-05-17 22:00:00,2020-05-17,249,48,1,48,39
