Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
2485,1803,153,2020-05-29 22:00:00,2020-05-29,23,68,0,66,22
2462,1781,153,2020-05-28 22:00:00,2020-05-28,46,67,4,65,60
2416,1721,149,2020-05-27 22:00:00,2020-05-27,0,66,0,64,0
2416,1721,149,2020-05-26 22:00:00,2020-05-26,10,65,3,63,25
2406,1696,146,2020-05-25 22:00:00,2020-05-25,5,64,2,62,16
2401,1680,144,2020-05-24 22:00:00,2020-05-24,10,63,3,61,18
2391,1662,141,2020-05-23 22:00:00,2020-05-23,19,62,0,60,48
2372,1614,141,2020-05-22 22:00:00,2020-05-22,22,61,1,59,18
2350,1596,140,2020-05-21 22:00:00,2020-05-21,12,60,4,58,39
2338,1557,136,2020-05-20 22:00:00,2020-05-20,17,59,2,57,35
2321,1522,134,2020-05-19 22:00:00,2020-05-19,31,58,1,56,86
2290,1436,133,2020-05-18 22:00:00,2020-05-18,23,57,4,55,81
2267,1355,129,2020-05-17 22:00:00,2020-05-17,31,56,1,54,19
2236,1336,128,2020-05-16 22:00:00,2020-05-16,0,55,0,53,0
2236,1336,128,2020-05-15 22:00:00,2020-05-15,55,54,8,52,108
2181,1228,120,2020-05-14 22:00:00,2020-05-14,0,53,0,51,0
2181,1228,120,2020-05-13 22:00:00,2020-05-13,40,52,7,50,114
2141,1114,113,2020-05-12 22:00:00,2020-05-12,0,51,0,49,0
2141,1114,113,2020-05-11 22:00:00,2020-05-11,24,50,6,48,8
2117,1106,107,2020-05-10 22:00:00,2020-05-10,27,49,5,47,47
2090,1059,102,2020-05-09 22:00:00,2020-05-09,20,48,4,46,99
2070,960,98,2020-05-08 22:00:00,2020-05-08,43,47,8,45,6
2027,954,90,2020-05-07 22:00:00,2020-05-07,40,46,4,44,26
1987,928,86,2020-05-06 22:00:00,2020-05-06,41,45,7,43,17
1946,911,79,2020-05-05 22:00:00,2020-05-05,20,44,1,42,56
1926,855,78,2020-05-04 22:00:00,2020-05-04,69,43,1,41,30
1857,825,77,2020-05-03 22:00:00,2020-05-03,76,42,7,40,70
1781,755,70,2020-05-02 22:00:00,2020-05-02,24,41,1,39,28
1757,727,69,2020-05-01 22:00:00,2020-05-01,0,40,0,38,0
1757,727,69,2020-04-30 22:00:00,2020-04-30,80,39,4,37,17
1677,710,65,2020-04-29 22:00:00,2020-04-29,92,38,2,36,28
1585,682,63,2020-04-28 22:00:00,2020-04-28,20,37,3,35,23
1565,659,60,2020-04-27 22:00:00,2020-04-27,49,36,1,34,35
1516,624,59,2020-04-26 22:00:00,2020-04-26,30,35,2,33,32
1486,592,57,2020-04-25 22:00:00,2020-04-25,65,34,2,32,54
1421,538,55,2020-04-24 22:00:00,2020-04-24,8,33,1,31,53
1413,485,54,2020-04-23 22:00:00,2020-04-23,45,32,1,30,25
1368,460,53,2020-04-22 22:00:00,2020-04-22,26,31,2,29,23
1342,437,51,2020-04-21 22:00:00,2020-04-21,33,30,2,28,56
1309,381,49,2020-04-20 22:00:00,2020-04-20,24,29,1,27,34
1285,347,48,2020-04-19 22:00:00,2020-04-19,17,28,1,26,9
1268,338,47,2020-04-18 22:00:00,2020-04-18,69,27,1,25,18
1199,320,46,2020-04-17 22:00:00,2020-04-17,32,26,3,24,43
1167,277,43,2020-04-16 22:00:00,2020-04-16,57,25,2,23,24
1110,253,41,2020-04-15 22:00:00,2020-04-15,27,24,1,22,17
1083,236,40,2020-04-14 22:00:00,2020-04-14,53,23,1,21,30
1030,206,39,2020-04-13 22:00:00,2020-04-13,44,22,1,20,13
986,193,38,2020-04-12 22:00:00,2020-04-12,69,21,1,19,56
917,137,37,2020-04-11 22:00:00,2020-04-11,42,20,2,18,19
875,118,35,2020-04-10 22:00:00,2020-04-10,34,19,0,17,23
841,95,35,2020-04-09 22:00:00,2020-04-09,64,18,2,16,18
777,77,33,2020-04-08 22:00:00,2020-04-08,23,17,0,15,9
754,68,33,2020-04-07 22:00:00,2020-04-07,87,16,6,14,24
667,44,27,2020-04-06 22:00:00,2020-04-06,26,15,6,13,14
641,30,21,2020-04-05 22:00:00,2020-04-05,26,14,2,12,3
615,27,19,2020-04-04 21:00:00,2020-04-04,72,13,3,11,0
543,27,16,2020-04-03 21:00:00,2020-04-03,31,12,1,10,7
512,20,15,2020-04-02 21:00:00,2020-04-02,62,11,2,9,3
450,17,13,2020-04-01 21:00:00,2020-04-01,39,10,3,8,0
411,17,10,2020-03-31 21:00:00,2020-03-31,71,9,4,7,9
340,8,6,2020-03-30 21:00:00,2020-03-30,17,8,0,6,0
323,8,6,2020-03-29 21:00:00,2020-03-29,66,7,2,5,3
257,5,4,2020-03-28 21:00:00,2020-03-28,27,6,1,4,0
230,5,3,2020-03-27 21:10:00,2020-03-27,45,5,0,3,3
185,2,3,2020-03-26 22:20:00,2020-03-26,17,4,0,2,0
168,2,3,2020-03-25 23:20:00,2020-03-25,18,3,2,1,0
150,2,1,2020-03-24 21:20:00,2020-03-24,22,2,0,0,0
128,2,1,2020-03-23 21:40:00,2020-03-23,35,1,0,0,0
93,2,1,2020-03-22 21:00:00,2020-03-22,3,0,1,0,0
90,2,0,2020-03-21 21:00:00,2020-03-21,21,0,0,0,0
69,2,0,2020-03-20 21:20:00,2020-03-20,24,0,0,0,0
45,2,0,2020-03-19 21:30:00,2020-03-19,7,0,0,0,0
38,2,0,2020-03-18 22:00:00,2020-03-18,13,0,0,0,0
25,2,0,2020-03-17 21:00:00,2020-03-17,1,0,0,0,2
24,0,0,2020-03-16 21:00:00,2020-03-16,3,0,0,0,0
21,0,0,2020-03-15 21:00:00,2020-03-15,3,0,0,0,0
18,0,0,2020-03-14 21:00:00,2020-03-14,7,0,0,0,0
11,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
11,0,0,2020-03-12 21:00:00,2020-03-12,-1,0,0,0,0
12,0,0,2020-03-11 21:00:00,2020-03-11,7,0,0,0,0
5,0,0,2020-03-10 21:00:00,2020-03-10,2,0,0,0,0
3,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
3,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
3,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0,0,0
2,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
2,0,0,2020-03-05 21:00:00,2020-03-05,2,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
