Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
146894,59297,10017,2020-05-09 22:00:00,2020-05-09,10375,57,752,52,3947
136519,55350,9265,2020-05-08 22:00:00,2020-05-08,9908,56,677,51,3980
126611,51370,8588,2020-05-07 22:00:00,2020-05-07,10658,55,630,50,3149
115953,48221,7958,2020-05-06 22:00:00,2020-05-06,7333,54,591,49,2406
108620,45815,7367,2020-05-05 22:00:00,2020-05-05,6794,53,316,48,2824
101826,42991,7051,2020-05-04 22:00:00,2020-05-04,4726,52,290,47,2054
97100,40937,6761,2020-05-03 22:00:00,2020-05-03,4470,51,327,46,2898
92630,38039,6434,2020-05-02 22:00:00,2020-05-02,5443,50,428,45,2104
87187,35935,6006,2020-05-01 22:00:00,2020-05-01,7502,49,493,44,1803
79685,34132,5513,2020-04-30 22:00:00,2020-04-30,6450,48,430,43,1588
73235,32544,5083,2020-04-29 22:00:00,2020-04-29,5789,47,480,42,1402
67446,31142,4603,2020-04-28 22:00:00,2020-04-28,4346,46,317,41,990
63100,30152,4286,2020-04-27 22:00:00,2020-04-27,3776,45,229,40,992
59324,29160,4057,2020-04-26 22:00:00,2020-04-26,5281,44,353,39,1505
54043,27655,3704,2020-04-25 22:00:00,2020-04-25,3813,43,361,38,1082
50230,26573,3343,2020-04-24 22:00:00,2020-04-24,3882,42,409,37,1255
46348,25318,2934,2020-04-23 22:00:00,2020-04-23,2980,41,173,36,993
43368,24325,2761,2020-04-22 22:00:00,2020-04-22,2554,40,173,35,1334
40814,22991,2588,2020-04-21 22:00:00,2020-04-21,1670,39,104,34,861
39144,22130,2484,2020-04-20 22:00:00,2020-04-20,2219,38,112,33,8104
36925,14026,2372,2020-04-19 22:00:00,2020-04-19,2704,37,201,32,0
34221,14026,2171,2020-04-18 22:00:00,2020-04-18,3330,36,219,31,0
30891,14026,1952,2020-04-17 22:00:00,2020-04-17,1876,35,192,30,0
29015,14026,1760,2020-04-16 22:00:00,2020-04-16,3257,34,203,29,0
25758,14026,1557,2020-04-15 22:00:00,2020-04-15,2035,33,202,28,11047
23723,2979,1355,2020-04-14 22:00:00,2020-04-14,1405,32,125,27,2806
22318,173,1230,2020-04-13 22:00:00,2020-04-13,1354,31,89,26,0
20964,173,1141,2020-04-12 22:00:00,2020-04-12,1021,30,67,25,0
19943,173,1074,2020-04-11 22:00:00,2020-04-11,1767,29,117,24,0
18176,173,957,2020-04-10 22:00:00,2020-04-10,1938,28,134,23,0
16238,173,823,2020-04-09 22:00:00,2020-04-09,2166,27,132,22,46
14072,127,691,2020-04-08 22:00:00,2020-04-08,1832,26,125,21,0
12240,127,566,2020-04-07 22:00:00,2020-04-07,959,25,79,20,0
11281,127,487,2020-04-06 22:00:00,2020-04-06,921,24,42,19,0
10360,127,445,2020-04-05 22:00:00,2020-04-05,1144,23,80,18,0
9216,127,365,2020-04-04 21:00:00,2020-04-04,1150,22,38,17,0
8066,127,327,2020-04-03 21:00:00,2020-04-03,1135,21,83,16,0
6931,127,244,2020-04-02 21:00:00,2020-04-02,1119,20,42,15,0
5812,127,202,2020-04-01 21:00:00,2020-04-01,1151,19,37,14,0
