Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
2558,2153,164,2020-05-29 22:00:00,2020-05-29,8,74,2,74,9
2550,2144,162,2020-05-28 22:00:00,2020-05-28,9,73,1,73,22
2541,2122,161,2020-05-27 22:00:00,2020-05-27,11,72,0,72,20
2530,2102,161,2020-05-26 22:00:00,2020-05-26,13,71,4,71,45
2517,2057,157,2020-05-25 22:00:00,2020-05-25,0,70,0,70,0
2517,2057,157,2020-05-24 22:00:00,2020-05-24,10,69,2,69,14
2507,2043,155,2020-05-23 22:00:00,2020-05-23,28,68,3,68,20
2479,2023,152,2020-05-22 22:00:00,2020-05-22,12,67,3,67,18
2467,2005,149,2020-05-21 22:00:00,2020-05-21,21,66,3,66,24
2446,1981,146,2020-05-20 22:00:00,2020-05-20,2,65,3,65,15
2444,1966,143,2020-05-19 22:00:00,2020-05-19,16,64,2,64,34
2428,1932,141,2020-05-18 22:00:00,2020-05-18,0,63,0,63,0
2428,1932,141,2020-05-17 22:00:00,2020-05-17,21,62,1,62,24
2407,1908,140,2020-05-16 22:00:00,2020-05-16,15,61,5,61,23
2392,1885,135,2020-05-15 22:00:00,2020-05-15,32,60,3,60,26
2360,1859,132,2020-05-14 22:00:00,2020-05-14,0,59,0,59,27
2360,1832,132,2020-05-13 22:00:00,2020-05-13,7,58,2,58,113
2353,1719,130,2020-05-12 22:00:00,2020-05-12,23,57,1,57,60
2330,1659,129,2020-05-11 22:00:00,2020-05-11,0,56,0,56,0
2330,1659,129,2020-05-10 22:00:00,2020-05-10,15,55,2,55,80
2315,1579,127,2020-05-09 22:00:00,2020-05-09,27,54,1,54,67
2288,1512,126,2020-05-08 22:00:00,2020-05-08,33,53,2,53,18
2255,1494,124,2020-05-07 22:00:00,2020-05-07,23,52,3,52,22
2232,1472,121,2020-05-06 22:00:00,2020-05-06,8,51,4,51,55
2224,1417,117,2020-05-05 22:00:00,2020-05-05,53,50,3,50,41
2171,1376,114,2020-05-04 22:00:00,2020-05-04,0,49,0,49,0
2171,1376,114,2020-05-03 22:00:00,2020-05-03,26,48,2,48,19
2145,1357,112,2020-05-02 22:00:00,2020-05-02,33,47,1,47,35
2112,1322,111,2020-05-01 22:00:00,2020-05-01,25,46,2,46,17
2087,1305,109,2020-04-30 22:00:00,2020-04-30,34,45,3,45,74
2053,1231,106,2020-04-29 22:00:00,2020-04-29,55,44,2,44,41
1998,1190,104,2020-04-28 22:00:00,2020-04-28,50,43,4,43,53
1948,1137,100,2020-04-27 22:00:00,2020-04-27,0,42,0,42,0
1948,1137,100,2020-04-26 22:00:00,2020-04-26,95,41,2,41,23
1853,1114,98,2020-04-25 22:00:00,2020-04-25,29,40,4,40,22
1824,1092,94,2020-04-24 22:00:00,2020-04-24,29,39,1,39,-23
1795,1115,93,2020-04-23 22:00:00,2020-04-23,71,38,6,38,72
1724,1043,87,2020-04-22 22:00:00,2020-04-22,25,37,1,37,2
1699,1041,86,2020-04-21 22:00:00,2020-04-21,52,36,4,36,45
1647,996,82,2020-04-20 22:00:00,2020-04-20,0,35,1,35,0
1647,996,81,2020-04-19 22:00:00,2020-04-19,29,34,3,34,13
1618,983,78,2020-04-18 22:00:00,2020-04-18,43,33,1,33,0
1575,983,77,2020-04-17 22:00:00,2020-04-17,14,32,2,32,28
1561,955,75,2020-04-16 22:00:00,2020-04-16,44,31,3,31,13
1517,942,72,2020-04-15 22:00:00,2020-04-15,27,30,3,30,16
