Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
131,52,1,2020-04-02 16:00:00,2020-04-02,0,10
131,52,1,2020-04-01 22:00:00,2020-04-01,2,9
129,45,1,2020-03-31 22:00:00,2020-03-31,2,8
127,38,1,2020-03-30 22:00:00,2020-03-30,1,7
126,34,1,2020-03-29 22:00:00,2020-03-29,11,6
115,11,1,2020-03-28 22:00:00,2020-03-28,0,5
115,11,0,2020-03-27 22:10:00,2020-03-27,1,4
114,5,0,2020-03-26 23:20:00,2020-03-26,5,3
109,2,0,2020-03-25 23:00:00,2020-03-25,5,2
104,2,0,2020-03-24 22:20:00,2020-03-24,13,1
91,2,0,2020-03-23 22:40:00,2020-03-23,8,0
83,1,0,2020-03-22 22:00:00,2020-03-22,0,0
83,1,0,2020-03-21 22:00:00,2020-03-21,10,0
73,0,0,2020-03-20 22:20:00,2020-03-20,0,0
73,0,0,2020-03-19 22:30:00,2020-03-19,5,0
68,0,0,2020-03-18 23:00:00,2020-03-18,12,0
56,0,0,2020-03-17 22:00:00,2020-03-17,6,0
50,0,0,2020-03-16 22:00:00,2020-03-16,10,0
40,0,0,2020-03-15 22:00:00,2020-03-15,3,0
37,0,0,2020-03-14 22:00:00,2020-03-14,12,0
25,0,0,2020-03-13 22:00:00,2020-03-13,14,0
11,0,0,2020-03-12 22:00:00,2020-03-12,5,0
6,0,0,2020-03-11 22:00:00,2020-03-11,0,0
6,0,0,2020-03-10 22:00:00,2020-03-10,6,0
0,0,0,2020-03-09 22:00:00,2020-03-09,0,0
0,0,0,2020-03-08 22:00:00,2020-03-08,0,0
0,0,0,2020-03-07 22:00:00,2020-03-07,0,0
0,0,0,2020-03-06 22:00:00,2020-03-06,0,0
0,0,0,2020-03-05 22:00:00,2020-03-05,0,0
0,0,0,2020-03-04 22:00:00,2020-03-04,0,0
0,0,0,2020-03-03 22:00:00,2020-03-03,0,0
0,0,0,2020-03-02 22:00:00,2020-03-02,0,0
0,0,0,2020-03-01 22:00:00,2020-03-01,0,0
0,0,0,2020-02-29 22:00:00,2020-02-29,0,0
0,0,0,2020-02-28 22:00:00,2020-02-28,0,0
0,0,0,2020-02-27 22:00:00,2020-02-27,0,0
0,0,0,2020-02-26 22:00:00,2020-02-26,0,0
0,0,0,2020-02-25 22:00:00,2020-02-25,0,0
0,0,0,2020-02-24 22:00:00,2020-02-24,0,0
0,0,0,2020-02-23 22:00:00,2020-02-23,0,0
0,0,0,2020-02-22 22:00:00,2020-02-22,0,0
0,0,0,2020-02-21 22:00:00,2020-02-21,0,0
0,0,0,2020-02-20 22:00:00,2020-02-20,0,0
0,0,0,2020-02-19 22:00:00,2020-02-19,0,0
0,0,0,2020-02-18 22:00:00,2020-02-18,0,0
0,0,0,2020-02-17 22:00:00,2020-02-17,0,0
0,0,0,2020-02-16 22:00:00,2020-02-16,0,0
0,0,0,2020-02-15 22:00:00,2020-02-15,0,0
0,0,0,2020-02-14 22:00:00,2020-02-14,0,0
0,0,0,2020-02-13 22:00:00,2020-02-13,0,0
0,0,0,2020-02-12 22:00:00,2020-02-12,0,0
0,0,0,2020-02-11 21:30:00,2020-02-11,0,0
0,0,0,2020-02-10 22:00:00,2020-02-10,0,0
0,0,0,2020-02-09 22:00:00,2020-02-09,0,0
0,0,0,2020-02-08 22:00:00,2020-02-08,0,0
0,0,0,2020-02-07 22:00:00,2020-02-07,0,0
0,0,0,2020-02-06 22:00:00,2020-02-06,0,0
0,0,0,2020-02-05 22:00:00,2020-02-05,0,0
0,0,0,2020-02-04 21:00:00,2020-02-04,0,0
0,0,0,2020-02-03 21:00:00,2020-02-03,0,0
0,0,0,2020-02-02 21:00:00,2020-02-02,0,0
0,0,0,2020-02-01 11:00:00,2020-02-01,0,0
0,0,0,2020-01-31 13:30:00,2020-01-31,0,0
0,0,0,2020-01-30 13:00:00,2020-01-30,0,0
0,0,0,2020-01-29 15:00:00,2020-01-29,0,0
0,0,0,2020-01-28 12:30:00,2020-01-28,0,0
0,0,0,2020-01-27 15:00:00,2020-01-27,0,0
0,0,0,2020-01-26 14:00:00,2020-01-26,0,0
0,0,0,2020-01-25 16:00:00,2020-01-25,0,0
0,0,0,2020-01-24 16:00:00,2020-01-24,0,0
0,0,0,2020-01-23 16:00:00,2020-01-23,0,0
0,0,0,2020-01-22 16:00:00,2020-01-22,0,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0,0
