Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
576,338,36,2020-04-20 21:00:00,2020-04-20,11,28,0,30,17
565,321,36,2020-04-19 22:00:00,2020-04-19,8,27,1,29,27
557,294,35,2020-04-18 22:00:00,2020-04-18,11,26,3,28,37
546,257,32,2020-04-17 22:00:00,2020-04-17,4,25,0,27,31
542,226,32,2020-04-16 22:00:00,2020-04-16,14,24,2,26,49
528,177,30,2020-04-15 22:00:00,2020-04-15,13,23,3,25,16
515,161,27,2020-04-14 22:00:00,2020-04-14,18,22,0,24,0
497,161,27,2020-04-13 22:00:00,2020-04-13,13,21,0,23,6
484,155,27,2020-04-12 22:00:00,2020-04-12,36,20,1,22,6
448,149,26,2020-04-11 22:00:00,2020-04-11,5,19,2,21,3
443,146,24,2020-04-10 22:00:00,2020-04-10,29,18,1,20,12
414,134,23,2020-04-09 22:00:00,2020-04-09,30,17,4,19,7
384,127,19,2020-04-08 22:00:00,2020-04-08,20,16,1,18,19
364,108,18,2020-04-07 22:00:00,2020-04-07,19,15,1,17,18
345,90,17,2020-04-06 22:00:00,2020-04-06,27,14,1,16,24
318,66,16,2020-04-05 22:00:00,2020-04-05,16,13,0,15,16
302,50,16,2020-04-04 21:00:00,2020-04-04,14,12,0,14,0
288,50,16,2020-04-03 21:00:00,2020-04-03,6,11,0,13,4
282,46,16,2020-04-02 21:00:00,2020-04-02,21,10,2,12,14
261,32,14,2020-04-01 21:00:00,2020-04-01,15,9,2,11,1
246,31,12,2020-03-31 21:00:00,2020-03-31,24,8,0,10,8
222,23,12,2020-03-30 21:00:00,2020-03-30,15,7,1,9,2
207,21,11,2020-03-29 21:00:00,2020-03-29,27,6,2,8,9
180,12,9,2020-03-28 21:00:00,2020-03-28,28,5,2,7,2
152,10,7,2020-03-27 21:10:00,2020-03-27,6,4,3,6,0
146,10,4,2020-03-26 22:20:00,2020-03-26,32,3,0,5,3
114,7,4,2020-03-25 23:20:00,2020-03-25,0,2,0,4,0
114,7,4,2020-03-24 21:20:00,2020-03-24,15,1,0,3,2
99,5,4,2020-03-23 21:40:00,2020-03-23,35,0,1,2,0
64,5,3,2020-03-22 21:00:00,2020-03-22,24,0,2,1,1
40,4,1,2020-03-21 21:00:00,2020-03-21,0,0,0,0,0
40,4,1,2020-03-20 21:20:00,2020-03-20,7,0,0,0,4
33,0,1,2020-03-19 21:30:00,2020-03-19,13,0,0,0,0
20,0,1,2020-03-18 22:00:00,2020-03-18,5,0,1,0,0
15,0,0,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
15,0,0,2020-03-16 21:00:00,2020-03-16,12,0,0,0,0
3,0,0,2020-03-15 21:00:00,2020-03-15,1,0,0,0,0
2,0,0,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
2,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
2,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
2,0,0,2020-03-11 21:00:00,2020-03-11,1,0,0,0,0
1,0,0,2020-03-10 21:00:00,2020-03-10,1,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
