Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
421,167,4,2020-05-31 22:00:00,2020-05-31,16,35,0,15,12
405,155,4,2020-05-30 22:00:00,2020-05-30,15,34,0,14,0
390,155,4,2020-05-29 22:00:00,2020-05-29,0,33,0,13,0
390,155,4,2020-05-28 22:00:00,2020-05-28,0,32,0,12,0
390,155,4,2020-05-27 22:00:00,2020-05-27,0,31,1,11,0
390,155,3,2020-05-26 22:00:00,2020-05-26,10,30,0,10,0
380,155,3,2020-05-25 22:00:00,2020-05-25,9,29,0,9,13
371,142,3,2020-05-24 22:00:00,2020-05-24,9,28,0,8,12
362,130,3,2020-05-23 22:00:00,2020-05-23,6,27,0,7,35
356,95,3,2020-05-22 22:00:00,2020-05-22,7,26,0,6,10
349,85,3,2020-05-21 22:00:00,2020-05-21,14,25,0,5,0
335,85,3,2020-05-20 22:00:00,2020-05-20,7,24,0,4,0
328,85,3,2020-05-19 22:00:00,2020-05-19,0,23,0,3,1
328,84,3,2020-05-18 22:00:00,2020-05-18,0,22,0,2,0
328,84,3,2020-05-17 22:00:00,2020-05-17,2,21,1,1,17
326,67,2,2020-05-16 22:00:00,2020-05-16,11,20,0,0,0
315,67,2,2020-05-15 22:00:00,2020-05-15,26,19,0,0,6
289,61,2,2020-05-14 22:00:00,2020-05-14,22,18,0,0,3
267,58,2,2020-05-13 22:00:00,2020-05-13,7,17,0,0,0
260,58,2,2020-05-12 22:00:00,2020-05-12,14,16,0,0,2
246,56,2,2020-05-11 22:00:00,2020-05-11,10,15,0,0,0
236,56,2,2020-05-10 22:00:00,2020-05-10,6,14,0,0,12
230,44,2,2020-05-09 22:00:00,2020-05-09,12,13,0,0,6
218,38,2,2020-05-08 22:00:00,2020-05-08,27,12,0,0,0
191,38,2,2020-05-07 22:00:00,2020-05-07,5,11,0,0,1
186,37,2,2020-05-06 22:00:00,2020-05-06,11,10,0,0,0
175,37,2,2020-05-05 22:00:00,2020-05-05,10,9,0,0,4
165,33,2,2020-05-04 22:00:00,2020-05-04,13,8,0,0,15
152,18,2,2020-05-03 22:00:00,2020-05-03,30,7,1,0,0
122,18,1,2020-05-02 22:00:00,2020-05-02,1,6,0,0,14
121,4,1,2020-05-01 22:00:00,2020-05-01,8,5,0,0,2
113,2,1,2020-04-30 22:00:00,2020-04-30,-1,4,0,0,0
114,2,1,2020-04-29 22:00:00,2020-04-29,5,3,0,0,0
109,2,1,2020-04-28 22:00:00,2020-04-28,3,2,0,0,1
106,1,1,2020-04-27 22:00:00,2020-04-27,16,1,0,0,0
90,1,1,2020-04-26 22:00:00,2020-04-26,2,0,0,0,0
88,1,1,2020-04-25 22:00:00,2020-04-25,6,0,0,0,0
82,1,1,2020-04-24 22:00:00,2020-04-24,9,0,0,0,0
73,1,1,2020-04-23 22:00:00,2020-04-23,5,0,0,0,0
68,1,1,2020-04-22 22:00:00,2020-04-22,1,0,0,0,0
67,1,1,2020-04-21 22:00:00,2020-04-21,6,0,0,0,0
61,1,1,2020-04-20 22:00:00,2020-04-20,0,0,0,0,0
61,1,1,2020-04-19 22:00:00,2020-04-19,5,0,0,0,0
56,1,1,2020-04-18 22:00:00,2020-04-18,0,0,0,0,0
56,1,1,2020-04-17 22:00:00,2020-04-17,0,0,0,0,0
56,1,1,2020-04-16 22:00:00,2020-04-16,45,0,0,0,0
11,1,1,2020-04-15 22:00:00,2020-04-15,1,0,0,0,0
10,1,1,2020-04-14 22:00:00,2020-04-14,0,0,0,0,0
10,1,1,2020-04-13 22:00:00,2020-04-13,2,0,0,0,0
8,1,1,2020-04-12 22:00:00,2020-04-12,1,0,0,0,0
7,1,1,2020-04-11 22:00:00,2020-04-11,0,0,0,0,0
7,1,1,2020-04-10 22:00:00,2020-04-10,0,0,0,0,0
7,1,1,2020-04-09 22:00:00,2020-04-09,0,0,0,0,0
7,1,1,2020-04-08 22:00:00,2020-04-08,0,0,0,0,0
7,1,1,2020-04-07 22:00:00,2020-04-07,0,0,0,0,0
7,1,1,2020-04-06 22:00:00,2020-04-06,0,0,0,0,1
