Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
13904,265,324,2020-04-05 22:00:00,2020-04-05,1397,29,44
12507,212,280,2020-04-04 21:00:00,2020-04-04,1381,28,36
11126,164,244,2020-04-03 21:00:00,2020-04-03,1219,27,28
9907,111,216,2020-04-02 21:00:00,2020-04-02,1349,26,34
8558,6,182,2020-04-01 21:00:00,2020-04-01,1164,25,33
7394,6,149,2020-03-31 21:00:00,2020-03-31,1049,24,17
6345,6,132,2020-03-30 21:00:00,2020-03-30,697,23,12
5648,6,120,2020-03-29 21:00:00,2020-03-29,763,22,18
4885,6,102,2020-03-28 21:00:00,2020-03-28,845,21,20
4040,6,82,2020-03-27 21:10:00,2020-03-27,871,20,15
3169,6,67,2020-03-26 22:20:00,2020-03-26,541,19,13
2628,6,54,2020-03-25 23:20:00,2020-03-25,408,18,11
2220,6,43,2020-03-24 21:20:00,2020-03-24,408,17,8
1812,6,35,2020-03-23 21:40:00,2020-03-23,297,16,7
1515,6,28,2020-03-22 21:00:00,2020-03-22,266,15,4
1249,6,24,2020-03-21 21:00:00,2020-03-21,208,14,5
1041,6,19,2020-03-20 21:20:00,2020-03-20,177,13,2
864,6,17,2020-03-19 21:30:00,2020-03-19,146,12,4
718,6,13,2020-03-18 22:00:00,2020-03-18,151,11,2
567,6,11,2020-03-17 21:00:00,2020-03-17,113,10,5
454,6,6,2020-03-16 21:00:00,2020-03-16,82,9,1
372,6,5,2020-03-15 21:00:00,2020-03-15,73,8,0
299,6,5,2020-03-14 21:00:00,2020-03-14,56,7,1
243,6,4,2020-03-13 21:00:00,2020-03-13,65,6,0
178,2,4,2020-03-12 21:00:00,2020-03-12,21,5,1
157,2,3,2020-03-11 21:00:00,2020-03-11,14,4,1
143,2,2,2020-03-10 21:00:00,2020-03-10,38,3,1
105,2,1,2020-03-09 21:00:00,2020-03-09,-3,2,0
108,2,1,2020-03-08 21:00:00,2020-03-08,19,1,0
89,2,1,2020-03-07 21:00:00,2020-03-07,36,0,0
53,2,1,2020-03-06 21:00:00,2020-03-06,13,0,0
40,2,1,2020-03-05 21:00:00,2020-03-05,8,0,1
32,2,0,2020-03-04 21:00:00,2020-03-04,8,0,0
24,2,0,2020-03-03 21:00:00,2020-03-03,9,0,0
15,2,0,2020-03-02 21:00:00,2020-03-02,3,0,0
12,2,0,2020-03-01 21:00:00,2020-03-01,0,0,0
12,2,0,2020-02-29 21:00:00,2020-02-29,1,0,0
11,2,0,2020-02-28 21:00:00,2020-02-28,0,0,0
11,2,0,2020-02-27 21:00:00,2020-02-27,1,0,0
10,2,0,2020-02-26 21:00:00,2020-02-26,0,0,0
10,2,0,2020-02-25 21:00:00,2020-02-25,0,0,0
10,2,0,2020-02-24 21:00:00,2020-02-24,0,0,0
10,2,0,2020-02-23 21:00:00,2020-02-23,0,0,0
10,2,0,2020-02-22 21:00:00,2020-02-22,1,0,0
9,0,0,2020-02-21 21:00:00,2020-02-21,1,0,0
8,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0
8,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0
8,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0
8,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0
8,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0
8,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0
8,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0
8,0,0,2020-02-13 21:00:00,2020-02-13,1,0,0
7,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0
7,0,0,2020-02-11 20:30:00,2020-02-11,1,0,0
6,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0
6,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0
6,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0
6,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0
6,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0
6,0,0,2020-02-05 21:00:00,2020-02-05,2,0,0
4,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0
4,0,0,2020-02-03 20:00:00,2020-02-03,1,0,0
3,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0
3,0,0,2020-02-01 10:00:00,2020-02-01,1,0,0
2,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0
2,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0
2,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0
2,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0
2,0,0,2020-01-27 14:00:00,2020-01-27,2,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
