Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
124,122,0,2020-05-26 09:00:00,2020-05-26,0,59,0,0,0
124,122,0,2020-05-25 22:00:00,2020-05-25,0,58,0,0,0
124,122,0,2020-05-24 22:00:00,2020-05-24,0,57,0,0,0
124,122,0,2020-05-23 22:00:00,2020-05-23,1,56,0,0,0
123,122,0,2020-05-22 22:00:00,2020-05-22,1,55,0,0,0
122,122,0,2020-05-21 22:00:00,2020-05-21,0,54,0,0,0
122,122,0,2020-05-20 22:00:00,2020-05-20,0,53,0,0,0
122,122,0,2020-05-19 22:00:00,2020-05-19,0,52,0,0,0
122,122,0,2020-05-18 22:00:00,2020-05-18,0,51,0,0,0
122,122,0,2020-05-17 22:00:00,2020-05-17,0,50,0,0,0
122,122,0,2020-05-16 22:00:00,2020-05-16,0,49,0,0,1
122,121,0,2020-05-15 22:00:00,2020-05-15,0,48,0,0,0
122,121,0,2020-05-14 22:00:00,2020-05-14,0,47,0,0,0
122,121,0,2020-05-13 22:00:00,2020-05-13,0,46,0,0,0
122,121,0,2020-05-12 22:00:00,2020-05-12,0,45,0,0,1
122,120,0,2020-05-11 22:00:00,2020-05-11,0,44,0,0,0
122,120,0,2020-05-10 22:00:00,2020-05-10,0,43,0,0,0
122,120,0,2020-05-09 22:00:00,2020-05-09,0,42,0,0,0
122,120,0,2020-05-08 22:00:00,2020-05-08,0,41,0,0,0
122,120,0,2020-05-07 22:00:00,2020-05-07,0,40,0,0,0
122,120,0,2020-05-06 22:00:00,2020-05-06,0,39,0,0,0
122,120,0,2020-05-05 22:00:00,2020-05-05,0,38,0,0,0
122,120,0,2020-05-04 22:00:00,2020-05-04,0,37,0,0,0
122,120,0,2020-05-03 22:00:00,2020-05-03,0,36,0,0,0
122,120,0,2020-05-02 22:00:00,2020-05-02,0,35,0,0,1
122,119,0,2020-05-01 22:00:00,2020-05-01,0,34,0,0,0
122,119,0,2020-04-30 22:00:00,2020-04-30,0,33,0,0,0
122,119,0,2020-04-29 22:00:00,2020-04-29,0,32,0,0,0
122,119,0,2020-04-28 22:00:00,2020-04-28,0,31,0,0,0
122,119,0,2020-04-27 22:00:00,2020-04-27,0,30,0,0,2
122,117,0,2020-04-26 22:00:00,2020-04-26,0,29,0,0,0
122,117,0,2020-04-25 22:00:00,2020-04-25,0,28,0,0,7
122,110,0,2020-04-24 22:00:00,2020-04-24,0,27,0,0,0
122,110,0,2020-04-23 22:00:00,2020-04-23,0,26,0,0,0
122,110,0,2020-04-22 22:00:00,2020-04-22,0,25,0,0,0
122,110,0,2020-04-21 22:00:00,2020-04-21,0,24,0,0,3
122,107,0,2020-04-20 22:00:00,2020-04-20,0,23,0,0,2
122,105,0,2020-04-19 22:00:00,2020-04-19,0,22,0,0,2
122,103,0,2020-04-18 22:00:00,2020-04-18,0,21,0,0,5
122,98,0,2020-04-17 22:00:00,2020-04-17,0,20,0,0,0
122,98,0,2020-04-16 22:00:00,2020-04-16,0,19,0,0,2
122,96,0,2020-04-15 22:00:00,2020-04-15,0,18,0,0,5
122,91,0,2020-04-14 22:00:00,2020-04-14,0,17,0,0,14
122,77,0,2020-04-13 22:00:00,2020-04-13,0,16,0,0,0
122,77,0,2020-04-12 22:00:00,2020-04-12,2,15,0,0,2
120,75,0,2020-04-11 22:00:00,2020-04-11,1,14,0,0,3
119,72,0,2020-04-10 22:00:00,2020-04-10,2,13,0,0,9
