Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
14005,2770,233,2020-04-05 22:00:00,2020-04-05,1473,25,46
12532,2321,187,2020-04-04 21:00:00,2020-04-04,1261,24,49
11271,1971,138,2020-04-03 21:00:00,2020-04-03,1553,23,27
9718,1526,111,2020-04-02 21:00:00,2020-04-02,1140,22,10
8578,1242,101,2020-04-01 21:00:00,2020-04-01,1143,21,13
7435,1114,88,2020-03-31 21:00:00,2020-03-31,1128,20,24
6307,573,64,2020-03-30 21:00:00,2020-03-30,665,19,4
5642,508,60,2020-03-29 21:00:00,2020-03-29,895,18,5
4747,354,55,2020-03-28 21:00:00,2020-03-28,714,17,16
4033,228,39,2020-03-27 21:10:00,2020-03-27,642,16,5
3391,110,34,2020-03-26 22:20:00,2020-03-26,609,15,7
2782,110,27,2020-03-25 23:20:00,2020-03-25,704,14,3
2078,10,24,2020-03-24 21:20:00,2020-03-24,619,13,4
1459,10,20,2020-03-23 21:40:00,2020-03-23,141,12,1
1318,10,19,2020-03-22 21:00:00,2020-03-22,243,11,7
1075,9,12,2020-03-21 21:00:00,2020-03-21,213,10,0
862,9,12,2020-03-20 21:20:00,2020-03-20,144,9,3
718,9,9,2020-03-19 21:30:00,2020-03-19,129,8,1
589,9,8,2020-03-18 22:00:00,2020-03-18,156,7,4
433,9,4,2020-03-17 21:00:00,2020-03-17,96,6,3
337,8,1,2020-03-16 21:00:00,2020-03-16,84,5,0
253,8,1,2020-03-15 21:00:00,2020-03-15,55,4,0
198,8,1,2020-03-14 21:00:00,2020-03-14,41,3,0
157,6,1,2020-03-13 21:00:00,2020-03-13,40,2,0
117,6,1,2020-03-12 21:00:00,2020-03-12,23,1,0
94,6,1,2020-03-11 21:00:00,2020-03-11,16,0,0
78,6,1,2020-03-10 21:00:00,2020-03-10,11,0,1
67,6,0,2020-03-09 21:00:00,2020-03-09,7,0,0
60,6,0,2020-03-08 21:00:00,2020-03-08,8,0,0
52,6,0,2020-03-07 21:00:00,2020-03-07,5,0,0
47,6,0,2020-03-06 21:00:00,2020-03-06,13,0,0
34,6,0,2020-03-05 21:00:00,2020-03-05,1,0,0
33,6,0,2020-03-04 21:00:00,2020-03-04,6,0,0
27,6,0,2020-03-03 21:00:00,2020-03-03,3,0,0
24,6,0,2020-03-02 21:00:00,2020-03-02,4,0,0
20,6,0,2020-03-01 21:00:00,2020-03-01,5,0,0
15,6,0,2020-02-29 21:00:00,2020-02-29,1,0,0
14,3,0,2020-02-28 21:00:00,2020-02-28,2,0,0
12,3,0,2020-02-27 21:00:00,2020-02-27,1,0,0
11,3,0,2020-02-26 21:00:00,2020-02-26,0,0,0
11,3,0,2020-02-25 21:00:00,2020-02-25,1,0,0
10,3,0,2020-02-24 21:00:00,2020-02-24,1,0,0
9,1,0,2020-02-23 21:00:00,2020-02-23,0,0,0
9,1,0,2020-02-22 21:00:00,2020-02-22,0,0,0
9,1,0,2020-02-21 21:00:00,2020-02-21,1,0,0
8,1,0,2020-02-20 21:00:00,2020-02-20,0,0,0
8,1,0,2020-02-19 21:00:00,2020-02-19,0,0,0
8,1,0,2020-02-18 21:00:00,2020-02-18,0,0,0
8,1,0,2020-02-17 21:00:00,2020-02-17,0,0,0
8,1,0,2020-02-16 21:00:00,2020-02-16,0,0,0
8,1,0,2020-02-15 21:00:00,2020-02-15,1,0,0
7,1,0,2020-02-14 21:00:00,2020-02-14,0,0,0
7,1,0,2020-02-13 21:00:00,2020-02-13,0,0,0
7,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0
7,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0
7,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0
7,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0
7,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0
7,0,0,2020-02-07 21:00:00,2020-02-07,2,0,0
5,0,0,2020-02-06 21:00:00,2020-02-06,1,0,0
4,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0
4,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0
4,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0
4,0,0,2020-02-02 20:00:00,2020-02-02,1,0,0
3,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0
3,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0
3,0,0,2020-01-30 12:00:00,2020-01-30,1,0,0
2,0,0,2020-01-29 14:00:00,2020-01-29,1,0,0
1,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0
1,0,0,2020-01-27 14:00:00,2020-01-27,1,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
