Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
0,0,2020-03-16,0,0,0,0,0,0
5,0,2020-03-17,5,0,0,0,0,0
9,0,2020-03-18,4,0,0,0,0,0
20,0,2020-03-19,11,0,0,0,0,0
55,0,2020-03-20,35,0,0,0,0,0
68,0,2020-03-21,13,0,0,0,0,0
112,0,2020-03-22,44,1,0,0,0,0
163,0,2020-03-23,51,2,0,0,0,0
182,0,2020-03-24,19,3,0,0,0,0
200,0,2020-03-25,18,4,0,0,0,0
235,3,2020-03-26,35,5,3,1,0,0
282,3,2020-03-27,47,6,0,2,0,0
314,4,2020-03-28,32,7,1,3,0,0
348,5,2020-03-29,34,8,1,4,0,0
372,5,2020-03-30,24,9,0,5,0,0
390,7,2020-03-31,18,10,2,6,0,0
444,8,2020-04-01,54,11,1,7,0,0
550,20,2020-04-02,106,12,12,8,0,0
627,22,2020-04-03,77,13,2,9,0,0
730,22,2020-04-04,103,14,0,10,0,0
823,26,2020-04-05,93,15,4,11,0,0
1013,29,2020-04-06,190,16,3,12,0,0
1051,31,2020-04-07,38,17,2,13,0,0
1291,43,2020-04-08,240,18,12,14,0,0
1425,55,2020-04-09,134,19,12,15,0,0
1478,58,2020-04-10,53,20,3,16,0,0
1582,67,2020-04-11,104,21,9,17,0,0
1676,74,2020-04-12,94,22,7,18,0,0
1800,91,2020-04-13,124,23,17,19,0,0
2005,107,2020-04-14,205,24,16,20,0,0
2157,116,2020-04-15,152,25,9,21,0,0
2386,124,2020-04-16,229,26,8,22,0,0
2684,149,2020-04-17,298,27,25,23,0,0
3034,176,2020-04-18,350,28,27,24,0,0
3252,186,2020-04-19,218,29,10,25,0,0
3482,198,2020-04-20,230,30,12,26,0,0
3716,215,2020-04-21,234,31,17,27,0,0
3910,233,2020-04-22,194,32,18,28,0,0
4598,266,2020-04-23,688,33,33,29,0,0
4800,284,2020-04-24,202,34,18,30,0,0
5421,310,2020-04-25,621,35,26,31,0,0
5833,327,2020-04-26,412,36,17,32,0,0
6726,390,2020-04-27,893,37,63,33,0,0
6918,403,2020-04-28,192,38,13,34,0,0
7267,441,2020-04-29,349,39,38,35,0,0
7606,482,2020-04-30,339,40,41,36,0,0
7879,505,2020-05-01,273,41,23,37,0,0
8231,614,2020-05-02,352,42,109,38,0,0
8370,663,2020-05-03,139,43,49,39,0,0
8501,691,2020-05-04,131,44,28,40,0,0
11470,795,2020-05-05,2969,45,104,41,0,0
12304,848,2020-05-06,834,46,53,42,0,0
13888,903,2020-05-07,1584,47,55,43,0,0
14956,966,2020-05-08,1068,48,63,44,0,0
15879,1062,2020-05-09,923,49,96,45,0,0
16692,1114,2020-05-10,813,50,52,46,0,0
17599,1189,2020-05-11,907,51,75,47,0,0
18412,1280,2020-05-12,813,52,91,48,0,0
19156,1389,2020-05-13,744,53,109,49,0,0
20817,1413,2020-05-14,1661,54,24,50,0,0
22490,1476,2020-05-15,1673,55,63,51,0,0
23795,1592,2020-05-16,1305,56,116,52,0,0
24255,1614,2020-05-17,460,57,22,53,0,0
26363,1748,2020-05-18,2108,58,134,54,0,0
28112,1856,2020-05-19,1749,59,108,55,0,0
30560,1900,2020-05-20,2448,60,44,56,0,0
31147,2043,2020-05-21,587,61,143,57,0,0
34573,2251,2020-05-22,3426,62,208,58,0,0
35070,2305,2020-05-23,497,63,54,59,0,0
35595,2324,2020-05-24,525,64,19,60,0,0
36185,2403,2020-05-25,590,65,79,61,0,0
37021,2603,2020-05-26,836,66,200,62,0,0
37275,2671,2020-05-27,254,67,68,63,0,0
37821,2733,2020-05-28,546,68,62,64,0,0
38395,2859,2020-05-29,574,69,126,65,0,0
47822,2956,2020-05-30,9427,70,97,66,0,0
48489,3010,2020-05-31,667,71,54,67,0,0
50504,3188,2020-06-01,2015,72,178,68,0,0
54683,3504,2020-06-02,4179,73,316,69,0,0
57994,3666,2020-06-03,3311,74,162,70,0,0
59795,3813,2020-06-04,1801,75,147,71,0,0
62176,3907,2020-06-05,2381,76,94,72,0,0
63575,3965,2020-06-06,1399,77,58,73,0,0
64271,3982,2020-06-07,696,78,17,74,0,0
66218,4192,2020-06-08,1947,79,210,75,0,0
69023,4359,2020-06-09,2805,80,167,76,0,0
71947,4519,2020-06-10,2924,81,160,77,0,0
74692,4708,2020-06-11,2745,82,189,78,0,0
75784,4812,2020-06-12,1092,83,104,79,0,0
76631,4829,2020-06-13,847,84,17,80,0,0
76833,4885,2020-06-14,202,85,56,81,0,0
79853,5041,2020-06-15,3020,86,156,82,0,0
81289,5070,2020-06-16,1436,87,29,83,0,0
85606,5307,2020-06-17,4317,88,237,84,0,0
87273,5377,2020-06-18,1667,89,70,85,0,0
90441,5497,2020-06-19,3168,90,120,86,0,0
92156,5518,2020-06-20,1715,91,21,87,0,0
92866,5523,2020-06-21,710,92,5,88,0,0
94708,5618,2020-06-22,1842,93,95,89,0,0
98055,5728,2020-06-23,3347,94,110,90,0,0
99578,5815,2020-06-24,1523,95,87,91,0,0
103118,5895,2020-06-25,3540,96,80,92,0,0
105270,5962,2020-06-26,2152,97,67,93,0,0
107064,5987,2020-06-27,1794,98,25,94,0,0
107593,5995,2020-06-28,529,99,8,95,0,0
108225,6087,2020-06-29,632,100,92,96,0,0
110483,6146,2020-06-30,2258,101,59,97,0,0
114038,6203,2020-07-01,3555,102,57,98,0,0
116519,6307,2020-07-02,2481,103,104,99,0,0
118311,6373,2020-07-03,1792,104,66,100,0,0
121464,6441,2020-07-04,3153,105,68,101,0,0
121986,6441,2020-07-05,522,106,0,102,0,0
123394,6504,2020-07-06,1408,107,63,103,0,0
126142,6563,2020-07-07,2748,108,59,104,0,0
129598,6665,2020-07-08,3456,109,102,105,0,0
131324,6774,2020-07-09,1726,110,109,106,0,0
134610,6842,2020-07-10,3286,111,68,107,0,0
136001,6867,2020-07-11,1391,112,25,108,0,0
136790,6869,2020-07-12,789,113,2,109,0,0
137234,6975,2020-07-13,444,114,106,110,0,0
139437,6977,2020-07-14,2203,115,2,111,0,0
141832,7081,2020-07-15,2395,116,104,112,0,0
144058,7139,2020-07-16,2226,117,58,113,0,0
146064,7166,2020-07-17,2006,118,27,114,0,0
146972,7178,2020-07-18,908,119,12,115,0,0
147378,7179,2020-07-19,406,120,1,116,0,0
147818,7256,2020-07-20,440,121,77,117,0,0
151072,7305,2020-07-21,3254,122,49,118,0,0
154381,7329,2020-07-22,3309,123,24,119,0,0
156265,7411,2020-07-23,1884,124,82,120,0,0
159953,7456,2020-07-24,3688,125,45,121,0,0
161844,7480,2020-07-25,1891,126,24,122,0,0
161844,7480,2020-07-26,0,127,0,123,0,0
