Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
565,512,48,2020-06-15 22:00:00,2020-06-15,0,79,0,77,0
565,512,48,2020-06-14 22:00:00,2020-06-14,0,78,0,76,0
565,512,48,2020-06-13 22:00:00,2020-06-13,0,77,0,75,0
565,512,48,2020-06-12 22:00:00,2020-06-12,0,76,0,74,0
565,512,48,2020-06-11 22:00:00,2020-06-11,0,75,0,73,0
565,512,48,2020-06-10 22:00:00,2020-06-10,1,74,2,72,0
564,512,46,2020-06-09 22:00:00,2020-06-09,1,73,0,71,0
563,512,46,2020-06-08 22:00:00,2020-06-08,0,72,0,70,0
563,512,46,2020-06-07 22:00:00,2020-06-07,2,71,0,69,0
561,512,46,2020-06-06 22:00:00,2020-06-06,0,70,0,68,0
561,512,46,2020-06-05 22:00:00,2020-06-05,0,69,0,67,0
561,512,46,2020-06-04 22:00:00,2020-06-04,1,68,0,66,0
560,512,46,2020-06-03 22:00:00,2020-06-03,0,67,1,65,-16
560,528,45,2020-06-02 22:00:00,2020-06-02,0,66,0,64,13
560,515,45,2020-06-01 22:00:00,2020-06-01,0,65,0,63,-10
560,525,45,2020-05-31 22:00:00,2020-05-31,0,64,0,62,13
560,512,45,2020-05-30 22:00:00,2020-05-30,0,63,0,61,0
560,512,45,2020-05-29 22:00:00,2020-05-29,0,62,0,60,0
560,512,45,2020-05-28 22:00:00,2020-05-28,1,61,0,59,0
559,512,45,2020-05-27 22:00:00,2020-05-27,0,60,0,58,-5
559,517,45,2020-05-26 22:00:00,2020-05-26,1,59,0,57,0
558,517,45,2020-05-25 22:00:00,2020-05-25,0,58,0,56,9
558,508,45,2020-05-24 22:00:00,2020-05-24,0,57,0,55,0
558,508,45,2020-05-23 22:00:00,2020-05-23,0,56,0,54,0
558,508,45,2020-05-22 22:00:00,2020-05-22,0,55,0,53,16
558,492,45,2020-05-21 22:00:00,2020-05-21,3,54,1,52,13
555,479,44,2020-05-20 22:00:00,2020-05-20,0,53,1,51,4
555,475,43,2020-05-19 22:00:00,2020-05-19,1,52,0,50,17
554,458,43,2020-05-18 22:00:00,2020-05-18,0,51,0,49,0
554,458,43,2020-05-17 22:00:00,2020-05-17,5,50,0,48,1
549,457,43,2020-05-16 22:00:00,2020-05-16,0,49,0,47,1
549,456,43,2020-05-15 22:00:00,2020-05-15,1,48,0,46,0
548,456,43,2020-05-14 22:00:00,2020-05-14,1,47,1,45,1
547,455,42,2020-05-13 22:00:00,2020-05-13,1,46,1,44,3
546,452,41,2020-05-12 22:00:00,2020-05-12,1,45,0,43,5
545,447,41,2020-05-11 22:00:00,2020-05-11,0,44,0,42,0
545,447,41,2020-05-10 22:00:00,2020-05-10,0,43,0,41,0
545,447,41,2020-05-09 22:00:00,2020-05-09,0,42,1,40,17
545,430,40,2020-05-08 22:00:00,2020-05-08,0,41,0,39,1
545,429,40,2020-05-07 22:00:00,2020-05-07,0,40,0,38,23
545,406,40,2020-05-06 22:00:00,2020-05-06,1,39,-1,37,0
544,406,41,2020-05-05 22:00:00,2020-05-05,0,38,0,36,0
544,406,41,2020-05-04 22:00:00,2020-05-04,1,37,0,35,0
543,406,41,2020-05-03 22:00:00,2020-05-03,5,36,0,34,0
538,406,41,2020-05-02 22:00:00,2020-05-02,1,35,1,33,20
537,386,40,2020-05-01 22:00:00,2020-05-01,0,34,2,32,0
537,386,38,2020-04-30 22:00:00,2020-04-30,7,33,2,31,34
530,352,36,2020-04-29 22:00:00,2020-04-29,5,32,1,30,0
525,352,35,2020-04-28 22:00:00,2020-04-28,0,31,0,29,20
525,332,35,2020-04-27 22:00:00,2020-04-27,0,30,0,28,0
525,332,35,2020-04-26 22:00:00,2020-04-26,2,29,1,27,37
523,295,34,2020-04-25 22:00:00,2020-04-25,2,28,5,26,0
521,295,29,2020-04-24 22:00:00,2020-04-24,23,27,1,25,10
498,285,28,2020-04-23 22:00:00,2020-04-23,2,26,4,24,29
496,256,24,2020-04-22 22:00:00,2020-04-22,8,25,0,23,183
488,73,24,2020-04-21 22:00:00,2020-04-21,0,24,3,22,0
488,73,21,2020-04-20 22:00:00,2020-04-20,4,23,0,21,0
484,73,21,2020-04-19 22:00:00,2020-04-19,14,22,1,20,0
470,73,20,2020-04-18 22:00:00,2020-04-18,13,21,1,19,0
457,73,19,2020-04-17 22:00:00,2020-04-17,10,20,4,18,4
447,69,15,2020-04-16 22:00:00,2020-04-16,7,19,2,17,21
440,48,13,2020-04-15 22:00:00,2020-04-15,4,18,4,16,0
436,48,9,2020-04-14 22:00:00,2020-04-14,5,17,0,15,0
431,48,9,2020-04-13 22:00:00,2020-04-13,24,16,0,14,0
407,48,9,2020-04-12 22:00:00,2020-04-12,9,15,0,13,8
398,40,9,2020-04-11 22:00:00,2020-04-11,37,14,1,12,0
361,40,8,2020-04-10 22:00:00,2020-04-10,10,13,0,11,2
351,38,8,2020-04-09 22:00:00,2020-04-09,16,12,1,10,4
335,34,7,2020-04-08 22:00:00,2020-04-08,1,11,0,9,7
334,27,7,2020-04-07 22:00:00,2020-04-07,25,10,1,8,0
