Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
127745,95631,1541,2020-06-07 22:00:00,2020-06-07,5246,83,93,74,0
122499,95631,1448,2020-06-06 22:00:00,2020-06-06,4207,82,92,73,0
118292,95631,1356,2020-06-05 22:00:00,2020-06-05,4664,81,81,72,4883
113628,90748,1275,2020-06-04 22:00:00,2020-06-04,4942,80,87,71,4575
108686,86173,1188,2020-06-03 22:00:00,2020-06-03,3527,79,75,70,41227
105159,44946,1113,2020-06-02 22:00:00,2020-06-02,5471,78,59,69,2219
99688,42727,1054,2020-06-01 22:00:00,2020-06-01,4830,77,57,68,2296
94858,40431,997,2020-05-31 22:00:00,2020-05-31,4220,76,53,67,1833
90638,38598,944,2020-05-30 22:00:00,2020-05-30,3695,75,54,66,2448
86943,36150,890,2020-05-29 22:00:00,2020-05-29,4654,74,49,65,2610
82289,33540,841,2020-05-28 22:00:00,2020-05-28,4328,73,35,64,2625
77961,30915,806,2020-05-27 22:00:00,2020-05-27,3964,72,45,63,1613
73997,29302,761,2020-05-26 22:00:00,2020-05-26,4895,71,43,62,1154
69102,28148,718,2020-05-25 22:00:00,2020-05-25,3709,70,45,61,1602
65393,26546,673,2020-05-24 22:00:00,2020-05-24,3536,69,43,60,1204
61857,25342,630,2020-05-23 22:00:00,2020-05-23,4276,68,41,59,1350
57581,23992,589,2020-05-22 22:00:00,2020-05-22,3964,67,45,58,1488
53617,22504,544,2020-05-21 22:00:00,2020-05-21,4038,66,35,57,997
49579,21507,509,2020-05-20 22:00:00,2020-05-20,3520,65,31,56,1342
46059,20165,478,2020-05-19 22:00:00,2020-05-19,2278,64,28,55,952
43781,19213,450,2020-05-18 22:00:00,2020-05-18,2353,63,29,54,1199
41428,18014,421,2020-05-17 22:00:00,2020-05-17,1886,62,27,53,1400
39542,16614,394,2020-05-16 22:00:00,2020-05-16,2502,61,26,52,959
37040,15655,368,2020-05-15 22:00:00,2020-05-15,2659,60,22,51,790
34381,14865,346,2020-05-14 22:00:00,2020-05-14,2660,59,11,50,740
31721,14125,335,2020-05-13 22:00:00,2020-05-13,1658,58,12,49,520
30063,13605,323,2020-05-12 22:00:00,2020-05-12,1197,57,11,48,493
28866,13112,312,2020-05-11 22:00:00,2020-05-11,1647,56,8,47,445
27219,12667,304,2020-05-10 22:00:00,2020-05-10,1247,55,10,46,507
25972,12160,294,2020-05-09 22:00:00,2020-05-09,1391,54,9,45,496
24581,11664,285,2020-05-08 22:00:00,2020-05-08,1533,53,4,44,475
23048,11189,281,2020-05-07 22:00:00,2020-05-07,1032,52,6,43,479
22016,10710,275,2020-05-06 22:00:00,2020-05-06,1373,51,5,42,295
20643,10415,270,2020-05-05 22:00:00,2020-05-05,980,50,10,41,374
19663,10041,260,2020-05-04 22:00:00,2020-05-04,1228,49,13,40,469
18435,9572,247,2020-05-03 22:00:00,2020-05-03,1427,48,13,39,554
17008,9018,234,2020-05-02 22:00:00,2020-05-02,985,47,7,38,438
16023,8580,227,2020-05-01 22:00:00,2020-05-01,888,46,11,37,523
15135,8057,216,2020-04-30 22:00:00,2020-04-30,770,45,9,36,347
14365,7710,207,2020-04-29 22:00:00,2020-04-29,552,44,9,35,383
13813,7327,198,2020-04-28 22:00:00,2020-04-28,482,43,9,34,303
13331,7024,189,2020-04-27 22:00:00,2020-04-27,473,42,8,33,278
12858,6746,181,2020-04-26 22:00:00,2020-04-26,552,41,7,32,419
12306,6327,174,2020-04-25 22:00:00,2020-04-25,494,40,6,31,523
11812,5804,168,2020-04-24 22:00:00,2020-04-24,516,39,8,30,418
11296,5386,160,2020-04-23 22:00:00,2020-04-23,464,38,13,29,417
10832,4969,147,2020-04-22 22:00:00,2020-04-22,325,37,8,28,293
10507,4676,139,2020-04-21 22:00:00,2020-04-21,419,36,6,27,338
10088,4338,133,2020-04-20 22:00:00,2020-04-20,358,35,7,26,303
9730,4035,126,2020-04-19 22:00:00,2020-04-19,478,34,10,25,414
9252,3621,116,2020-04-18 22:00:00,2020-04-18,445,33,11,24,322
8807,3299,105,2020-04-17 22:00:00,2020-04-17,534,32,11,23,362
8273,2937,94,2020-04-16 22:00:00,2020-04-16,356,31,2,22,291
7917,2646,92,2020-04-15 22:00:00,2020-04-15,392,30,10,21,279
7525,2367,82,2020-04-14 22:00:00,2020-04-14,312,29,2,20,308
7213,2059,80,2020-04-13 22:00:00,2020-04-13,286,28,7,19,195
6927,1864,73,2020-04-12 22:00:00,2020-04-12,426,27,8,18,293
6501,1571,65,2020-04-11 22:00:00,2020-04-11,529,26,8,17,297
5972,1274,57,2020-04-10 22:00:00,2020-04-10,426,25,9,16,159
5546,1115,48,2020-04-09 22:00:00,2020-04-09,430,24,5,15,217
5116,898,43,2020-04-08 22:00:00,2020-04-08,301,23,6,14,170
4815,728,37,2020-04-07 22:00:00,2020-04-07,344,22,3,13,110
4471,618,34,2020-04-06 22:00:00,2020-04-06,310,21,7,12,90
4161,528,27,2020-04-05 22:00:00,2020-04-05,424,20,5,11,101
3737,427,22,2020-04-04 21:00:00,2020-04-04,333,19,4,10,92
3404,335,18,2020-04-03 21:00:00,2020-04-03,373,18,2,9,101
3031,234,16,2020-04-02 21:00:00,2020-04-02,293,17,4,8,78
2738,156,12,2020-04-01 21:00:00,2020-04-01,289,16,4,7,0
2449,156,8,2020-03-31 21:00:00,2020-03-31,310,15,1,6,81
2139,75,7,2020-03-30 21:00:00,2020-03-30,230,14,1,5,14
1909,61,6,2020-03-29 21:00:00,2020-03-29,299,13,1,4,18
1610,43,5,2020-03-28 21:00:00,2020-03-28,304,12,1,3,21
1306,22,4,2020-03-27 21:10:00,2020-03-27,164,11,1,2,0
1142,22,3,2020-03-26 22:20:00,2020-03-26,220,10,1,1,5
922,17,2,2020-03-25 23:20:00,2020-03-25,176,9,0,0,6
746,11,2,2020-03-24 21:20:00,2020-03-24,114,8,1,0,3
632,8,1,2020-03-23 21:40:00,2020-03-23,95,7,0,0,0
537,8,1,2020-03-22 21:00:00,2020-03-22,103,6,1,0,2
434,6,0,2020-03-21 21:00:00,2020-03-21,92,5,0,0,6
342,0,0,2020-03-20 21:20:00,2020-03-20,104,4,0,0,0
238,0,0,2020-03-19 21:30:00,2020-03-19,37,3,0,0,0
201,0,0,2020-03-18 22:00:00,2020-03-18,45,2,0,0,0
156,0,0,2020-03-17 21:00:00,2020-03-17,81,1,0,0,0
75,0,0,2020-03-16 21:00:00,2020-03-16,14,0,0,0,0
61,0,0,2020-03-15 21:00:00,2020-03-15,18,0,0,0,0
43,0,0,2020-03-14 21:00:00,2020-03-14,10,0,0,0,0
33,0,0,2020-03-13 21:00:00,2020-03-13,10,0,0,0,0
23,0,0,2020-03-12 21:00:00,2020-03-12,6,0,0,0,0
17,0,0,2020-03-11 21:00:00,2020-03-11,4,0,0,0,0
13,0,0,2020-03-10 21:00:00,2020-03-10,3,0,0,0,0
10,0,0,2020-03-09 21:00:00,2020-03-09,3,0,0,0,0
7,0,0,2020-03-08 21:00:00,2020-03-08,2,0,0,0,0
5,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0,0,0
4,0,0,2020-03-06 21:00:00,2020-03-06,1,0,0,0,0
3,0,0,2020-03-05 21:00:00,2020-03-05,2,0,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,1,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
