Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
82985,78272,4634,2020-05-26 09:00:00,2020-05-26,0,127,0,127,0
82985,78272,4634,2020-05-25 22:00:00,2020-05-25,11,126,0,126,9
82974,78263,4634,2020-05-24 22:00:00,2020-05-24,3,125,0,125,5
82971,78258,4634,2020-05-23 22:00:00,2020-05-23,0,124,0,124,3
82971,78255,4634,2020-05-22 22:00:00,2020-05-22,4,123,0,123,3
82967,78252,4634,2020-05-21 22:00:00,2020-05-21,1,122,0,122,5
82966,78247,4634,2020-05-20 22:00:00,2020-05-20,3,121,0,121,5
82963,78242,4634,2020-05-19 22:00:00,2020-05-19,9,120,0,120,4
82954,78238,4634,2020-05-18 22:00:00,2020-05-18,7,119,0,119,11
82947,78227,4634,2020-05-17 22:00:00,2020-05-17,6,118,1,118,7
82941,78220,4633,2020-05-16 22:00:00,2020-05-16,8,117,0,117,10
82933,78210,4633,2020-05-15 22:00:00,2020-05-15,4,116,0,116,10
82929,78200,4633,2020-05-14 22:00:00,2020-05-14,3,115,0,115,9
82926,78191,4633,2020-05-13 22:00:00,2020-05-13,7,114,0,114,16
82919,78175,4633,2020-05-12 22:00:00,2020-05-12,4,113,0,113,31
82915,78144,4633,2020-05-11 22:00:00,2020-05-11,13,112,0,112,25
82902,78119,4633,2020-05-10 22:00:00,2020-05-10,15,111,0,111,70
82887,78049,4633,2020-05-09 22:00:00,2020-05-09,0,110,0,110,56
82887,77993,4633,2020-05-08 22:00:00,2020-05-08,2,109,0,109,36
82885,77957,4633,2020-05-07 22:00:00,2020-05-07,2,108,0,108,21
82883,77936,4633,2020-05-06 22:00:00,2020-05-06,2,107,0,107,82
82881,77854,4633,2020-05-05 22:00:00,2020-05-05,1,106,0,106,88
82880,77766,4633,2020-05-04 22:00:00,2020-05-04,3,105,0,105,53
82877,77713,4633,2020-05-03 22:00:00,2020-05-03,2,104,0,104,28
82875,77685,4633,2020-05-02 22:00:00,2020-05-02,1,103,0,103,25
82874,77660,4633,2020-05-01 22:00:00,2020-05-01,15,102,0,102,50
82859,77610,4633,2020-04-30 22:00:00,2020-04-30,1,101,0,101,19
82858,77591,4633,2020-04-29 22:00:00,2020-04-29,2,100,0,100,44
82856,77547,4633,2020-04-28 22:00:00,2020-04-28,26,99,0,99,60
82830,77487,4633,2020-04-27 22:00:00,2020-04-27,11,98,1,98,129
82819,77358,4632,2020-04-26 22:00:00,2020-04-26,0,97,0,97,0
82819,77358,4632,2020-04-25 22:00:00,2020-04-25,15,96,0,96,87
82804,77271,4632,2020-04-24 22:00:00,2020-04-24,6,95,0,95,64
82798,77207,4632,2020-04-23 22:00:00,2020-04-23,8,94,0,94,52
82790,77155,4632,2020-04-22 22:00:00,2020-04-22,11,93,0,93,32
82779,77123,4632,2020-04-21 22:00:00,2020-04-21,32,92,0,92,39
82747,77084,4632,2020-04-20 22:00:00,2020-04-20,12,91,0,91,22
82735,77062,4632,2020-04-19 22:00:00,2020-04-19,16,90,0,90,33
82719,77029,4632,2020-04-18 22:00:00,2020-04-18,27,89,0,89,51
82692,76978,4632,2020-04-17 22:00:00,2020-04-17,26,88,0,88,30
82666,76948,4632,2020-04-16 22:00:00,2020-04-16,371,87,1290,87,-885
82295,77833,3342,2020-04-15 22:00:00,2020-04-15,45,86,1,86,95
82250,77738,3341,2020-04-14 22:00:00,2020-04-14,90,85,0,85,75
82160,77663,3341,2020-04-13 22:00:00,2020-04-13,108,84,2,84,80
82052,77583,3339,2020-04-12 22:00:00,2020-04-12,82,83,0,83,55
81970,77528,3339,2020-04-11 22:00:00,2020-04-11,63,82,3,82,83
81907,77445,3336,2020-04-10 22:00:00,2020-04-10,42,81,1,81,69
81865,77376,3335,2020-04-09 22:00:00,2020-04-09,60,80,3,80,97
81805,77279,3332,2020-04-08 22:00:00,2020-04-08,65,79,1,79,95
81740,77184,3331,2020-04-07 22:00:00,2020-04-07,32,78,0,78,100
81708,77084,3331,2020-04-06 22:00:00,2020-04-06,39,77,2,77,120
81669,76964,3329,2020-04-05 22:00:00,2020-04-05,30,76,3,76,213
81639,76751,3326,2020-04-04 21:00:00,2020-04-04,25,75,4,75,184
81614,76567,3322,2020-04-03 21:00:00,2020-04-03,25,74,4,74,159
