Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
1485,88,35,2020-04-06 18:00:00,2020-04-06,79,19,3
1406,85,32,2020-04-05 22:00:00,2020-04-05,139,18,7
1267,55,25,2020-04-04 21:00:00,2020-04-04,106,17,6
1161,55,19,2020-04-03 21:00:00,2020-04-03,96,16,2
1065,39,17,2020-04-02 21:00:00,2020-04-02,159,15,1
906,31,16,2020-04-01 21:00:00,2020-04-01,108,14,2
798,15,14,2020-03-31 21:00:00,2020-03-31,96,13,4
702,10,10,2020-03-30 21:00:00,2020-03-30,94,12,4
608,10,6,2020-03-29 21:00:00,2020-03-29,69,11,0
539,10,6,2020-03-28 21:00:00,2020-03-28,48,10,0
491,8,6,2020-03-27 21:10:00,2020-03-27,21,9,2
470,8,4,2020-03-26 22:20:00,2020-03-26,92,8,1
378,6,3,2020-03-25 23:20:00,2020-03-25,72,7,0
306,6,3,2020-03-24 21:20:00,2020-03-24,71,6,1
235,3,2,2020-03-23 21:40:00,2020-03-23,25,5,1
210,3,1,2020-03-22 21:00:00,2020-03-22,52,4,1
158,1,0,2020-03-21 21:00:00,2020-03-21,30,3,0
128,1,0,2020-03-20 21:20:00,2020-03-20,26,2,0
102,1,0,2020-03-19 21:30:00,2020-03-19,27,1,0
75,1,0,2020-03-18 22:00:00,2020-03-18,18,0,0
57,1,0,2020-03-17 21:00:00,2020-03-17,12,0,0
45,0,0,2020-03-16 21:00:00,2020-03-16,21,0,0
24,0,0,2020-03-15 21:00:00,2020-03-15,8,0,0
16,0,0,2020-03-14 21:00:00,2020-03-14,7,0,0
9,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0
9,0,0,2020-03-12 21:00:00,2020-03-12,6,0,0
3,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0
3,0,0,2020-03-10 21:00:00,2020-03-10,2,0,0
1,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0
1,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0
1,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
