Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
2309,2071,85,2020-06-21 22:00:00,2020-06-21,4,85,0,85,34
2305,2037,85,2020-06-20 22:00:00,2020-06-20,10,84,0,84,17
2295,2020,85,2020-06-19 22:00:00,2020-06-19,15,83,1,83,21
2280,1999,84,2020-06-18 22:00:00,2020-06-18,7,82,0,82,5
2273,1994,84,2020-06-17 22:00:00,2020-06-17,11,81,0,81,29
2262,1965,84,2020-06-16 22:00:00,2020-06-16,14,80,0,80,17
2248,1948,84,2020-06-15 22:00:00,2020-06-15,10,79,0,79,25
2238,1923,84,2020-06-14 22:00:00,2020-06-14,5,78,0,78,21
2233,1902,84,2020-06-13 22:00:00,2020-06-13,14,77,0,77,9
2219,1893,84,2020-06-12 22:00:00,2020-06-12,8,76,1,76,7
2211,1886,83,2020-06-11 22:00:00,2020-06-11,6,75,0,75,6
2205,1880,83,2020-06-10 22:00:00,2020-06-10,5,74,0,74,12
2200,1868,83,2020-06-09 22:00:00,2020-06-09,9,73,0,73,6
2191,1862,83,2020-06-08 22:00:00,2020-06-08,18,72,0,72,7
2173,1855,83,2020-06-07 22:00:00,2020-06-07,40,71,0,71,7
2133,1848,83,2020-06-06 22:00:00,2020-06-06,14,70,0,70,9
2119,1839,83,2020-06-05 22:00:00,2020-06-05,12,69,0,69,9
2107,1830,83,2020-06-04 22:00:00,2020-06-04,15,68,0,68,3
2092,1827,83,2020-06-03 22:00:00,2020-06-03,9,67,0,67,1
2083,1826,83,2020-06-02 22:00:00,2020-06-02,38,66,0,66,17
2045,1809,83,2020-06-01 22:00:00,2020-06-01,20,65,0,65,14
2025,1795,83,2020-05-31 22:00:00,2020-05-31,20,64,1,64,35
2005,1760,82,2020-05-30 22:00:00,2020-05-30,22,63,0,63,26
1983,1734,82,2020-05-29 22:00:00,2020-05-29,9,62,0,62,10
1974,1724,82,2020-05-28 22:00:00,2020-05-28,11,61,0,61,15
1963,1709,82,2020-05-27 22:00:00,2020-05-27,16,60,0,60,5
1947,1704,82,2020-05-26 22:00:00,2020-05-26,6,59,0,59,15
1941,1689,82,2020-05-25 22:00:00,2020-05-25,10,58,1,58,18
1931,1671,81,2020-05-24 22:00:00,2020-05-24,15,57,0,57,40
1916,1631,81,2020-05-23 22:00:00,2020-05-23,8,56,1,56,28
1908,1603,80,2020-05-22 22:00:00,2020-05-22,8,55,1,55,30
1900,1573,79,2020-05-21 22:00:00,2020-05-21,13,54,0,54,35
1887,1538,79,2020-05-20 22:00:00,2020-05-20,6,53,0,53,33
1881,1505,79,2020-05-19 22:00:00,2020-05-19,9,52,0,52,10
1872,1495,79,2020-05-18 22:00:00,2020-05-18,10,51,0,51,35
1862,1460,79,2020-05-17 22:00:00,2020-05-17,22,50,0,50,35
1840,1425,79,2020-05-16 22:00:00,2020-05-16,10,49,0,49,42
1830,1383,79,2020-05-15 22:00:00,2020-05-15,20,48,0,48,57
1810,1326,79,2020-05-14 22:00:00,2020-05-14,6,47,1,47,49
1804,1277,78,2020-05-13 22:00:00,2020-05-13,21,46,1,46,48
1783,1229,77,2020-05-12 22:00:00,2020-05-12,17,45,0,45,36
1766,1193,77,2020-05-11 22:00:00,2020-05-11,12,44,3,44,53
1754,1140,74,2020-05-10 22:00:00,2020-05-10,13,43,0,43,62
1741,1078,74,2020-05-09 22:00:00,2020-05-09,12,42,1,42,47
1729,1031,73,2020-05-08 22:00:00,2020-05-08,26,41,4,41,30
1703,1001,69,2020-05-07 22:00:00,2020-05-07,18,40,0,40,47
1685,954,69,2020-05-06 22:00:00,2020-05-06,17,39,0,39,78
1668,876,69,2020-05-05 22:00:00,2020-05-05,19,38,2,38,49
1649,827,67,2020-05-04 22:00:00,2020-05-04,38,37,1,37,62
1611,765,66,2020-05-03 22:00:00,2020-05-03,74,36,2,36,51
1537,714,64,2020-05-02 22:00:00,2020-05-02,36,35,3,35,33
1501,681,61,2020-05-01 22:00:00,2020-05-01,34,34,3,34,64
1467,617,58,2020-04-30 22:00:00,2020-04-30,30,33,0,33,42
1437,575,58,2020-04-29 22:00:00,2020-04-29,48,32,2,32,50
1389,525,56,2020-04-28 22:00:00,2020-04-28,20,31,2,31,24
