Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
14570,9144,364,2020-07-23 22:00:00,2020-07-23,246,133,4,121,226
14324,8918,360,2020-07-22 22:00:00,2020-07-22,226,132,1,120,82
14098,8836,359,2020-07-21 22:00:00,2020-07-21,153,131,0,119,75
13945,8761,359,2020-07-20 22:00:00,2020-07-20,90,130,1,118,28
13855,8733,358,2020-07-19 22:00:00,2020-07-19,113,129,0,117,8
13742,8725,358,2020-07-18 22:00:00,2020-07-18,130,128,3,116,85
13612,8640,355,2020-07-17 22:00:00,2020-07-17,137,127,0,115,133
13475,8507,355,2020-07-16 22:00:00,2020-07-16,134,126,0,114,66
13341,8441,355,2020-07-15 22:00:00,2020-07-15,103,125,2,113,68
13238,8373,353,2020-07-14 22:00:00,2020-07-14,64,124,1,112,126
13174,8247,352,2020-07-13 22:00:00,2020-07-13,59,123,0,111,20
13115,8227,352,2020-07-12 22:00:00,2020-07-12,53,122,0,110,18
13062,8209,352,2020-07-11 22:00:00,2020-07-11,143,121,0,109,81
12919,8128,352,2020-07-10 22:00:00,2020-07-10,105,120,1,108,118
12814,8010,351,2020-07-09 22:00:00,2020-07-09,129,119,0,107,100
12685,7910,351,2020-07-08 22:00:00,2020-07-08,119,118,1,106,37
12566,7873,350,2020-07-07 22:00:00,2020-07-07,51,117,2,105,9
12515,7864,348,2020-07-06 22:00:00,2020-07-06,75,116,-3,104,12
12440,7852,351,2020-07-05 22:00:00,2020-07-05,121,115,-2,103,4
12319,7848,353,2020-07-04 22:00:00,2020-07-04,141,114,0,102,26
12178,7822,353,2020-07-03 22:00:00,2020-07-03,132,113,4,101,25
12046,7797,349,2020-07-02 22:00:00,2020-07-02,86,112,0,100,21
11960,7776,349,2020-07-01 22:00:00,2020-07-01,151,111,0,99,25
11809,7751,349,2020-06-30 22:00:00,2020-06-30,205,110,1,98,41
11604,7710,348,2020-06-29 22:00:00,2020-06-29,298,109,1,97,28
11306,7682,347,2020-06-28 22:00:00,2020-06-28,262,108,-2,96,13
11044,7669,349,2020-06-27 22:00:00,2020-06-27,174,107,4,95,20
10870,7649,345,2020-06-26 22:00:00,2020-06-26,90,106,1,94,57
10780,7592,344,2020-06-25 22:00:00,2020-06-25,129,105,4,93,33
10651,7559,340,2020-06-24 22:00:00,2020-06-24,90,104,3,92,16
10561,7543,337,2020-06-23 22:00:00,2020-06-23,63,103,1,91,38
10498,7505,336,2020-06-22 22:00:00,2020-06-22,50,102,0,90,28
10448,7477,336,2020-06-21 22:00:00,2020-06-21,42,101,1,89,4
10406,7473,335,2020-06-20 22:00:00,2020-06-20,123,100,1,88,27
10283,7446,334,2020-06-19 22:00:00,2020-06-19,107,99,1,87,45
10176,7401,333,2020-06-18 22:00:00,2020-06-18,64,98,1,86,41
10112,7360,332,2020-06-17 22:00:00,2020-06-17,46,97,2,85,60
10066,7300,330,2020-06-16 22:00:00,2020-06-16,39,96,0,84,55
10027,7245,330,2020-06-15 22:00:00,2020-06-15,36,95,2,83,26
9991,7219,328,2020-06-14 22:00:00,2020-06-14,49,94,-1,82,4
9942,7215,329,2020-06-13 22:00:00,2020-06-13,55,93,0,81,45
9887,7170,329,2020-06-12 22:00:00,2020-06-12,61,92,-1,80,46
9826,7124,330,2020-06-11 22:00:00,2020-06-11,63,91,0,79,67
9763,7057,330,2020-06-10 22:00:00,2020-06-10,64,90,2,78,48
9699,7009,328,2020-06-09 22:00:00,2020-06-09,70,89,0,77,113
9629,6896,328,2020-06-08 22:00:00,2020-06-08,55,88,1,76,11
9574,6885,327,2020-06-07 22:00:00,2020-06-07,44,87,0,75,4
9530,6881,327,2020-06-06 22:00:00,2020-06-06,36,86,1,74,72
9494,6809,326,2020-06-05 22:00:00,2020-06-05,53,85,2,73,57
9441,6752,324,2020-06-04 22:00:00,2020-06-04,67,84,1,72,59
9374,6693,323,2020-06-03 22:00:00,2020-06-03,66,83,2,71,51
9308,6642,321,2020-06-02 22:00:00,2020-06-02,35,82,1,70,80
9273,6562,320,2020-06-01 22:00:00,2020-06-01,40,81,1,69,16
9233,6546,319,2020-05-31 22:00:00,2020-05-31,33,80,0,68,44
9200,6502,319,2020-05-30 22:00:00,2020-05-30,57,79,0,67,38
9143,6464,319,2020-05-29 22:00:00,2020-05-29,40,78,2,66,87
9103,6377,317,2020-05-28 22:00:00,2020-05-28,51,77,0,65,98
9052,6279,317,2020-05-27 22:00:00,2020-05-27,50,76,0,64,97
9002,6182,317,2020-05-26 22:00:00,2020-05-26,45,75,2,63,99
8957,6083,315,2020-05-25 22:00:00,2020-05-25,67,74,1,62,39
8890,6044,314,2020-05-24 22:00:00,2020-05-24,77,73,2,61,19
8813,6025,312,2020-05-23 22:00:00,2020-05-23,56,72,6,60,93
8757,5932,306,2020-05-22 22:00:00,2020-05-22,36,71,2,59,102
8721,5830,304,2020-05-21 22:00:00,2020-05-21,38,70,1,58,99
8683,5731,303,2020-05-20 22:00:00,2020-05-20,89,69,4,57,90
8594,5641,299,2020-05-19 22:00:00,2020-05-19,114,68,1,56,173
8480,5468,298,2020-05-18 22:00:00,2020-05-18,23,67,1,55,46
8457,5422,297,2020-05-17 22:00:00,2020-05-17,51,66,2,54,41
8406,5381,295,2020-05-16 22:00:00,2020-05-16,54,65,2,53,132
8352,5249,293,2020-05-15 22:00:00,2020-05-15,77,64,3,52,191
8275,5058,290,2020-05-14 22:00:00,2020-05-14,52,63,6,51,159
8223,4899,284,2020-05-13 22:00:00,2020-05-13,46,62,1,50,161
8177,4738,283,2020-05-12 22:00:00,2020-05-12,54,61,3,49,256
8123,4482,280,2020-05-11 22:00:00,2020-05-11,28,60,4,48,34
8095,4448,276,2020-05-10 22:00:00,2020-05-10,17,59,3,47,34
8078,4414,273,2020-05-09 22:00:00,2020-05-09,44,58,3,46,42
8034,4372,270,2020-05-08 22:00:00,2020-05-08,55,57,7,45,158
7979,4214,263,2020-05-07 22:00:00,2020-05-07,80,56,5,44,197
