Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
8199,4248,193,2020-07-16 22:00:00,2020-07-16,64,107,3,113,300
8135,3948,190,2020-07-15 22:00:00,2020-07-15,0,106,0,112,0
8135,3948,190,2020-07-14 22:00:00,2020-07-14,102,105,1,111,333
8033,3615,189,2020-07-13 22:00:00,2020-07-13,0,104,0,110,0
8033,3615,189,2020-07-12 22:00:00,2020-07-12,128,103,0,109,102
7905,3513,189,2020-07-11 22:00:00,2020-07-11,0,102,0,108,0
7905,3513,189,2020-07-10 22:00:00,2020-07-10,59,101,0,107,0
7846,3513,189,2020-07-09 22:00:00,2020-07-09,414,100,7,106,287
7432,3226,182,2020-07-08 22:00:00,2020-07-08,0,99,0,105,0
7432,3226,182,2020-07-07 22:00:00,2020-07-07,0,98,0,104,0
7432,3226,182,2020-07-06 22:00:00,2020-07-06,53,97,0,103,265
7379,2961,182,2020-07-05 22:00:00,2020-07-05,0,96,0,102,0
7379,2961,182,2020-07-04 22:00:00,2020-07-04,68,95,3,101,277
7311,2684,179,2020-07-03 22:00:00,2020-07-03,122,94,3,100,367
7189,2317,176,2020-07-02 22:00:00,2020-07-02,67,93,1,99,532
7122,1785,175,2020-07-01 22:00:00,2020-07-01,183,92,8,98,735
6939,1050,167,2020-06-30 22:00:00,2020-06-30,112,91,10,97,65
6827,985,157,2020-06-29 22:00:00,2020-06-29,137,90,4,96,48
6690,937,153,2020-06-28 22:00:00,2020-06-28,138,89,4,95,37
6552,900,149,2020-06-27 22:00:00,2020-06-27,0,88,0,94,0
6552,900,149,2020-06-26 22:00:00,2020-06-26,339,87,7,93,30
6213,870,142,2020-06-25 22:00:00,2020-06-25,186,86,7,92,9
6027,861,135,2020-06-24 22:00:00,2020-06-24,0,85,0,91,0
6027,861,135,2020-06-23 22:00:00,2020-06-23,103,84,0,90,5
5924,856,135,2020-06-22 22:00:00,2020-06-22,98,83,5,89,15
5826,841,130,2020-06-21 22:00:00,2020-06-21,154,82,5,88,34
5672,807,125,2020-06-20 22:00:00,2020-06-20,195,81,3,87,88
5477,719,122,2020-06-19 22:00:00,2020-06-19,194,80,5,86,34
5283,685,117,2020-06-18 22:00:00,2020-06-18,183,79,2,85,45
5100,640,115,2020-06-17 22:00:00,2020-06-17,263,78,3,84,27
4837,613,112,2020-06-16 22:00:00,2020-06-16,0,77,0,83,0
4837,613,112,2020-06-15 22:00:00,2020-06-15,113,76,6,82,18
4724,595,106,2020-06-14 22:00:00,2020-06-14,0,75,0,81,0
4724,595,106,2020-06-13 22:00:00,2020-06-13,209,74,8,80,28
4515,567,98,2020-06-12 22:00:00,2020-06-12,125,73,2,79,2
4390,565,96,2020-06-11 22:00:00,2020-06-11,0,72,0,78,0
4390,565,96,2020-06-10 22:00:00,2020-06-10,131,71,6,77,26
4259,539,90,2020-06-09 22:00:00,2020-06-09,153,70,2,76,2
4106,537,88,2020-06-08 22:00:00,2020-06-08,90,69,3,75,0
4016,537,85,2020-06-07 22:00:00,2020-06-07,138,68,3,74,0
3878,537,82,2020-06-06 22:00:00,2020-06-06,114,67,1,73,25
3764,512,81,2020-06-05 22:00:00,2020-06-05,120,66,3,72,17
3644,495,78,2020-06-04 22:00:00,2020-06-04,149,65,3,71,3
3495,492,75,2020-06-03 22:00:00,2020-06-03,169,64,3,70,10
3326,482,72,2020-06-02 22:00:00,2020-06-02,131,63,0,69,28
3195,454,72,2020-06-01 22:00:00,2020-06-01,125,62,0,68,6
3070,448,72,2020-05-31 22:00:00,2020-05-31,104,61,3,67,20
2966,428,69,2020-05-30 22:00:00,2020-05-30,133,60,0,66,28
2833,400,69,2020-05-29 22:00:00,2020-05-29,173,59,0,65,19
2660,381,69,2020-05-28 22:00:00,2020-05-28,114,58,1,64,16
2546,365,68,2020-05-27 22:00:00,2020-05-27,143,57,0,63,25
2403,340,68,2020-05-26 22:00:00,2020-05-26,262,56,5,62,23
2141,317,63,2020-05-25 22:00:00,2020-05-25,0,55,0,61,0
2141,317,63,2020-05-24 22:00:00,2020-05-24,116,54,0,60,5
2025,312,63,2020-05-23 22:00:00,2020-05-23,80,53,0,59,0
1945,312,63,2020-05-22 22:00:00,2020-05-22,110,52,2,58,9
1835,303,61,2020-05-21 22:00:00,2020-05-21,104,51,0,57,1
1731,302,61,2020-05-20 22:00:00,2020-05-20,193,50,0,56,30
1538,272,61,2020-05-19 22:00:00,2020-05-19,83,49,0,55,2
1455,270,61,2020-05-18 22:00:00,2020-05-18,0,48,0,54,0
1455,270,61,2020-05-17 22:00:00,2020-05-17,85,47,0,53,41
1370,229,61,2020-05-16 22:00:00,2020-05-16,72,46,11,52,17
1298,212,50,2020-05-15 22:00:00,2020-05-15,129,45,0,51,64
1169,148,50,2020-05-14 22:00:00,2020-05-14,67,44,6,50,2
