Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,New_recover
928,144,16,2020-04-08 18:00:00,2020-04-08,145,15,1,73
783,71,15,2020-04-07 22:00:00,2020-04-07,110,14,1,0
673,71,14,2020-04-06 22:00:00,2020-04-06,80,13,0,0
593,71,14,2020-04-05 22:00:00,2020-04-05,143,12,0,0
450,71,14,2020-04-04 21:00:00,2020-04-04,57,11,2,22
393,49,12,2020-04-03 21:00:00,2020-04-03,25,10,1,0
368,49,11,2020-04-02 21:00:00,2020-04-02,49,9,1,49
319,0,10,2020-04-01 21:00:00,2020-04-01,55,8,3,0
264,0,7,2020-03-31 21:00:00,2020-03-31,32,7,1,0
232,0,6,2020-03-30 21:00:00,2020-03-30,18,6,1,0
214,0,5,2020-03-29 21:00:00,2020-03-29,49,5,3,0
165,0,2,2020-03-28 21:00:00,2020-03-28,22,4,1,0
143,0,1,2020-03-27 21:10:00,2020-03-27,24,3,1,0
119,0,0,2020-03-26 22:20:00,2020-03-26,15,2,0,0
104,0,0,2020-03-25 23:20:00,2020-03-25,17,1,0,0
87,0,0,2020-03-24 21:20:00,2020-03-24,31,0,0,0
56,0,0,2020-03-23 21:40:00,2020-03-23,11,0,0,0
45,0,0,2020-03-22 21:00:00,2020-03-22,6,0,0,0
39,0,0,2020-03-21 21:00:00,2020-03-21,9,0,0,0
30,0,0,2020-03-20 21:20:00,2020-03-20,4,0,0,0
26,0,0,2020-03-19 21:30:00,2020-03-19,10,0,0,0
16,0,0,2020-03-18 22:00:00,2020-03-18,8,0,0,0
8,0,0,2020-03-17 21:00:00,2020-03-17,1,0,0,0
7,0,0,2020-03-16 21:00:00,2020-03-16,1,0,0,0
6,0,0,2020-03-15 21:00:00,2020-03-15,2,0,0,0
4,0,0,2020-03-14 21:00:00,2020-03-14,0,0,0,0
4,0,0,2020-03-13 21:00:00,2020-03-13,3,0,0,0
1,0,0,2020-03-12 21:00:00,2020-03-12,1,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0
