Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
4169,1815,26,2020-06-07 22:00:00,2020-06-07,46,61,0,32,108
4123,1707,26,2020-06-06 22:00:00,2020-06-06,69,60,0,31,22
4054,1685,26,2020-06-05 22:00:00,2020-06-05,119,59,0,30,49
3935,1636,26,2020-06-04 22:00:00,2020-06-04,156,58,1,29,29
3779,1607,25,2020-06-03 22:00:00,2020-06-03,210,57,1,28,86
3569,1521,24,2020-06-02 22:00:00,2020-06-02,215,56,0,27,17
3354,1504,24,2020-06-01 22:00:00,2020-06-01,160,55,2,26,218
3194,1286,22,2020-05-31 22:00:00,2020-05-31,280,54,2,25,45
2914,1241,20,2020-05-30 22:00:00,2020-05-30,0,53,0,24,0
2914,1241,20,2020-05-29 22:00:00,2020-05-29,217,52,2,23,56
2697,1185,18,2020-05-28 22:00:00,2020-05-28,229,51,4,22,106
2468,1079,14,2020-05-27 22:00:00,2020-05-27,0,50,0,21,0
2468,1079,14,2020-05-26 22:00:00,2020-05-26,198,49,4,20,15
2270,1064,10,2020-05-25 22:00:00,2020-05-25,0,48,0,19,0
2270,1064,10,2020-05-24 22:00:00,2020-05-24,0,47,0,18,0
2270,1064,10,2020-05-23 22:00:00,2020-05-23,223,46,0,17,9
2047,1055,10,2020-05-22 22:00:00,2020-05-22,219,45,1,16,3
1828,1052,9,2020-05-21 22:00:00,2020-05-21,210,44,2,15,19
1618,1033,7,2020-05-20 22:00:00,2020-05-20,100,43,0,14,15
1518,1018,7,2020-05-19 22:00:00,2020-05-19,117,42,3,13,46
1401,972,4,2020-05-18 22:00:00,2020-05-18,70,41,0,12,22
1331,950,4,2020-05-17 22:00:00,2020-05-17,22,40,0,11,15
1309,935,4,2020-05-16 22:00:00,2020-05-16,25,39,1,10,30
1284,905,3,2020-05-15 22:00:00,2020-05-15,16,38,0,9,5
1268,900,3,2020-05-14 22:00:00,2020-05-14,12,37,0,8,14
1256,886,3,2020-05-13 22:00:00,2020-05-13,29,36,0,7,14
1227,872,3,2020-05-12 22:00:00,2020-05-12,17,35,0,6,25
1210,847,3,2020-05-11 22:00:00,2020-05-11,21,34,0,5,13
1189,834,3,2020-05-10 22:00:00,2020-05-10,54,33,0,4,10
1135,824,3,2020-05-09 22:00:00,2020-05-09,2,32,0,3,25
1133,799,3,2020-05-08 22:00:00,2020-05-08,9,31,0,2,44
1124,755,3,2020-05-07 22:00:00,2020-05-07,4,30,1,1,10
1120,745,2,2020-05-06 22:00:00,2020-05-06,4,29,0,0,32
1116,713,2,2020-05-05 22:00:00,2020-05-05,4,28,0,0,27
1112,686,2,2020-05-04 22:00:00,2020-05-04,0,27,0,0,0
1112,686,2,2020-05-03 22:00:00,2020-05-03,0,26,0,0,0
1112,686,2,2020-05-02 22:00:00,2020-05-02,23,25,0,0,44
1089,642,2,2020-05-01 22:00:00,2020-05-01,12,24,0,0,43
1077,599,2,2020-04-30 22:00:00,2020-04-30,5,23,0,0,101
1072,498,2,2020-04-29 22:00:00,2020-04-29,37,22,0,0,21
1035,477,2,2020-04-28 22:00:00,2020-04-28,12,21,0,0,66
1023,411,2,2020-04-27 22:00:00,2020-04-27,15,20,0,0,38
1008,373,2,2020-04-26 22:00:00,2020-04-26,9,19,0,0,43
999,330,2,2020-04-25 22:00:00,2020-04-25,13,18,0,0,78
986,252,2,2020-04-24 22:00:00,2020-04-24,12,17,0,0,69
974,183,2,2020-04-23 22:00:00,2020-04-23,29,16,0,0,71
945,112,2,2020-04-22 22:00:00,2020-04-22,99,15,0,0,10
846,102,2,2020-04-21 22:00:00,2020-04-21,0,14,0,0,0
846,102,2,2020-04-20 22:00:00,2020-04-20,114,13,0,0,26
732,76,2,2020-04-19 22:00:00,2020-04-19,0,12,0,0,0
732,76,2,2020-04-18 22:00:00,2020-04-18,141,11,0,0,3
591,73,2,2020-04-17 22:00:00,2020-04-17,156,10,0,0,2
435,71,2,2020-04-16 22:00:00,2020-04-16,72,9,0,0,18
363,53,2,2020-04-15 22:00:00,2020-04-15,65,8,0,0,12
298,41,2,2020-04-14 22:00:00,2020-04-14,84,7,0,0,5
214,36,2,2020-04-13 22:00:00,2020-04-13,27,6,0,0,0
187,36,2,2020-04-12 22:00:00,2020-04-12,37,5,1,0,0
150,36,1,2020-04-11 22:00:00,2020-04-11,10,4,0,0,8
140,28,1,2020-04-10 22:00:00,2020-04-10,5,3,1,0,3
135,25,0,2020-04-09 22:00:00,2020-04-09,0,2,0,0,0
135,25,0,2020-04-08 22:00:00,2020-04-08,45,1,0,0,16
90,9,0,2020-04-07 22:00:00,2020-04-07,31,0,0,0,0
59,9,0,2020-04-06 22:00:00,2020-04-06,9,0,0,0,1
50,8,0,2020-04-05 22:00:00,2020-04-05,1,0,0,0,0
49,8,0,2020-04-04 21:00:00,2020-04-04,9,0,0,0,8
40,0,0,2020-04-03 21:00:00,2020-04-03,7,0,0,0,0
33,0,0,2020-04-02 21:00:00,2020-04-02,3,0,0,0,0
30,0,0,2020-04-01 21:00:00,2020-04-01,12,0,0,0,0
18,0,0,2020-03-31 21:00:00,2020-03-31,0,0,0,0,0
18,0,0,2020-03-30 21:00:00,2020-03-30,4,0,0,0,0
14,0,0,2020-03-29 21:00:00,2020-03-29,2,0,0,0,0
12,0,0,2020-03-28 21:00:00,2020-03-28,1,0,0,0,0
11,0,0,2020-03-27 21:10:00,2020-03-27,0,0,0,0,0
11,0,0,2020-03-26 22:20:00,2020-03-26,0,0,0,0,0
11,0,0,2020-03-25 23:20:00,2020-03-25,8,0,0,0,0
3,0,0,2020-03-24 21:20:00,2020-03-24,2,0,0,0,0
1,0,0,2020-03-23 21:40:00,2020-03-23,0,0,0,0,0
1,0,0,2020-03-22 21:00:00,2020-03-22,0,0,0,0,0
1,0,0,2020-03-21 21:00:00,2020-03-21,0,0,0,0,0
1,0,0,2020-03-20 21:20:00,2020-03-20,0,0,0,0,0
1,0,0,2020-03-19 21:30:00,2020-03-19,0,0,0,0,0
1,0,0,2020-03-18 22:00:00,2020-03-18,1,0,0,0,0
0,0,0,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
