Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
39994,19823,3394,2020-06-02 22:00:00,2020-06-02,896,77,36,76,231
39098,19592,3358,2020-06-01 22:00:00,2020-06-01,527,76,24,75,402
38571,19190,3334,2020-05-31 22:00:00,2020-05-31,0,75,0,74,0
38571,19190,3334,2020-05-30 22:00:00,2020-05-30,100,74,21,73,765
38471,18425,3313,2020-05-29 22:00:00,2020-05-29,368,73,38,72,0
38103,18425,3275,2020-05-28 22:00:00,2020-05-28,748,72,72,71,422
37355,18003,3203,2020-05-27 22:00:00,2020-05-27,0,71,0,70,0
37355,18003,3203,2020-05-26 22:00:00,2020-05-26,599,70,95,69,14443
36756,3560,3108,2020-05-25 22:00:00,2020-05-25,498,69,12,68,3
36258,3557,3096,2020-05-24 22:00:00,2020-05-24,430,68,40,67,0
35828,3557,3056,2020-05-23 22:00:00,2020-05-23,522,67,117,66,0
35306,3557,2939,2020-05-22 22:00:00,2020-05-22,452,66,51,65,0
34854,3557,2888,2020-05-21 22:00:00,2020-05-21,703,65,49,64,100
34151,3457,2839,2020-05-20 22:00:00,2020-05-20,569,64,40,63,24
33582,3433,2799,2020-05-19 22:00:00,2020-05-19,400,63,63,62,0
33182,3433,2736,2020-05-18 22:00:00,2020-05-18,419,62,48,61,0
32763,3433,2688,2020-05-17 22:00:00,2020-05-17,1296,61,94,60,0
31467,3433,2594,2020-05-16 22:00:00,2020-05-16,965,60,256,59,0
30502,3433,2338,2020-05-15 22:00:00,2020-05-15,16,59,4,58,0
30486,3433,2334,2020-05-14 22:00:00,2020-05-14,67,58,7,57,0
30419,3433,2327,2020-05-13 22:00:00,2020-05-13,910,57,182,56,0
29509,3433,2145,2020-05-12 22:00:00,2020-05-12,-50,56,18,55,0
29559,3433,2127,2020-05-11 22:00:00,2020-05-11,488,55,410,54,0
29071,3433,1717,2020-05-10 22:00:00,2020-05-10,253,54,13,53,0
28818,3433,1704,2020-05-09 22:00:00,2020-05-09,-1480,53,50,52,0
30298,3433,1654,2020-05-08 22:00:00,2020-05-08,878,52,36,51,0
29420,3433,1618,2020-05-07 22:00:00,2020-05-07,-2461,51,49,50,0
31881,3433,1569,2020-05-06 22:00:00,2020-05-06,0,50,0,49,0
31881,3433,1569,2020-05-05 22:00:00,2020-05-05,2343,49,5,48,133
29538,3300,1564,2020-05-04 22:00:00,2020-05-04,2074,48,193,47,1168
27464,2132,1371,2020-05-03 22:00:00,2020-05-03,1128,47,308,46,219
26336,1913,1063,2020-05-02 22:00:00,2020-05-02,1402,46,163,45,355
24934,1558,900,2020-05-01 22:00:00,2020-05-01,259,45,17,44,1
24675,1557,883,2020-04-30 22:00:00,2020-04-30,417,44,12,43,0
24258,1557,871,2020-04-29 22:00:00,2020-04-29,1018,43,208,42,0
23240,1557,663,2020-04-28 22:00:00,2020-04-28,521,42,87,41,191
22719,1366,576,2020-04-27 22:00:00,2020-04-27,0,41,0,40,0
22719,1366,576,2020-04-26 22:00:00,2020-04-26,0,40,0,39,0
22719,1366,576,2020-04-25 22:00:00,2020-04-25,11536,39,16,38,38
11183,1328,560,2020-04-24 22:00:00,2020-04-24,333,38,23,37,66
10850,1262,537,2020-04-23 22:00:00,2020-04-23,452,37,17,36,55
10398,1207,520,2020-04-22 22:00:00,2020-04-22,270,36,13,35,57
10128,1150,507,2020-04-21 22:00:00,2020-04-21,660,35,33,34,89
9468,1061,474,2020-04-20 22:00:00,2020-04-20,446,34,18,33,53
9022,1008,456,2020-04-19 22:00:00,2020-04-19,572,33,35,32,170
8450,838,421,2020-04-18 22:00:00,2020-04-18,225,32,18,31,0
8225,838,403,2020-04-17 22:00:00,2020-04-17,367,31,15,30,58
7858,780,388,2020-04-16 22:00:00,2020-04-16,255,30,19,29,84
7603,696,369,2020-04-15 22:00:00,2020-04-15,74,29,14,28,99
7529,597,355,2020-04-14 22:00:00,2020-04-14,63,28,22,27,96
7466,501,333,2020-04-13 22:00:00,2020-04-13,209,27,18,26,90
7257,411,315,2020-04-12 22:00:00,2020-04-12,96,26,18,25,43
7161,368,297,2020-04-11 22:00:00,2020-04-11,2196,25,25,24,29
4965,339,272,2020-04-10 22:00:00,2020-04-10,515,24,30,23,199
4450,140,242,2020-04-09 22:00:00,2020-04-09,455,23,22,22,0
3995,140,220,2020-04-08 22:00:00,2020-04-08,248,22,29,21,40
3747,100,191,2020-04-07 22:00:00,2020-04-07,101,21,11,20,0
3646,100,180,2020-04-06 22:00:00,2020-04-06,181,20,8,19,0
3465,100,172,2020-04-05 22:00:00,2020-04-05,97,19,27,18,35
3368,65,145,2020-04-04 21:00:00,2020-04-04,205,18,25,17,0
3163,65,120,2020-04-03 21:00:00,2020-04-03,405,17,22,16,7
2758,58,98,2020-04-02 21:00:00,2020-04-02,456,16,19,15,0
2302,58,79,2020-04-01 21:00:00,2020-04-01,336,15,17,14,4
1966,54,62,2020-03-31 21:00:00,2020-03-31,42,14,4,13,51
1924,3,58,2020-03-30 21:00:00,2020-03-30,101,13,10,12,0
1823,3,48,2020-03-29 21:00:00,2020-03-29,196,12,7,11,0
1627,3,41,2020-03-28 21:00:00,2020-03-28,224,11,7,10,0
1403,3,34,2020-03-27 21:10:00,2020-03-27,192,10,5,9,0
1211,3,29,2020-03-26 22:20:00,2020-03-26,129,9,2,8,0
1082,3,27,2020-03-25 23:20:00,2020-03-25,101,8,9,7,0
981,3,18,2020-03-24 21:20:00,2020-03-24,192,7,4,6,0
789,3,14,2020-03-23 21:40:00,2020-03-23,257,6,7,5,0
532,3,7,2020-03-22 21:00:00,2020-03-22,106,5,0,4,0
426,3,7,2020-03-21 21:00:00,2020-03-21,166,4,3,3,2
260,1,4,2020-03-20 21:20:00,2020-03-20,92,3,1,2,0
168,1,3,2020-03-19 21:30:00,2020-03-19,57,2,1,1,1
111,0,2,2020-03-18 22:00:00,2020-03-18,53,1,0,0,0
58,0,2,2020-03-17 21:00:00,2020-03-17,21,0,0,0,0
37,0,2,2020-03-16 21:00:00,2020-03-16,9,0,0,0,0
28,0,2,2020-03-15 21:00:00,2020-03-15,2,0,1,0,0
26,0,1,2020-03-14 21:00:00,2020-03-14,7,0,1,0,0
19,0,0,2020-03-13 21:00:00,2020-03-13,2,0,0,0,0
17,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
17,0,0,2020-03-11 21:00:00,2020-03-11,2,0,0,0,0
15,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
15,0,0,2020-03-09 21:00:00,2020-03-09,1,0,0,0,0
14,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
14,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0,0,0
13,0,0,2020-03-06 21:00:00,2020-03-06,3,0,0,0,0
10,0,0,2020-03-05 21:00:00,2020-03-05,3,0,0,0,0
7,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
7,0,0,2020-03-03 21:00:00,2020-03-03,1,0,0,0,0
6,0,0,2020-03-02 21:00:00,2020-03-02,5,0,0,0,0
1,0,0,2020-03-01 21:00:00,2020-03-01,1,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
