Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
4092,1075,294,2020-04-25 09:00:00,2020-04-25,201,42,7,40,71
3891,1004,287,2020-04-24 22:00:00,2020-04-24,232,41,11,39,69
3659,935,276,2020-04-23 22:00:00,2020-04-23,169,40,12,38,65
3490,870,264,2020-04-22 22:00:00,2020-04-22,157,39,14,37,49
3333,821,250,2020-04-21 22:00:00,2020-04-21,189,38,11,36,89
3144,732,239,2020-04-20 22:00:00,2020-04-20,112,37,15,35,31
3032,701,224,2020-04-19 22:00:00,2020-04-19,188,36,19,34,55
2844,646,205,2020-04-18 22:00:00,2020-04-18,171,35,9,33,50
2673,596,196,2020-04-17 22:00:00,2020-04-17,168,34,13,32,7
2505,589,183,2020-04-16 22:00:00,2020-04-16,155,33,5,31,0
2350,589,178,2020-04-15 22:00:00,2020-04-15,160,32,14,30,0
2190,589,164,2020-04-14 22:00:00,2020-04-14,125,31,5,29,0
2065,589,159,2020-04-13 22:00:00,2020-04-13,126,30,13,28,163
1939,426,146,2020-04-12 22:00:00,2020-04-12,145,29,11,27,42
1794,384,135,2020-04-11 22:00:00,2020-04-11,95,28,17,26,36
1699,348,118,2020-04-10 22:00:00,2020-04-10,139,27,15,25,43
1560,305,103,2020-04-09 22:00:00,2020-04-09,110,26,9,24,29
1450,276,94,2020-04-08 22:00:00,2020-04-08,128,25,9,23,17
1322,259,85,2020-04-07 22:00:00,2020-04-07,149,24,7,22,12
1173,247,78,2020-04-06 22:00:00,2020-04-06,103,23,7,21,6
1070,241,71,2020-04-05 22:00:00,2020-04-05,85,22,5,20,25
985,216,66,2020-04-04 21:00:00,2020-04-04,120,21,8,19,15
865,201,58,2020-04-03 21:00:00,2020-04-03,86,20,6,18,22
779,179,52,2020-04-02 21:00:00,2020-04-02,69,19,6,17,22
710,157,46,2020-04-01 21:00:00,2020-04-01,54,18,5,16,7
656,150,41,2020-03-31 21:00:00,2020-03-31,47,17,1,15,18
609,132,40,2020-03-30 21:00:00,2020-03-30,33,16,4,14,11
576,121,36,2020-03-29 21:00:00,2020-03-29,40,15,6,13,5
536,116,30,2020-03-28 21:00:00,2020-03-28,41,14,6,12,14
495,102,24,2020-03-27 21:10:00,2020-03-27,39,13,3,11,7
456,95,21,2020-03-26 22:20:00,2020-03-26,54,12,1,10,15
402,80,20,2020-03-25 23:20:00,2020-03-25,36,11,1,9,12
366,68,19,2020-03-24 21:20:00,2020-03-24,39,10,5,8,12
327,56,14,2020-03-23 21:40:00,2020-03-23,33,9,4,7,14
294,42,10,2020-03-22 21:00:00,2020-03-22,9,8,2,6,0
285,42,8,2020-03-21 21:00:00,2020-03-21,29,7,1,5,0
