Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
424,124,10,2020-05-01 22:00:00,2020-05-01,29,23,1,28,6
395,118,9,2020-04-30 22:00:00,2020-04-30,18,22,0,27,12
377,106,9,2020-04-29 22:00:00,2020-04-29,32,21,1,26,9
345,97,8,2020-04-28 22:00:00,2020-04-28,22,20,0,25,8
323,89,8,2020-04-27 22:00:00,2020-04-27,25,19,0,24,6
298,83,8,2020-04-26 22:00:00,2020-04-26,24,18,0,23,8
274,75,8,2020-04-25 22:00:00,2020-04-25,13,17,0,22,3
261,72,8,2020-04-24 22:00:00,2020-04-24,11,16,0,21,5
250,67,8,2020-04-23 22:00:00,2020-04-23,13,15,1,20,4
237,63,7,2020-04-22 22:00:00,2020-04-22,12,14,0,19,15
225,48,7,2020-04-21 22:00:00,2020-04-21,7,13,0,18,2
218,46,7,2020-04-20 22:00:00,2020-04-20,17,12,0,17,2
201,44,7,2020-04-19 22:00:00,2020-04-19,11,11,0,16,1
190,43,7,2020-04-18 22:00:00,2020-04-18,13,10,0,15,10
177,33,7,2020-04-17 22:00:00,2020-04-17,13,9,1,14,0
164,33,6,2020-04-16 22:00:00,2020-04-16,5,8,0,13,3
159,30,6,2020-04-15 22:00:00,2020-04-15,10,7,0,12,5
149,25,6,2020-04-14 22:00:00,2020-04-14,12,6,0,11,3
137,22,6,2020-04-13 22:00:00,2020-04-13,12,5,0,10,1
125,21,6,2020-04-12 22:00:00,2020-04-12,7,4,0,9,2
118,19,6,2020-04-11 22:00:00,2020-04-11,1,3,0,8,4
117,15,6,2020-04-10 22:00:00,2020-04-10,14,2,1,7,5
103,10,5,2020-04-09 22:00:00,2020-04-09,10,1,0,6,1
93,9,5,2020-04-08 22:00:00,2020-04-08,15,0,1,5,4
78,5,4,2020-04-07 22:00:00,2020-04-07,9,0,1,4,3
69,2,3,2020-04-06 22:00:00,2020-04-06,7,0,0,3,0
62,2,3,2020-04-05 22:00:00,2020-04-05,6,0,0,2,2
