Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
1,0,2020-03-06,1,0,0,0,0,0
1,0,2020-03-07,0,0,0,0,0,0
1,0,2020-03-08,0,0,0,0,0,0
1,0,2020-03-09,0,0,0,0,0,0
1,0,2020-03-10,0,0,0,0,0,0
1,0,2020-03-11,0,0,0,0,0,0
1,0,2020-03-12,0,0,0,0,0,0
1,0,2020-03-13,0,0,0,0,0,0
1,0,2020-03-14,0,0,0,0,0,0
1,0,2020-03-15,0,0,0,0,0,0
1,0,2020-03-16,0,0,0,0,0,0
1,0,2020-03-17,0,0,0,0,0,0
9,0,2020-03-18,8,0,0,0,0,0
11,0,2020-03-19,2,0,0,0,0,0
13,0,2020-03-20,2,0,0,0,0,0
26,0,2020-03-21,13,0,0,0,0,0
26,0,2020-03-22,0,0,0,0,0,0
29,0,2020-03-23,3,0,0,0,0,0
33,0,2020-03-24,4,0,0,0,0,0
39,0,2020-03-25,6,0,0,0,0,0
39,0,2020-03-26,0,0,0,0,0,0
47,0,2020-03-27,8,0,0,0,0,0
53,0,2020-03-28,6,0,0,0,0,0
60,0,2020-03-29,7,0,0,0,0,0
72,0,2020-03-30,12,0,0,0,0,0
84,0,2020-03-31,12,0,0,0,0,0
96,0,2020-04-01,12,0,0,0,0,0
120,1,2020-04-02,24,1,1,0,0,0
139,4,2020-04-03,19,2,3,1,0,0
153,5,2020-04-04,14,3,1,2,0,0
166,6,2020-04-05,13,4,1,3,0,0
194,6,2020-04-06,28,5,0,4,0,0
209,6,2020-04-07,15,6,0,5,0,0
227,6,2020-04-08,18,7,0,6,0,0
273,6,2020-04-09,46,8,0,7,0,0
300,7,2020-04-10,27,9,1,8,0,0
349,9,2020-04-11,49,10,2,9,0,0
383,9,2020-04-12,34,11,0,10,0,0
430,14,2020-04-13,47,12,5,11,0,0
463,17,2020-04-14,33,13,3,12,0,0
557,18,2020-04-15,94,14,1,13,0,0
754,22,2020-04-16,197,15,4,14,0,0
856,25,2020-04-17,102,16,3,15,0,0
952,28,2020-04-18,96,17,3,16,0,0
1099,30,2020-04-19,147,18,2,17,0,0
1168,33,2020-04-20,69,19,3,18,0,0
1212,34,2020-04-21,44,20,1,19,0,0
1313,34,2020-04-22,101,21,0,20,0,0
1363,42,2020-04-23,50,22,8,21,0,0
1381,42,2020-04-24,18,23,0,22,0,0
1595,47,2020-04-25,214,24,5,23,0,0
1703,51,2020-04-26,108,25,4,24,0,0
1796,57,2020-04-27,93,26,6,25,0,0
1874,64,2020-04-28,78,27,7,26,0,0
2107,76,2020-04-29,233,28,12,27,0,0
2465,83,2020-04-30,358,29,7,28,0,0
2662,96,2020-05-01,197,30,13,29,0,0
2948,102,2020-05-02,286,31,6,30,0,0
3086,114,2020-05-03,138,32,12,31,0,0
3162,116,2020-05-04,76,33,2,32,0,0
3402,133,2020-05-05,240,34,17,33,0,0
3568,145,2020-05-06,166,35,12,34,0,0
3838,155,2020-05-07,270,36,10,35,0,0
4242,165,2020-05-08,404,37,10,36,0,0
4412,172,2020-05-09,170,38,7,37,0,0
4599,181,2020-05-10,187,39,9,38,0,0
4819,196,2020-05-11,220,40,15,39,0,0
5087,212,2020-05-12,268,41,16,40,0,0
5401,233,2020-05-13,314,42,21,41,0,0
5813,249,2020-05-14,412,43,16,42,0,0
5813,260,2020-05-15,0,44,11,43,0,0
6595,271,2020-05-16,782,45,11,44,0,0
6744,285,2020-05-17,149,46,14,45,0,0
7157,302,2020-05-18,413,47,17,46,0,0
7693,325,2020-05-19,536,48,23,47,0,0
7693,325,2020-05-20,0,49,0,48,0,0
8878,363,2020-05-21,1185,50,38,49,0,0
9520,397,2020-05-22,642,51,34,50,0,0
9919,397,2020-05-23,399,52,0,51,0,0
10007,447,2020-05-24,88,53,50,52,0,0
10365,465,2020-05-25,358,54,18,53,0,0
10899,487,2020-05-26,534,55,22,54,0,0
11484,511,2020-05-27,585,56,24,55,0,0
12375,538,2020-05-28,891,57,27,56,0,0
13161,569,2020-05-29,786,58,31,57,0,0
13437,583,2020-05-30,276,59,14,58,0,0
13690,604,2020-05-31,253,60,21,59,0,0
14285,628,2020-06-01,595,61,24,60,0,0
15151,664,2020-06-02,866,62,36,61,0,0
16121,698,2020-06-03,970,63,34,62,0,0
16894,737,2020-06-04,773,64,39,63,0,0
18480,790,2020-06-05,1586,65,53,64,0,0
18950,806,2020-06-06,470,66,16,65,0,0
19619,832,2020-06-07,669,67,26,66,0,0
20659,871,2020-06-08,1040,68,39,67,0,0
21964,904,2020-06-09,1305,69,33,68,0,0
23391,937,2020-06-10,1427,70,33,69,0,0
24428,966,2020-06-11,1037,71,29,70,0,0
25502,999,2020-06-12,1074,72,33,71,0,0
26011,1028,2020-06-13,509,73,29,72,0,0
26469,1055,2020-06-14,458,74,27,73,0,0
27652,1087,2020-06-15,1183,75,32,74,0,0
29030,1132,2020-06-16,1378,76,45,75,0,0
30508,1179,2020-06-17,1478,77,47,76,0,0
31772,1223,2020-06-18,1264,78,44,77,0,0
33232,1267,2020-06-19,1460,79,44,78,0,0
34238,1297,2020-06-20,1006,80,30,79,0,0
34866,1328,2020-06-21,628,81,31,80,0,0
36147,1387,2020-06-22,1281,82,59,81,0,0
37225,1432,2020-06-23,1078,83,45,82,0,0
38483,1463,2020-06-24,1258,84,31,83,0,0
40406,1490,2020-06-25,1923,85,27,84,0,0
41652,1507,2020-06-26,1246,86,17,85,0,0
43099,1542,2020-06-27,1447,87,35,86,0,0
43683,1568,2020-06-28,584,88,26,87,0,0
45097,1621,2020-06-29,1414,89,53,88,0,0
46893,1648,2020-06-30,1796,90,27,89,0,0
48821,1693,2020-07-01,1928,91,45,90,0,0
50242,1728,2020-07-02,1421,92,35,91,0,0
51689,1758,2020-07-03,1447,93,30,92,0,0
52824,1781,2020-07-04,1135,94,23,93,0,0
53393,1804,2020-07-05,569,95,23,94,0,0
54547,1838,2020-07-06,1154,96,34,95,0,0
56703,1880,2020-07-07,2156,97,42,96,0,0
58537,1911,2020-07-08,1834,98,31,97,0,0
60009,1930,2020-07-09,1472,99,19,98,0,0
61361,1967,2020-07-10,1352,100,37,99,0,0
62393,1995,2020-07-11,1032,101,28,100,0,0
62873,2010,2020-07-12,480,102,15,101,0,0
63881,2040,2020-07-13,1008,103,30,102,0,0
65213,2082,2020-07-14,1332,104,42,103,0,0
66352,2097,2020-07-15,1139,105,15,104,0,0
68118,2136,2020-07-16,1766,106,39,105,0,0
69463,2174,2020-07-17,1345,107,38,106,0,0
70131,2202,2020-07-18,668,108,28,107,0,0
70609,2222,2020-07-19,478,109,20,108,0,0
71703,2256,2020-07-20,1094,110,34,109,0,0
72605,2280,2020-07-21,902,111,24,110,0,0
73755,2308,2020-07-22,1150,112,28,111,0,0
73755,2308,2020-07-23,0,113,0,112,0,0
