Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
2838,1253,45,2020-08-04 22:00:00,2020-08-04,63,96,2,64,39
2775,1214,43,2020-08-03 22:00:00,2020-08-03,69,95,0,63,0
2706,1214,43,2020-08-02 22:00:00,2020-08-02,58,94,2,62,0
2648,1214,41,2020-08-01 22:00:00,2020-08-01,71,93,1,61,80
2577,1134,40,2020-07-31 22:00:00,2020-07-31,26,92,0,60,64
2551,1070,40,2020-07-30 22:00:00,2020-07-30,147,91,1,59,45
2404,1025,39,2020-07-29 22:00:00,2020-07-29,88,90,5,58,0
2316,1025,34,2020-07-28 22:00:00,2020-07-28,109,89,2,57,39
2207,986,32,2020-07-27 22:00:00,2020-07-27,65,88,4,56,46
2142,940,28,2020-07-26 22:00:00,2020-07-26,69,87,0,55,11
2073,929,28,2020-07-25 22:00:00,2020-07-25,52,86,0,54,47
2021,882,28,2020-07-24 22:00:00,2020-07-24,83,85,3,53,6
1938,876,25,2020-07-23 22:00:00,2020-07-23,44,84,1,52,21
1894,855,24,2020-07-22 22:00:00,2020-07-22,68,83,1,51,5
1826,850,23,2020-07-21 22:00:00,2020-07-21,33,82,2,50,28
1793,822,21,2020-07-20 22:00:00,2020-07-20,64,81,0,49,34
1729,788,21,2020-07-19 22:00:00,2020-07-19,110,80,0,48,19
1619,769,21,2020-07-18 22:00:00,2020-07-18,67,79,0,47,33
1552,736,21,2020-07-17 22:00:00,2020-07-17,63,78,1,46,12
1489,724,20,2020-07-16 22:00:00,2020-07-16,55,77,0,45,29
1434,695,20,2020-07-15 22:00:00,2020-07-15,45,76,0,44,7
1389,688,20,2020-07-14 22:00:00,2020-07-14,38,75,0,43,20
1351,668,20,2020-07-13 22:00:00,2020-07-13,40,74,2,42,12
1311,656,18,2020-07-12 22:00:00,2020-07-12,54,73,0,41,23
1257,633,18,2020-07-11 22:00:00,2020-07-11,44,72,1,40,24
1213,609,17,2020-07-10 22:00:00,2020-07-10,75,71,3,39,21
1138,588,14,2020-07-09 22:00:00,2020-07-09,82,70,0,38,18
1056,570,14,2020-07-08 22:00:00,2020-07-08,45,69,1,37,6
1011,564,13,2020-07-07 22:00:00,2020-07-07,23,68,0,36,17
988,547,13,2020-07-06 22:00:00,2020-07-06,34,67,0,35,12
954,535,13,2020-07-05 22:00:00,2020-07-05,45,66,0,34,20
909,515,13,2020-07-04 22:00:00,2020-07-04,36,65,2,33,63
873,452,11,2020-07-03 22:00:00,2020-07-03,33,64,0,32,34
840,418,11,2020-07-02 22:00:00,2020-07-02,28,63,0,31,10
812,408,11,2020-07-01 22:00:00,2020-07-01,17,62,0,30,28
795,380,11,2020-06-30 22:00:00,2020-06-30,14,61,0,29,8
781,372,11,2020-06-29 22:00:00,2020-06-29,36,60,3,28,2
745,370,8,2020-06-28 22:00:00,2020-06-28,17,59,0,27,3
728,367,8,2020-06-27 22:00:00,2020-06-27,22,58,0,26,20
706,347,8,2020-06-26 22:00:00,2020-06-26,16,57,1,25,16
690,331,7,2020-06-25 22:00:00,2020-06-25,16,56,0,24,12
674,319,7,2020-06-24 22:00:00,2020-06-24,31,55,1,23,28
643,291,6,2020-06-23 22:00:00,2020-06-23,8,54,1,22,6
635,285,5,2020-06-22 22:00:00,2020-06-22,8,53,0,21,0
627,285,5,2020-06-21 22:00:00,2020-06-21,4,52,1,20,9
623,276,4,2020-06-20 22:00:00,2020-06-20,37,51,0,19,9
586,267,4,2020-06-19 22:00:00,2020-06-19,23,50,0,18,5
563,262,4,2020-06-18 22:00:00,2020-06-18,43,49,0,17,3
520,259,4,2020-06-17 22:00:00,2020-06-17,14,48,0,16,10
506,249,4,2020-06-16 22:00:00,2020-06-16,16,47,0,15,0
490,249,4,2020-06-15 22:00:00,2020-06-15,4,46,1,14,2
486,247,3,2020-06-14 22:00:00,2020-06-14,14,45,0,13,1
472,246,3,2020-06-13 22:00:00,2020-06-13,23,44,0,12,8
449,238,3,2020-06-12 22:00:00,2020-06-12,51,43,0,11,2
398,236,3,2020-06-11 22:00:00,2020-06-11,27,42,0,10,4
371,232,3,2020-06-10 22:00:00,2020-06-10,31,41,0,9,3
340,229,3,2020-06-09 22:00:00,2020-06-09,7,40,0,8,4
333,225,3,2020-06-08 22:00:00,2020-06-08,11,39,0,7,1
322,224,3,2020-06-07 22:00:00,2020-06-07,17,38,0,6,3
305,221,3,2020-06-06 22:00:00,2020-06-06,5,37,0,5,20
300,201,3,2020-06-05 22:00:00,2020-06-05,5,36,0,4,0
295,201,3,2020-06-04 22:00:00,2020-06-04,1,35,0,3,3
294,198,3,2020-06-03 22:00:00,2020-06-03,1,34,0,2,4
293,194,3,2020-06-02 22:00:00,2020-06-02,8,33,1,1,5
285,189,2,2020-06-01 22:00:00,2020-06-01,2,32,0,0,21
283,168,2,2020-05-31 22:00:00,2020-05-31,4,31,0,0,0
279,168,2,2020-05-30 22:00:00,2020-05-30,0,30,0,0,0
279,168,2,2020-05-29 22:00:00,2020-05-29,7,29,0,0,0
272,168,2,2020-05-28 22:00:00,2020-05-28,11,28,0,0,4
261,164,2,2020-05-27 22:00:00,2020-05-27,5,27,0,0,6
256,158,2,2020-05-26 22:00:00,2020-05-26,6,26,0,0,2
250,156,2,2020-05-25 22:00:00,2020-05-25,12,25,0,0,37
238,119,2,2020-05-24 22:00:00,2020-05-24,13,24,0,0,0
225,119,2,2020-05-23 22:00:00,2020-05-23,5,23,0,0,7
220,112,2,2020-05-22 22:00:00,2020-05-22,3,22,0,0,15
217,97,2,2020-05-21 22:00:00,2020-05-21,9,21,0,0,10
208,87,2,2020-05-20 22:00:00,2020-05-20,3,20,0,0,9
