Confirmed,DayElapsed_death,Deaths,New,New_death,New_recover,Recovered,Date_last_updated_AEDT,date_day,DayElapsed
948480,54,84455,34411,3810,13755,253020,2020-04-15 22:00:00,2020-04-15,53
914069,53,80645,26009,3183,10787,239265,2020-04-14 22:00:00,2020-04-14,52
888060,52,77462,27593,3127,14045,228478,2020-04-13 22:00:00,2020-04-13,51
860467,51,74335,32421,3596,13163,214433,2020-04-12 22:00:00,2020-04-12,50
828046,50,70739,40642,3927,11153,201270,2020-04-11 22:00:00,2020-04-11,49
787404,49,66812,34408,4735,16335,190117,2020-04-10 22:00:00,2020-04-10,48
752996,48,62077,31386,3540,21229,173782,2020-04-09 22:00:00,2020-04-09,47
721610,47,58537,38950,4895,10748,152553,2020-04-08 22:00:00,2020-04-08,46
682660,46,53642,30200,3729,14545,141805,2020-04-07 22:00:00,2020-04-07,45
652460,45,49913,28875,2996,8162,127260,2020-04-06 22:00:00,2020-04-06,44
623585,44,46917,36837,3904,11283,119098,2020-04-05 22:00:00,2020-04-05,43
586748,43,43013,54455,4136,10691,107815,2020-04-04 21:00:00,2020-04-04,42
532293,42,38877,35215,4374,11969,97124,2020-04-03 21:00:00,2020-04-03,41
497078,41,34503,37259,3482,13328,85155,2020-04-02 21:00:00,2020-04-02,40
459819,40,31021,35329,3275,10376,71827,2020-04-01 21:00:00,2020-04-01,39
424490,39,27746,31876,2873,9952,61451,2020-03-31 21:00:00,2020-03-31,38
392614,38,24873,28072,2512,5856,51499,2020-03-30 21:00:00,2020-03-30,37
364542,37,22361,33803,2703,6389,45643,2020-03-29 21:00:00,2020-03-29,36
330739,36,19658,41676,3157,8585,39254,2020-03-28 21:00:00,2020-03-28,35
289063,35,16501,28620,1795,5326,30669,2020-03-27 21:10:00,2020-03-27,34
260443,34,14706,29715,1852,3590,25343,2020-03-26 22:20:00,2020-03-26,33
230728,33,12854,28250,2075,6797,21753,2020-03-25 23:20:00,2020-03-25,32
202478,32,10779,24897,1510,1225,14956,2020-03-24 21:20:00,2020-03-24,31
177581,31,9269,25851,1769,3013,13731,2020-03-23 21:40:00,2020-03-23,30
151730,30,7500,16210,1114,1159,10718,2020-03-22 21:00:00,2020-03-22,29
135520,29,6386,21218,1177,1658,9559,2020-03-21 21:00:00,2020-03-21,28
114302,28,5209,20266,1005,1826,7901,2020-03-20 21:20:00,2020-03-20,27
94036,27,4204,13533,695,1177,6075,2020-03-19 21:30:00,2020-03-19,26
80503,26,3509,13520,689,1392,4898,2020-03-18 22:00:00,2020-03-18,25
66983,25,2820,9617,468,499,3506,2020-03-17 21:00:00,2020-03-17,24
57366,24,2352,10211,537,366,3007,2020-03-16 21:00:00,2020-03-16,23
47155,23,1815,8299,272,888,2641,2020-03-15 21:00:00,2020-03-15,22
38856,22,1543,7841,335,219,1753,2020-03-14 21:00:00,2020-03-14,21
31015,21,1208,7151,246,222,1534,2020-03-13 21:00:00,2020-03-13,20
23864,20,962,5038,244,100,1312,2020-03-12 21:00:00,2020-03-12,19
18826,19,718,3184,178,388,1212,2020-03-11 21:00:00,2020-03-11,18
15642,18,540,2930,129,102,824,2020-03-10 21:00:00,2020-03-10,17
12712,17,411,2882,147,37,722,2020-03-09 21:00:00,2020-03-09,16
9830,16,264,2193,45,91,685,2020-03-08 21:00:00,2020-03-08,15
7637,15,219,1602,58,119,594,2020-03-07 21:00:00,2020-03-07,14
6035,14,161,1495,46,151,475,2020-03-06 21:00:00,2020-03-06,13
4540,13,115,1081,31,117,324,2020-03-05 21:00:00,2020-03-05,12
3459,12,84,703,29,14,207,2020-03-04 21:00:00,2020-03-04,11
2756,11,55,506,12,66,193,2020-03-03 21:00:00,2020-03-03,10
2250,10,43,765,12,34,127,2020-03-02 21:00:00,2020-03-02,9
1485,9,31,324,8,5,93,2020-03-01 21:00:00,2020-03-01,8
1161,8,23,324,4,2,88,2020-02-29 21:00:00,2020-02-29,7
837,7,19,270,5,43,86,2020-02-28 21:00:00,2020-02-28,6
567,6,14,142,1,1,43,2020-02-27 21:00:00,2020-02-27,5
425,5,13,106,5,2,42,2020-02-26 21:00:00,2020-02-26,4
