Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
6832,4431,80,2020-06-11 22:00:00,2020-06-11,10,49,1,49,3
6822,4428,79,2020-06-10 22:00:00,2020-06-10,81,48,0,48,19
6741,4409,79,2020-06-09 22:00:00,2020-06-09,91,47,0,47,21
6650,4388,79,2020-06-08 22:00:00,2020-06-08,111,46,0,46,68
6539,4320,79,2020-06-07 22:00:00,2020-06-07,62,45,2,45,83
6477,4237,77,2020-06-06 22:00:00,2020-06-06,97,44,2,44,97
6380,4140,75,2020-06-05 22:00:00,2020-06-05,36,43,3,43,1
6344,4139,72,2020-06-04 22:00:00,2020-06-04,115,42,1,42,60
6229,4079,71,2020-06-03 22:00:00,2020-06-03,282,41,3,41,21
5947,4058,68,2020-06-02 22:00:00,2020-06-02,34,40,1,40,18
5913,4040,67,2020-06-01 22:00:00,2020-06-01,4,39,1,39,38
5909,4002,66,2020-05-31 22:00:00,2020-05-31,77,38,0,38,35
5832,3967,66,2020-05-30 22:00:00,2020-05-30,189,37,2,37,321
5643,3646,64,2020-05-29 22:00:00,2020-05-29,0,36,0,36,0
5643,3646,64,2020-05-28 22:00:00,2020-05-28,228,35,0,35,52
5415,3594,64,2020-05-27 22:00:00,2020-05-27,65,34,5,34,36
5350,3558,59,2020-05-26 22:00:00,2020-05-26,0,33,0,33,11
5350,3547,59,2020-05-25 22:00:00,2020-05-25,41,32,0,32,95
5309,3452,59,2020-05-24 22:00:00,2020-05-24,21,31,0,31,11
5288,3441,59,2020-05-23 22:00:00,2020-05-23,144,30,0,30,282
5144,3159,59,2020-05-22 22:00:00,2020-05-22,0,29,1,29,593
5144,2566,58,2020-05-21 22:00:00,2020-05-21,2522,28,1,28,82
2622,2484,57,2020-05-20 22:00:00,2020-05-20,0,27,0,27,138
2622,2346,57,2020-05-19 22:00:00,2020-05-19,19,26,1,26,104
2603,2242,56,2020-05-18 22:00:00,2020-05-18,34,25,0,25,5
2569,2237,56,2020-05-17 22:00:00,2020-05-17,6,24,1,24,76
2563,2161,55,2020-05-16 22:00:00,2020-05-16,0,23,4,23,68
2563,2093,51,2020-05-15 22:00:00,2020-05-15,0,22,0,22,458
2563,1635,51,2020-05-14 22:00:00,2020-05-14,0,21,2,21,68
2563,1567,49,2020-05-13 22:00:00,2020-05-13,0,20,0,20,632
2563,935,49,2020-05-12 22:00:00,2020-05-12,0,19,1,19,0
2563,935,48,2020-05-11 22:00:00,2020-05-11,63,18,2,18,32
2500,903,46,2020-05-10 22:00:00,2020-05-10,0,17,1,17,5
2500,898,45,2020-05-09 22:00:00,2020-05-09,0,16,1,16,29
2500,869,44,2020-05-08 22:00:00,2020-05-08,35,15,2,15,159
2465,710,42,2020-05-07 22:00:00,2020-05-07,40,14,1,14,0
2425,710,41,2020-05-06 22:00:00,2020-05-06,85,13,1,13,18
2340,692,40,2020-05-05 22:00:00,2020-05-05,64,12,2,12,29
2276,663,38,2020-05-04 22:00:00,2020-05-04,8,11,1,11,1
2268,662,37,2020-05-03 22:00:00,2020-05-03,83,10,1,10,7
2185,655,36,2020-05-02 22:00:00,2020-05-02,144,9,3,9,97
2041,558,33,2020-05-01 22:00:00,2020-05-01,164,8,2,8,12
1877,546,31,2020-04-30 22:00:00,2020-04-30,228,7,1,7,10
1649,536,30,2020-04-29 22:00:00,2020-04-29,273,6,2,6,22
1376,514,28,2020-04-28 22:00:00,2020-04-28,258,5,1,5,5
1118,509,27,2020-04-27 22:00:00,2020-04-27,71,4,1,4,2
1047,507,26,2020-04-26 22:00:00,2020-04-26,62,3,1,3,29
985,478,25,2020-04-25 22:00:00,2020-04-25,8,2,1,2,123
977,355,24,2020-04-24 22:00:00,2020-04-24,977,1,24,1,355
0,0,0,2020-04-23 22:00:00,2020-04-23,0,0,0,0,0
0,0,0,2020-04-22 22:00:00,2020-04-22,0,0,0,0,0
0,0,0,2020-04-21 22:00:00,2020-04-21,0,0,0,0,0
0,0,0,2020-04-20 22:00:00,2020-04-20,0,0,0,0,0
0,0,0,2020-04-19 22:00:00,2020-04-19,0,0,0,0,0
0,0,0,2020-04-18 22:00:00,2020-04-18,0,0,0,0,0
0,0,0,2020-04-17 22:00:00,2020-04-17,0,0,0,0,0
0,0,0,2020-04-16 22:00:00,2020-04-16,0,0,0,0,0
0,0,0,2020-04-15 22:00:00,2020-04-15,0,0,0,0,0
0,0,0,2020-04-14 22:00:00,2020-04-14,0,0,0,0,0
0,0,0,2020-04-13 22:00:00,2020-04-13,0,0,0,0,0
0,0,0,2020-04-12 22:00:00,2020-04-12,0,0,0,0,0
0,0,0,2020-04-11 22:00:00,2020-04-11,0,0,0,0,0
0,0,0,2020-04-10 22:00:00,2020-04-10,0,0,0,0,0
0,0,0,2020-04-09 22:00:00,2020-04-09,0,0,0,0,0
0,0,0,2020-04-08 22:00:00,2020-04-08,0,0,0,0,0
0,0,0,2020-04-07 22:00:00,2020-04-07,0,0,0,0,0
0,0,0,2020-04-06 22:00:00,2020-04-06,0,0,0,0,0
0,0,0,2020-04-05 22:00:00,2020-04-05,0,0,0,0,0
0,0,0,2020-04-04 21:00:00,2020-04-04,0,0,0,0,0
0,0,0,2020-04-03 21:00:00,2020-04-03,0,0,0,0,0
0,0,0,2020-04-02 21:00:00,2020-04-02,0,0,0,0,0
0,0,0,2020-04-01 21:00:00,2020-04-01,0,0,0,0,0
0,0,0,2020-03-31 21:00:00,2020-03-31,0,0,0,0,0
0,0,0,2020-03-30 21:00:00,2020-03-30,0,0,0,0,0
0,0,0,2020-03-29 21:00:00,2020-03-29,0,0,0,0,0
0,0,0,2020-03-28 21:00:00,2020-03-28,0,0,0,0,0
0,0,0,2020-03-27 21:10:00,2020-03-27,0,0,0,0,0
0,0,0,2020-03-26 22:20:00,2020-03-26,0,0,0,0,0
0,0,0,2020-03-25 23:20:00,2020-03-25,0,0,0,0,0
0,0,0,2020-03-24 21:20:00,2020-03-24,0,0,0,0,0
0,0,0,2020-03-23 21:40:00,2020-03-23,0,0,0,0,0
0,0,0,2020-03-22 21:00:00,2020-03-22,0,0,0,0,0
0,0,0,2020-03-21 21:00:00,2020-03-21,0,0,0,0,0
