Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
1,0,2020-03-07,1,0,0,0,0,0
1,0,2020-03-08,0,0,0,0,0,0
1,0,2020-03-09,0,0,0,0,0,0
1,0,2020-03-10,0,0,0,0,0,0
2,0,2020-03-11,1,0,0,0,0,0
2,0,2020-03-12,0,0,0,0,0,0
2,0,2020-03-13,0,0,0,0,0,0
6,0,2020-03-14,4,0,0,0,0,0
8,0,2020-03-15,2,0,0,0,0,0
13,0,2020-03-16,5,0,0,0,0,0
22,0,2020-03-17,9,0,0,0,0,0
26,0,2020-03-18,4,0,0,0,0,0
42,0,2020-03-19,16,0,0,0,0,0
87,0,2020-03-20,45,0,0,0,0,0
100,0,2020-03-21,13,1,0,0,0,0
117,0,2020-03-22,17,2,0,0,0,0
133,0,2020-03-23,16,3,0,0,0,0
160,0,2020-03-24,27,4,0,0,0,0
160,0,2020-03-25,0,5,0,0,0,0
200,0,2020-03-26,40,6,0,0,0,0
230,0,2020-03-27,30,7,0,0,0,0
260,0,2020-03-28,30,8,0,0,0,0
289,1,2020-03-29,29,9,1,0,0,0
312,1,2020-03-30,23,10,0,0,0,0
332,3,2020-03-31,20,11,2,1,0,0
355,3,2020-04-01,23,12,0,2,0,0
370,4,2020-04-02,15,13,1,3,0,0
402,5,2020-04-03,32,14,1,4,0,0
454,7,2020-04-04,52,15,2,5,0,0
468,7,2020-04-05,14,16,0,6,0,0
473,10,2020-04-06,5,17,3,7,0,0
492,12,2020-04-07,19,18,2,8,0,0
509,12,2020-04-08,17,19,0,9,0,0
527,13,2020-04-09,18,20,1,10,0,0
555,14,2020-04-10,28,21,1,11,0,0
579,14,2020-04-11,24,22,0,12,0,0
614,14,2020-04-12,35,23,0,13,0,0
638,15,2020-04-13,24,24,1,14,0,0
651,17,2020-04-14,13,25,2,15,0,0
682,17,2020-04-15,31,26,0,16,0,0
716,20,2020-04-16,34,27,3,17,0,0
746,20,2020-04-17,30,28,0,18,0,0
762,24,2020-04-18,16,29,4,19,0,0
827,24,2020-04-19,65,30,0,20,0,0
872,24,2020-04-20,45,31,0,21,0,0
881,24,2020-04-21,9,32,0,22,0,0
946,25,2020-04-22,65,33,1,23,0,0
963,25,2020-04-23,17,34,0,24,0,0
989,26,2020-04-24,26,35,1,25,0,0
1013,26,2020-04-25,24,36,0,26,0,0
1066,27,2020-04-26,53,37,1,27,0,0
1146,27,2020-04-27,80,38,0,28,0,0
1213,28,2020-04-28,67,39,1,29,0,0
1275,28,2020-04-29,62,40,0,30,0,0
1356,30,2020-04-30,81,41,2,31,0,0
1466,30,2020-05-01,110,42,0,32,0,0
1566,31,2020-05-02,100,43,1,33,0,0
1649,33,2020-05-03,83,44,2,34,0,0
1768,33,2020-05-04,119,45,0,35,0,0
1818,33,2020-05-05,50,46,0,36,0,0
1906,34,2020-05-06,88,47,1,37,0,0
2258,35,2020-05-07,352,48,1,38,0,0
2442,37,2020-05-08,184,49,2,39,0,0
2576,39,2020-05-09,134,50,2,40,0,0
2682,42,2020-05-10,106,51,3,41,0,0
2799,44,2020-05-11,117,52,2,42,0,0
2979,46,2020-05-12,180,53,2,43,0,0
3192,46,2020-05-13,213,54,0,44,0,0
3416,49,2020-05-14,224,55,3,45,0,0
3622,52,2020-05-15,206,56,3,46,0,0
4140,55,2020-05-16,518,57,3,47,0,0
4427,57,2020-05-17,287,58,2,48,0,0
4619,66,2020-05-18,192,59,9,49,0,0
4853,72,2020-05-19,234,60,6,50,0,0
5161,72,2020-05-20,308,61,0,51,0,0
5542,78,2020-05-21,381,62,6,52,0,0
5948,92,2020-05-22,406,63,14,53,0,0
6248,95,2020-05-23,300,64,3,54,0,0
6638,104,2020-05-24,390,65,9,55,0,0
6724,114,2020-05-25,86,66,10,56,0,0
7212,124,2020-05-26,488,67,10,57,0,0
7761,133,2020-05-27,549,68,9,58,0,0
8300,142,2020-05-28,539,69,9,59,0,0
8722,154,2020-05-29,422,70,12,60,0,0
9474,162,2020-05-30,752,71,8,61,0,0
9780,170,2020-05-31,306,72,8,62,0,0
10510,171,2020-06-01,730,73,1,63,0,0
11256,177,2020-06-02,746,74,6,64,0,0
12020,191,2020-06-03,764,75,14,65,0,0
12923,196,2020-06-04,903,76,5,66,0,0
14208,202,2020-06-05,1285,77,6,67,0,0
15850,208,2020-06-06,1642,78,6,68,0,0
16623,214,2020-06-07,773,79,6,69,0,0
16964,226,2020-06-08,341,80,12,70,0,0
18090,236,2020-06-09,1126,81,10,71,0,0
19433,256,2020-06-10,1343,82,20,72,0,0
20507,274,2020-06-11,1074,83,18,73,0,0
21396,282,2020-06-12,889,84,8,74,0,0
21959,293,2020-06-13,563,85,11,75,0,0
22871,304,2020-06-14,912,86,11,76,0,0
23684,319,2020-06-15,813,87,15,77,0,0
23684,319,2020-06-16,0,88,0,78,0,0
