Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
3237,300,64,2020-04-15 22:00:00,2020-04-15,76,34,5,22,0
3161,300,59,2020-04-14 22:00:00,2020-04-14,97,33,0,21,0
3064,300,59,2020-04-13 22:00:00,2020-04-13,90,32,3,20,0
2974,300,56,2020-04-12 22:00:00,2020-04-12,69,31,7,19,0
2905,300,49,2020-04-11 22:00:00,2020-04-11,136,30,1,18,0
2769,300,48,2020-04-10 22:00:00,2020-04-10,164,29,8,17,0
2605,300,40,2020-04-09 22:00:00,2020-04-09,118,28,0,16,0
2487,300,40,2020-04-08 22:00:00,2020-04-08,179,27,13,15,0
2308,300,27,2020-04-07 22:00:00,2020-04-07,132,26,-1,14,0
2176,300,28,2020-04-06 22:00:00,2020-04-06,249,25,0,13,0
1927,300,28,2020-04-05 22:00:00,2020-04-05,45,24,8,12,0
1882,300,20,2020-04-04 21:00:00,2020-04-04,267,23,1,11,0
1615,300,19,2020-04-03 21:00:00,2020-04-03,97,22,2,10,0
1518,300,17,2020-04-02 21:00:00,2020-04-02,72,21,0,9,290
1446,10,17,2020-04-01 21:00:00,2020-04-01,28,20,4,8,0
1418,10,13,2020-03-31 21:00:00,2020-03-31,75,19,2,7,0
1343,10,11,2020-03-30 21:00:00,2020-03-30,122,18,2,6,0
1221,10,9,2020-03-29 21:00:00,2020-03-29,56,17,2,5,0
1165,10,7,2020-03-28 21:00:00,2020-03-28,130,16,2,4,0
1035,10,5,2020-03-27 21:10:00,2020-03-27,109,15,0,3,0
926,10,5,2020-03-26 22:20:00,2020-03-26,73,14,2,2,0
853,10,3,2020-03-25 23:20:00,2020-03-25,71,13,2,1,0
782,10,1,2020-03-24 21:20:00,2020-03-24,96,12,0,0,0
686,10,1,2020-03-23 21:40:00,2020-03-23,92,11,0,0,0
594,10,1,2020-03-22 21:00:00,2020-03-22,91,10,1,0,0
503,10,0,2020-03-21 21:00:00,2020-03-21,73,9,0,0,0
430,10,0,2020-03-20 21:20:00,2020-03-20,43,8,0,0,0
387,10,0,2020-03-19 21:30:00,2020-03-19,54,7,0,0,0
333,10,0,2020-03-18 22:00:00,2020-03-18,39,6,0,0,0
294,10,0,2020-03-17 21:00:00,2020-03-17,25,5,0,0,0
269,10,0,2020-03-16 21:00:00,2020-03-16,25,4,0,0,0
244,10,0,2020-03-15 21:00:00,2020-03-15,88,3,0,0,9
156,1,0,2020-03-14 21:00:00,2020-03-14,1,2,0,0,0
155,1,0,2020-03-13 21:00:00,2020-03-13,90,1,0,0,0
65,1,0,2020-03-12 21:00:00,2020-03-12,7,0,0,0,0
58,1,0,2020-03-11 21:00:00,2020-03-11,18,0,0,0,0
40,1,0,2020-03-10 21:00:00,2020-03-10,10,0,0,0,0
30,1,0,2020-03-09 21:00:00,2020-03-09,7,0,0,0,0
23,1,0,2020-03-08 21:00:00,2020-03-08,8,0,0,0,0
15,1,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
15,1,0,2020-03-06 21:00:00,2020-03-06,3,0,0,0,0
12,1,0,2020-03-05 21:00:00,2020-03-05,5,0,0,0,0
7,1,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
7,1,0,2020-03-03 21:00:00,2020-03-03,1,0,0,0,0
6,1,0,2020-03-02 21:00:00,2020-03-02,3,0,0,0,0
3,1,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
3,1,0,2020-02-29 21:00:00,2020-02-29,1,0,0,0,0
2,1,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
2,1,0,2020-02-27 21:00:00,2020-02-27,1,0,0,0,0
1,1,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
1,1,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
1,1,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
1,1,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
1,1,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
1,1,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
1,1,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
1,1,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
1,1,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
1,1,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
1,1,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
1,1,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
1,1,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
1,1,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
1,1,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
1,1,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
1,1,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
1,1,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
1,1,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
1,1,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
1,1,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,1
1,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
1,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
1,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
1,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
1,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
1,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
1,0,0,2020-01-30 12:00:00,2020-01-30,1,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
