Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
328,295,1,2020-03-26 23:20:00,2020-03-26,6,57
322,295,1,2020-03-25 23:00:00,2020-03-25,4,56
318,295,1,2020-03-24 22:20:00,2020-03-24,5,55
313,295,1,2020-03-23 22:40:00,2020-03-23,6,54
307,295,1,2020-03-22 22:00:00,2020-03-22,4,53
303,295,1,2020-03-21 22:00:00,2020-03-21,4,52
299,295,1,2020-03-20 22:20:00,2020-03-20,3,51
296,295,1,2020-03-19 22:30:00,2020-03-19,0,50
296,295,1,2020-03-18 23:00:00,2020-03-18,0,49
296,295,1,2020-03-17 22:00:00,2020-03-17,0,48
296,295,1,2020-03-16 22:00:00,2020-03-16,0,47
296,295,1,2020-03-15 22:00:00,2020-03-15,0,46
296,295,1,2020-03-14 22:00:00,2020-03-14,0,45
296,295,1,2020-03-13 22:00:00,2020-03-13,0,44
296,295,1,2020-03-12 22:00:00,2020-03-12,0,43
296,295,1,2020-03-11 22:00:00,2020-03-11,0,42
296,295,1,2020-03-10 22:00:00,2020-03-10,0,41
296,295,1,2020-03-09 22:00:00,2020-03-09,0,40
296,295,1,2020-03-08 22:00:00,2020-03-08,0,39
296,284,1,2020-03-07 22:00:00,2020-03-07,0,38
296,282,1,2020-03-06 22:00:00,2020-03-06,0,37
296,277,1,2020-03-05 22:00:00,2020-03-05,0,36
296,263,1,2020-03-04 22:00:00,2020-03-04,0,35
296,259,1,2020-03-03 22:00:00,2020-03-03,0,34
296,247,1,2020-03-02 22:00:00,2020-03-02,0,33
296,247,1,2020-03-01 22:00:00,2020-03-01,0,32
296,242,1,2020-02-29 22:00:00,2020-02-29,0,31
296,235,1,2020-02-28 22:00:00,2020-02-28,0,30
296,228,1,2020-02-27 22:00:00,2020-02-27,2,29
294,218,1,2020-02-26 22:00:00,2020-02-26,0,28
294,199,1,2020-02-25 22:00:00,2020-02-25,1,27
293,183,1,2020-02-24 22:00:00,2020-02-24,0,26
293,170,1,2020-02-23 22:00:00,2020-02-23,0,25
293,155,1,2020-02-22 22:00:00,2020-02-22,0,24
293,138,1,2020-02-21 22:00:00,2020-02-21,0,23
293,121,1,2020-02-20 22:00:00,2020-02-20,0,22
293,110,0,2020-02-19 22:00:00,2020-02-19,1,21
292,93,0,2020-02-18 22:00:00,2020-02-18,2,20
290,90,0,2020-02-17 22:00:00,2020-02-17,3,19
287,79,0,2020-02-16 22:00:00,2020-02-16,2,18
285,70,0,2020-02-15 22:00:00,2020-02-15,4,17
281,62,0,2020-02-14 22:00:00,2020-02-14,2,16
279,57,0,2020-02-13 22:00:00,2020-02-13,7,15
272,51,0,2020-02-12 22:00:00,2020-02-12,5,14
267,39,0,2020-02-11 21:30:00,2020-02-11,6,13
261,36,0,2020-02-10 22:00:00,2020-02-10,11,12
250,35,0,2020-02-09 22:00:00,2020-02-09,11,11
239,24,0,2020-02-08 22:00:00,2020-02-08,15,10
224,15,0,2020-02-07 22:00:00,2020-02-07,9,9
215,12,0,2020-02-06 22:00:00,2020-02-06,10,8
205,8,0,2020-02-05 22:00:00,2020-02-05,11,7
194,1,0,2020-02-04 21:00:00,2020-02-04,15,6
179,0,0,2020-02-03 21:00:00,2020-02-03,20,5
159,0,0,2020-02-02 21:00:00,2020-02-02,39,4
120,0,0,2020-02-01 11:00:00,2020-02-01,19,3
101,0,0,2020-01-31 13:30:00,2020-01-31,0,2
101,0,0,2020-01-30 13:00:00,2020-01-30,19,1
82,0,0,2020-01-29 15:00:00,2020-01-29,23,0
59,0,0,2020-01-28 12:30:00,2020-01-28,24,0
35,0,0,2020-01-27 15:00:00,2020-01-27,17,0
18,0,1,2020-01-26 14:00:00,2020-01-26,8,0
10,0,0,2020-01-25 16:00:00,2020-01-25,5,0
5,0,0,2020-01-24 16:00:00,2020-01-24,0,0
5,0,0,2020-01-23 16:00:00,2020-01-23,4,0
1,0,0,2020-01-22 16:00:00,2020-01-22,1,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0,0
