Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
17194,340,650,2020-04-18 07:30:00,2020-04-18,826,34,33,31,0
16368,340,617,2020-04-17 22:00:00,2020-04-17,1101,33,41,30,0
15267,340,576,2020-04-16 22:00:00,2020-04-16,689,32,51,29,0
14578,340,525,2020-04-15 22:00:00,2020-04-15,957,31,45,28,0
13621,340,480,2020-04-14 22:00:00,2020-04-14,1071,30,38,27,0
12550,340,442,2020-04-13 22:00:00,2020-04-13,289,29,9,26,0
12261,340,433,2020-04-12 22:00:00,2020-04-12,402,28,8,25,340
11859,0,425,2020-04-11 22:00:00,2020-04-11,974,27,13,24,0
10885,0,412,2020-04-10 22:00:00,2020-04-10,679,26,42,23,0
10206,0,370,2020-04-09 22:00:00,2020-04-09,1050,25,22,22,0
9156,0,348,2020-04-08 22:00:00,2020-04-08,1598,24,54,21,0
7558,0,294,2020-04-07 22:00:00,2020-04-07,816,23,75,20,0
6742,0,219,2020-04-06 22:00:00,2020-04-06,359,22,11,19,0
6383,0,208,2020-04-05 22:00:00,2020-04-05,416,21,10,18,0
5967,0,198,2020-04-04 21:00:00,2020-04-04,523,20,22,17,0
5444,0,176,2020-04-03 21:00:00,2020-04-03,696,19,22,16,0
4748,0,154,2020-04-02 21:00:00,2020-04-02,631,18,29,15,0
4117,0,125,2020-04-01 21:00:00,2020-04-01,1085,17,23,14,0
3032,0,102,2020-03-31 21:00:00,2020-03-31,349,16,18,13,0
2683,0,84,2020-03-30 21:00:00,2020-03-30,237,15,5,12,0
2446,0,79,2020-03-29 21:00:00,2020-03-29,248,14,14,11,0
2198,0,65,2020-03-28 21:00:00,2020-03-28,555,13,9,10,0
1643,0,56,2020-03-27 21:10:00,2020-03-27,256,12,9,9,0
1387,0,47,2020-03-26 22:20:00,2020-03-26,290,11,9,8,0
1097,0,38,2020-03-25 23:20:00,2020-03-25,294,10,12,7,0
803,0,26,2020-03-24 21:20:00,2020-03-24,182,9,1,6,0
621,0,25,2020-03-23 21:40:00,2020-03-23,66,8,5,5,0
555,0,20,2020-03-22 21:00:00,2020-03-22,70,7,6,4,0
485,0,14,2020-03-21 21:00:00,2020-03-21,197,6,4,3,0
288,0,10,2020-03-20 21:20:00,2020-03-20,91,5,6,2,0
197,0,4,2020-03-19 21:30:00,2020-03-19,51,4,3,1,0
146,0,1,2020-03-18 22:00:00,2020-03-18,23,3,0,0,0
123,0,1,2020-03-17 21:00:00,2020-03-17,12,2,0,0,0
111,0,1,2020-03-16 21:00:00,2020-03-16,36,1,0,0,0
75,0,1,2020-03-15 21:00:00,2020-03-15,33,0,0,0,0
42,0,1,2020-03-14 21:00:00,2020-03-14,4,0,0,0,0
38,0,1,2020-03-13 21:00:00,2020-03-13,7,0,1,0,0
31,0,0,2020-03-12 21:00:00,2020-03-12,9,0,0,0,0
22,0,0,2020-03-11 21:00:00,2020-03-11,5,0,0,0,0
17,0,0,2020-03-10 21:00:00,2020-03-10,6,0,0,0,0
11,0,0,2020-03-09 21:00:00,2020-03-09,4,0,0,0,0
7,0,0,2020-03-08 21:00:00,2020-03-08,4,0,0,0,0
3,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0,0,0
2,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
2,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
2,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
2,0,0,2020-03-03 21:00:00,2020-03-03,2,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
