Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
2878,1374,171,2020-05-25 22:00:00,2020-05-25,2,74,0,73,0
2876,1374,171,2020-05-24 22:00:00,2020-05-24,2,73,2,72,0
2874,1374,169,2020-05-23 22:00:00,2020-05-23,21,72,1,71,0
2853,1374,168,2020-05-22 22:00:00,2020-05-22,3,71,2,70,0
2850,1374,166,2020-05-21 22:00:00,2020-05-21,10,70,1,69,0
2840,1374,165,2020-05-20 22:00:00,2020-05-20,4,69,0,68,0
2836,1374,165,2020-05-19 22:00:00,2020-05-19,2,68,2,67,0
2834,1374,163,2020-05-18 22:00:00,2020-05-18,15,67,1,66,0
2819,1374,162,2020-05-17 22:00:00,2020-05-17,9,66,2,65,0
2810,1374,160,2020-05-16 22:00:00,2020-05-16,40,65,4,64,0
2770,1374,156,2020-05-15 22:00:00,2020-05-15,10,64,1,63,0
2760,1374,155,2020-05-14 22:00:00,2020-05-14,16,63,3,62,0
2744,1374,152,2020-05-13 22:00:00,2020-05-13,18,62,1,61,0
2726,1374,151,2020-05-12 22:00:00,2020-05-12,10,61,0,60,0
2716,1374,151,2020-05-11 22:00:00,2020-05-11,6,60,0,59,0
2710,1374,151,2020-05-10 22:00:00,2020-05-10,19,59,1,58,0
2691,1374,150,2020-05-09 22:00:00,2020-05-09,13,58,2,57,0
2678,1374,148,2020-05-08 22:00:00,2020-05-08,15,57,1,56,0
2663,1374,147,2020-05-07 22:00:00,2020-05-07,21,56,1,55,0
2642,1374,146,2020-05-06 22:00:00,2020-05-06,10,55,0,54,0
2632,1374,146,2020-05-05 22:00:00,2020-05-05,6,54,2,53,0
2626,1374,144,2020-05-04 22:00:00,2020-05-04,6,53,1,52,0
2620,1374,143,2020-05-03 22:00:00,2020-05-03,8,52,3,51,0
2612,1374,140,2020-05-02 22:00:00,2020-05-02,21,51,0,50,0
2591,1374,140,2020-05-01 22:00:00,2020-05-01,15,50,1,49,797
2576,577,139,2020-04-30 22:00:00,2020-04-30,10,49,1,48,0
2566,577,138,2020-04-29 22:00:00,2020-04-29,32,48,2,47,0
2534,577,136,2020-04-28 22:00:00,2020-04-28,17,47,2,46,0
2517,577,134,2020-04-27 22:00:00,2020-04-27,11,46,4,45,0
2506,577,130,2020-04-26 22:00:00,2020-04-26,16,45,0,44,0
2490,577,130,2020-04-25 22:00:00,2020-04-25,27,44,3,43,0
2463,577,127,2020-04-24 22:00:00,2020-04-24,55,43,6,42,0
2408,577,121,2020-04-23 22:00:00,2020-04-23,7,42,0,41,0
2401,577,121,2020-04-22 22:00:00,2020-04-22,156,41,5,40,0
2245,577,116,2020-04-21 22:00:00,2020-04-21,10,40,3,39,308
2235,269,113,2020-04-20 22:00:00,2020-04-20,0,39,3,38,0
2235,269,110,2020-04-19 22:00:00,2020-04-19,11,38,2,37,0
2224,269,108,2020-04-18 22:00:00,2020-04-18,17,37,3,36,0
2207,269,105,2020-04-17 22:00:00,2020-04-17,15,36,3,35,0
2192,269,102,2020-04-16 22:00:00,2020-04-16,22,35,1,34,0
2170,269,101,2020-04-15 22:00:00,2020-04-15,25,34,2,33,0
2145,269,99,2020-04-14 22:00:00,2020-04-14,31,33,1,32,0
2114,269,98,2020-04-13 22:00:00,2020-04-13,33,32,5,31,0
2081,269,93,2020-04-12 22:00:00,2020-04-12,70,31,1,30,0
2011,269,92,2020-04-11 22:00:00,2020-04-11,56,30,5,29,0
1955,269,87,2020-04-10 22:00:00,2020-04-10,71,29,4,28,0
1884,269,83,2020-04-09 22:00:00,2020-04-09,52,28,2,27,0
1832,269,81,2020-04-08 22:00:00,2020-04-08,77,27,2,26,0
1755,269,79,2020-04-07 22:00:00,2020-04-07,20,26,6,25,191
1735,78,73,2020-04-06 22:00:00,2020-04-06,62,25,5,24,0
1673,78,68,2020-04-05 22:00:00,2020-04-05,60,24,1,23,0
1613,78,67,2020-04-04 21:00:00,2020-04-04,69,23,14,22,17
1544,61,53,2020-04-03 21:00:00,2020-04-03,129,22,2,21,9
1415,52,51,2020-04-02 21:00:00,2020-04-02,101,21,2,20,0
1314,52,49,2020-04-01 21:00:00,2020-04-01,102,20,3,19,0
1212,52,46,2020-03-31 21:00:00,2020-03-31,56,19,7,18,0
1156,52,39,2020-03-30 21:00:00,2020-03-30,95,18,7,17,0
1061,52,32,2020-03-29 21:00:00,2020-03-29,95,17,4,16,0
966,52,28,2020-03-28 21:00:00,2020-03-28,74,16,1,15,10
892,42,27,2020-03-27 21:10:00,2020-03-27,71,15,4,14,6
821,36,23,2020-03-26 22:20:00,2020-03-26,78,14,3,13,7
743,29,20,2020-03-25 23:20:00,2020-03-25,48,13,3,12,0
695,29,17,2020-03-24 21:20:00,2020-03-24,71,12,0,11,10
624,19,17,2020-03-23 21:40:00,2020-03-23,94,11,4,10,0
530,19,13,2020-03-22 21:00:00,2020-03-22,35,10,3,9,0
495,19,10,2020-03-21 21:00:00,2020-03-21,31,9,4,8,0
464,19,6,2020-03-20 21:20:00,2020-03-20,46,8,0,7,5
418,14,6,2020-03-19 21:30:00,2020-03-19,31,7,1,6,0
387,14,5,2020-03-18 22:00:00,2020-03-18,35,6,1,5,4
352,10,4,2020-03-17 21:00:00,2020-03-17,21,5,0,4,2
331,8,4,2020-03-16 21:00:00,2020-03-16,103,4,0,3,0
228,8,4,2020-03-15 21:00:00,2020-03-15,38,3,1,2,6
190,2,3,2020-03-14 21:00:00,2020-03-14,73,2,2,1,2
117,0,1,2020-03-13 21:00:00,2020-03-13,18,1,0,0,0
99,0,1,2020-03-12 21:00:00,2020-03-12,10,0,1,0,0
89,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
89,0,0,2020-03-10 21:00:00,2020-03-10,16,0,0,0,0
73,0,0,2020-03-09 21:00:00,2020-03-09,7,0,0,0,0
66,0,0,2020-03-08 21:00:00,2020-03-08,20,0,0,0,0
46,0,0,2020-03-07 21:00:00,2020-03-07,15,0,0,0,0
31,0,0,2020-03-06 21:00:00,2020-03-06,21,0,0,0,0
10,0,0,2020-03-05 21:00:00,2020-03-05,2,0,0,0,0
8,0,0,2020-03-04 21:00:00,2020-03-04,1,0,0,0,0
7,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
7,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
7,0,0,2020-03-01 21:00:00,2020-03-01,3,0,0,0,0
4,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
4,0,0,2020-02-28 21:00:00,2020-02-28,3,0,0,0,0
1,0,0,2020-02-27 21:00:00,2020-02-27,1,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
