Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
190,157,14,2020-07-17 22:00:00,2020-07-17,0,111,0,110,0
190,157,14,2020-07-16 22:00:00,2020-07-16,0,110,0,109,0
190,157,14,2020-07-15 22:00:00,2020-07-15,0,109,0,108,0
190,157,14,2020-07-14 22:00:00,2020-07-14,0,108,0,107,0
190,157,14,2020-07-13 22:00:00,2020-07-13,0,107,0,106,0
190,157,14,2020-07-12 22:00:00,2020-07-12,0,106,0,105,0
190,157,14,2020-07-11 22:00:00,2020-07-11,6,105,0,104,0
184,157,14,2020-07-10 22:00:00,2020-07-10,0,104,0,103,0
184,157,14,2020-07-09 22:00:00,2020-07-09,0,103,0,102,0
184,157,14,2020-07-08 22:00:00,2020-07-08,0,102,0,101,0
184,157,14,2020-07-07 22:00:00,2020-07-07,0,101,0,100,0
184,157,14,2020-07-06 22:00:00,2020-07-06,0,100,0,99,0
184,157,14,2020-07-05 22:00:00,2020-07-05,0,99,0,98,0
184,157,14,2020-07-04 22:00:00,2020-07-04,2,98,0,97,0
182,157,14,2020-07-03 22:00:00,2020-07-03,0,97,0,96,0
182,157,14,2020-07-02 22:00:00,2020-07-02,0,96,0,95,0
182,157,14,2020-07-01 22:00:00,2020-07-01,0,95,0,94,0
182,157,14,2020-06-30 22:00:00,2020-06-30,0,94,0,93,0
182,157,14,2020-06-29 22:00:00,2020-06-29,0,93,0,92,0
182,157,14,2020-06-28 22:00:00,2020-06-28,0,92,0,91,0
182,157,14,2020-06-27 22:00:00,2020-06-27,8,91,0,90,0
174,157,14,2020-06-26 22:00:00,2020-06-26,0,90,0,89,0
174,157,14,2020-06-25 22:00:00,2020-06-25,0,89,0,88,0
174,157,14,2020-06-24 22:00:00,2020-06-24,0,88,0,87,0
174,157,14,2020-06-23 22:00:00,2020-06-23,0,87,0,86,0
174,157,14,2020-06-22 22:00:00,2020-06-22,0,86,0,85,0
174,157,14,2020-06-21 22:00:00,2020-06-21,0,85,0,84,0
174,157,14,2020-06-20 22:00:00,2020-06-20,3,84,0,83,0
171,157,14,2020-06-19 22:00:00,2020-06-19,0,83,0,82,0
171,157,14,2020-06-18 22:00:00,2020-06-18,0,82,0,81,0
171,157,14,2020-06-17 22:00:00,2020-06-17,0,81,0,80,0
171,157,14,2020-06-16 22:00:00,2020-06-16,0,80,0,79,0
171,157,14,2020-06-15 22:00:00,2020-06-15,0,79,0,78,0
171,157,14,2020-06-14 22:00:00,2020-06-14,0,78,0,77,0
171,157,14,2020-06-13 22:00:00,2020-06-13,7,77,0,76,13
164,144,14,2020-06-12 22:00:00,2020-06-12,0,76,0,75,0
164,144,14,2020-06-11 22:00:00,2020-06-11,0,75,0,74,0
164,144,14,2020-06-10 22:00:00,2020-06-10,0,74,0,73,0
164,144,14,2020-06-09 22:00:00,2020-06-09,0,73,0,72,0
164,144,14,2020-06-08 22:00:00,2020-06-08,0,72,0,71,0
164,144,14,2020-06-07 22:00:00,2020-06-07,0,71,0,70,0
164,144,14,2020-06-06 22:00:00,2020-06-06,2,70,0,69,6
162,138,14,2020-06-05 22:00:00,2020-06-05,0,69,0,68,0
162,138,14,2020-06-04 22:00:00,2020-06-04,0,68,0,67,0
162,138,14,2020-06-03 22:00:00,2020-06-03,0,67,0,66,0
162,138,14,2020-06-02 22:00:00,2020-06-02,0,66,0,65,0
162,138,14,2020-06-01 22:00:00,2020-06-01,0,65,0,64,0
162,138,14,2020-05-31 22:00:00,2020-05-31,0,64,0,63,0
162,138,14,2020-05-30 22:00:00,2020-05-30,1,63,0,62,23
161,115,14,2020-05-29 22:00:00,2020-05-29,0,62,0,61,0
161,115,14,2020-05-28 22:00:00,2020-05-28,0,61,0,60,0
161,115,14,2020-05-27 22:00:00,2020-05-27,0,60,0,59,0
161,115,14,2020-05-26 22:00:00,2020-05-26,0,59,0,58,0
161,115,14,2020-05-25 22:00:00,2020-05-25,5,58,1,57,0
156,115,13,2020-05-24 22:00:00,2020-05-24,0,57,0,56,0
156,115,13,2020-05-23 22:00:00,2020-05-23,1,56,0,55,6
155,109,13,2020-05-22 22:00:00,2020-05-22,0,55,0,54,0
155,109,13,2020-05-21 22:00:00,2020-05-21,0,54,0,53,0
155,109,13,2020-05-20 22:00:00,2020-05-20,0,53,0,52,0
155,109,13,2020-05-19 22:00:00,2020-05-19,0,52,0,51,0
155,109,13,2020-05-18 22:00:00,2020-05-18,0,51,0,50,0
155,109,13,2020-05-17 22:00:00,2020-05-17,0,50,0,49,0
155,109,13,2020-05-16 22:00:00,2020-05-16,0,49,0,48,0
155,109,13,2020-05-15 22:00:00,2020-05-15,0,48,0,47,0
155,109,13,2020-05-14 22:00:00,2020-05-14,0,47,0,46,0
155,109,13,2020-05-13 22:00:00,2020-05-13,1,46,0,45,5
154,104,13,2020-05-12 22:00:00,2020-05-12,0,45,0,44,0
154,104,13,2020-05-11 22:00:00,2020-05-11,0,44,0,43,0
154,104,13,2020-05-10 22:00:00,2020-05-10,0,43,0,42,0
154,104,13,2020-05-09 22:00:00,2020-05-09,1,42,0,41,0
153,104,13,2020-05-08 22:00:00,2020-05-08,1,41,0,40,0
152,104,13,2020-05-07 22:00:00,2020-05-07,0,40,0,39,0
152,104,13,2020-05-06 22:00:00,2020-05-06,0,39,1,38,6
152,98,12,2020-05-05 22:00:00,2020-05-05,0,38,0,37,3
152,95,12,2020-05-04 22:00:00,2020-05-04,0,37,0,36,0
152,95,12,2020-05-03 22:00:00,2020-05-03,0,36,0,35,0
152,95,12,2020-05-02 22:00:00,2020-05-02,0,35,0,34,0
152,95,12,2020-05-01 22:00:00,2020-05-01,1,34,0,33,0
151,95,12,2020-04-30 22:00:00,2020-04-30,2,33,0,32,13
149,82,12,2020-04-29 22:00:00,2020-04-29,0,32,0,31,0
149,82,12,2020-04-28 22:00:00,2020-04-28,0,31,0,30,0
149,82,12,2020-04-27 22:00:00,2020-04-27,0,30,0,29,0
149,82,12,2020-04-26 22:00:00,2020-04-26,0,29,0,28,0
149,82,12,2020-04-25 22:00:00,2020-04-25,0,28,0,27,0
149,82,12,2020-04-24 22:00:00,2020-04-24,1,27,0,26,6
148,76,12,2020-04-23 22:00:00,2020-04-23,0,26,0,25,3
148,73,12,2020-04-22 22:00:00,2020-04-22,0,25,4,24,0
148,73,8,2020-04-21 22:00:00,2020-04-21,0,24,0,23,0
148,73,8,2020-04-20 22:00:00,2020-04-20,0,23,0,22,0
148,73,8,2020-04-19 22:00:00,2020-04-19,3,22,0,21,6
145,67,8,2020-04-18 22:00:00,2020-04-18,0,21,0,20,0
145,67,8,2020-04-17 22:00:00,2020-04-17,0,20,0,19,0
145,67,8,2020-04-16 22:00:00,2020-04-16,0,19,0,18,0
145,67,8,2020-04-15 22:00:00,2020-04-15,0,18,0,17,0
145,67,8,2020-04-14 22:00:00,2020-04-14,2,17,0,16,0
143,67,8,2020-04-13 22:00:00,2020-04-13,0,16,0,15,0
143,67,8,2020-04-12 22:00:00,2020-04-12,0,15,0,14,0
143,67,8,2020-04-11 22:00:00,2020-04-11,0,14,0,13,0
143,67,8,2020-04-10 22:00:00,2020-04-10,2,13,0,12,24
141,43,8,2020-04-09 22:00:00,2020-04-09,2,12,1,11,12
139,31,7,2020-04-08 22:00:00,2020-04-08,0,11,0,10,0
139,31,7,2020-04-07 22:00:00,2020-04-07,4,10,0,9,0
135,31,7,2020-04-06 22:00:00,2020-04-06,1,9,0,8,7
134,24,7,2020-04-05 22:00:00,2020-04-05,4,8,0,7,0
130,24,7,2020-04-04 21:00:00,2020-04-04,2,7,1,6,0
128,24,6,2020-04-03 21:00:00,2020-04-03,3,6,0,5,0
125,24,6,2020-04-02 21:00:00,2020-04-02,11,5,2,4,2
114,22,4,2020-04-01 21:00:00,2020-04-01,8,4,0,3,5
106,17,4,2020-03-31 21:00:00,2020-03-31,0,3,0,2,0
106,17,4,2020-03-30 21:00:00,2020-03-30,4,2,2,1,0
102,17,2,2020-03-29 21:00:00,2020-03-29,29,1,1,0,17
73,0,1,2020-03-28 21:00:00,2020-03-28,0,0,0,0,0
73,0,1,2020-03-27 21:10:00,2020-03-27,0,0,0,0,0
73,0,1,2020-03-26 22:20:00,2020-03-26,0,0,0,0,0
73,0,1,2020-03-25 23:20:00,2020-03-25,11,0,0,0,0
62,0,1,2020-03-24 21:20:00,2020-03-24,4,0,0,0,0
58,0,1,2020-03-23 21:40:00,2020-03-23,2,0,0,0,0
56,0,1,2020-03-22 21:00:00,2020-03-22,5,0,0,0,0
51,0,1,2020-03-21 21:00:00,2020-03-21,6,0,1,0,0
45,0,0,2020-03-20 21:20:00,2020-03-20,12,0,0,0,0
33,0,0,2020-03-19 21:30:00,2020-03-19,6,0,0,0,0
27,0,0,2020-03-18 22:00:00,2020-03-18,21,0,0,0,0
6,0,0,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
6,0,0,2020-03-16 21:00:00,2020-03-16,3,0,0,0,0
3,0,0,2020-03-15 21:00:00,2020-03-15,2,0,0,0,0
1,0,0,2020-03-14 21:00:00,2020-03-14,1,0,0,0,0
0,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
