Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
1433,1336,8,2020-03-26 23:20:00,2020-03-26,0,60
1433,1334,8,2020-03-25 23:00:00,2020-03-25,5,59
1428,1333,8,2020-03-24 22:20:00,2020-03-24,13,58
1415,1332,8,2020-03-23 22:40:00,2020-03-23,8,57
1407,1329,8,2020-03-22 22:00:00,2020-03-22,8,56
1399,1325,8,2020-03-21 22:00:00,2020-03-21,4,55
1395,1323,8,2020-03-20 22:20:00,2020-03-20,17,54
1378,1318,8,2020-03-19 22:30:00,2020-03-19,8,53
1370,1313,8,2020-03-18 23:00:00,2020-03-18,6,52
1364,1307,8,2020-03-17 22:00:00,2020-03-17,3,51
1361,1306,8,2020-03-16 22:00:00,2020-03-16,5,50
1356,1304,8,2020-03-15 22:00:00,2020-03-15,0,49
1356,1299,8,2020-03-14 22:00:00,2020-03-14,0,48
1356,1296,8,2020-03-13 22:00:00,2020-03-13,0,47
1356,1289,8,2020-03-12 22:00:00,2020-03-12,3,46
1353,1282,8,2020-03-11 22:00:00,2020-03-11,0,45
1353,1274,8,2020-03-10 22:00:00,2020-03-10,1,44
1352,1260,8,2020-03-09 22:00:00,2020-03-09,0,43
1352,1252,7,2020-03-08 22:00:00,2020-03-08,0,42
1352,1234,7,2020-03-07 22:00:00,2020-03-07,1,41
1351,1212,7,2020-03-06 22:00:00,2020-03-06,1,40
1350,1181,7,2020-03-05 22:00:00,2020-03-05,0,39
1350,1133,7,2020-03-04 22:00:00,2020-03-04,0,38
1350,1101,7,2020-03-03 22:00:00,2020-03-03,0,37
1350,1051,7,2020-03-02 22:00:00,2020-03-02,1,36
1349,1013,7,2020-03-01 22:00:00,2020-03-01,0,35
1349,973,7,2020-02-29 22:00:00,2020-02-29,1,34
1348,935,7,2020-02-28 22:00:00,2020-02-28,1,33
1347,890,7,2020-02-27 22:00:00,2020-02-27,0,32
1347,851,7,2020-02-26 22:00:00,2020-02-26,0,31
1347,822,7,2020-02-25 22:00:00,2020-02-25,2,30
1345,786,6,2020-02-24 22:00:00,2020-02-24,3,29
1342,755,6,2020-02-23 22:00:00,2020-02-23,3,28
1339,728,5,2020-02-22 22:00:00,2020-02-22,6,27
1333,690,5,2020-02-21 22:00:00,2020-02-21,1,26
1332,641,5,2020-02-20 22:00:00,2020-02-20,1,25
1331,606,5,2020-02-19 22:00:00,2020-02-19,3,24
1328,560,4,2020-02-18 22:00:00,2020-02-18,6,23
1322,497,4,2020-02-17 22:00:00,2020-02-17,6,22
1316,454,2,2020-02-16 22:00:00,2020-02-16,22,21
1294,400,2,2020-02-15 22:00:00,2020-02-15,33,20
1261,344,2,2020-02-14 22:00:00,2020-02-14,20,19
1241,301,2,2020-02-13 22:00:00,2020-02-13,22,18
1219,272,1,2020-02-12 22:00:00,2020-02-12,42,17
1177,208,1,2020-02-11 21:30:00,2020-02-11,18,16
1159,163,1,2020-02-10 22:00:00,2020-02-10,28,15
1131,128,1,2020-02-09 22:00:00,2020-02-09,36,14
1095,113,1,2020-02-08 22:00:00,2020-02-08,77,13
1018,88,1,2020-02-07 22:00:00,2020-02-07,48,12
970,58,0,2020-02-06 22:00:00,2020-02-06,75,11
895,42,0,2020-02-05 22:00:00,2020-02-05,82,10
813,24,0,2020-02-04 21:00:00,2020-02-04,88,9
725,15,0,2020-02-03 21:00:00,2020-02-03,93,8
632,14,0,2020-02-02 21:00:00,2020-02-02,196,7
436,10,0,2020-02-01 11:00:00,2020-02-01,43,6
393,11,0,2020-01-31 13:30:00,2020-01-31,82,5
311,6,0,2020-01-30 13:00:00,2020-01-30,70,4
241,5,0,2020-01-29 15:00:00,2020-01-29,90,3
151,4,0,2020-01-28 12:30:00,2020-01-28,5,2
146,2,0,2020-01-27 15:00:00,2020-01-27,48,1
98,2,0,2020-01-26 14:00:00,2020-01-26,20,0
78,2,0,2020-01-25 16:00:00,2020-01-25,25,0
53,2,0,2020-01-24 16:00:00,2020-01-24,21,0
32,2,0,2020-01-23 16:00:00,2020-01-23,6,0
26,0,0,2020-01-22 16:00:00,2020-01-22,9,0
17,0,0,2020-01-21 16:00:00,2020-01-21,0,0
