Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
254,252,2,2020-04-03 15:30:00,2020-04-03,0,62
254,252,2,2020-04-02 22:00:00,2020-04-02,0,61
254,250,2,2020-04-01 22:00:00,2020-04-01,0,60
254,250,2,2020-03-31 22:00:00,2020-03-31,0,59
254,250,2,2020-03-30 22:00:00,2020-03-30,0,58
254,250,2,2020-03-29 22:00:00,2020-03-29,0,57
254,250,2,2020-03-28 22:00:00,2020-03-28,0,56
254,250,2,2020-03-27 22:10:00,2020-03-27,0,55
254,250,2,2020-03-26 23:20:00,2020-03-26,0,54
254,250,2,2020-03-25 23:00:00,2020-03-25,0,53
254,250,2,2020-03-24 22:20:00,2020-03-24,0,52
254,250,2,2020-03-23 22:40:00,2020-03-23,0,51
254,250,2,2020-03-22 22:00:00,2020-03-22,0,50
254,250,2,2020-03-21 22:00:00,2020-03-21,0,49
254,250,2,2020-03-20 22:20:00,2020-03-20,1,48
253,250,2,2020-03-19 22:30:00,2020-03-19,0,47
253,250,2,2020-03-18 23:00:00,2020-03-18,0,46
253,248,2,2020-03-17 22:00:00,2020-03-17,1,45
252,247,2,2020-03-16 22:00:00,2020-03-16,0,44
252,243,2,2020-03-15 22:00:00,2020-03-15,0,43
252,243,2,2020-03-14 22:00:00,2020-03-14,0,42
252,243,2,2020-03-13 22:00:00,2020-03-13,0,41
252,241,2,2020-03-12 22:00:00,2020-03-12,0,40
252,237,2,2020-03-11 22:00:00,2020-03-11,0,39
252,234,2,2020-03-10 22:00:00,2020-03-10,0,38
252,230,2,2020-03-09 22:00:00,2020-03-09,0,37
252,223,2,2020-03-08 22:00:00,2020-03-08,0,36
252,219,2,2020-03-07 22:00:00,2020-03-07,0,35
252,217,2,2020-03-06 22:00:00,2020-03-06,0,34
252,214,2,2020-03-05 22:00:00,2020-03-05,0,33
252,210,2,2020-03-04 22:00:00,2020-03-04,0,32
252,202,2,2020-03-03 22:00:00,2020-03-03,0,31
252,191,2,2020-03-02 22:00:00,2020-03-02,0,30
252,181,2,2020-03-01 22:00:00,2020-03-01,0,29
252,172,2,2020-02-29 22:00:00,2020-02-29,0,28
252,168,2,2020-02-28 22:00:00,2020-02-28,0,27
252,161,2,2020-02-27 22:00:00,2020-02-27,0,26
252,144,2,2020-02-26 22:00:00,2020-02-26,0,25
252,134,2,2020-02-25 22:00:00,2020-02-25,1,24
251,112,2,2020-02-24 22:00:00,2020-02-24,2,23
249,106,2,2020-02-23 22:00:00,2020-02-23,0,22
249,104,2,2020-02-22 22:00:00,2020-02-22,3,21
246,95,2,2020-02-21 22:00:00,2020-02-21,1,20
245,90,2,2020-02-20 22:00:00,2020-02-20,1,19
244,86,2,2020-02-19 22:00:00,2020-02-19,2,18
242,67,2,2020-02-18 22:00:00,2020-02-18,4,17
238,53,2,2020-02-17 22:00:00,2020-02-17,1,16
237,46,2,2020-02-16 22:00:00,2020-02-16,2,15
235,44,2,2020-02-15 22:00:00,2020-02-15,9,14
226,35,2,2020-02-14 22:00:00,2020-02-14,4,13
222,33,2,2020-02-13 22:00:00,2020-02-13,0,12
222,31,1,2020-02-12 22:00:00,2020-02-12,7,11
215,30,1,2020-02-11 21:30:00,2020-02-11,5,10
210,18,1,2020-02-10 22:00:00,2020-02-10,15,9
195,18,1,2020-02-09 22:00:00,2020-02-09,12,8
183,17,0,2020-02-08 22:00:00,2020-02-08,11,7
172,17,0,2020-02-07 22:00:00,2020-02-07,4,6
168,14,0,2020-02-06 22:00:00,2020-02-06,18,5
150,10,0,2020-02-05 22:00:00,2020-02-05,11,4
139,10,0,2020-02-04 21:00:00,2020-02-04,12,3
127,2,0,2020-02-03 21:00:00,2020-02-03,16,2
111,2,0,2020-02-02 21:00:00,2020-02-02,23,1
88,2,0,2020-02-01 11:00:00,2020-02-01,1,0
87,2,0,2020-01-31 13:30:00,2020-01-31,9,0
78,2,0,2020-01-30 13:00:00,2020-01-30,20,0
58,2,0,2020-01-29 15:00:00,2020-01-29,7,0
51,0,0,2020-01-28 12:30:00,2020-01-28,5,0
46,0,0,2020-01-27 15:00:00,2020-01-27,13,0
33,0,0,2020-01-26 14:00:00,2020-01-26,10,0
23,0,0,2020-01-25 16:00:00,2020-01-25,10,0
13,0,0,2020-01-24 16:00:00,2020-01-24,8,0
5,0,0,2020-01-23 16:00:00,2020-01-23,3,0
2,0,0,2020-01-22 16:00:00,2020-01-22,2,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0,0
