Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
23248,3382,947,2020-07-06 22:00:00,2020-07-06,747,88,27,92,52
22501,3330,920,2020-07-05 22:00:00,2020-07-05,1208,87,40,91,15
21293,3315,880,2020-07-04 22:00:00,2020-07-04,1221,86,37,90,36
20072,3279,843,2020-07-03 22:00:00,2020-07-03,1061,85,26,89,48
19011,3231,817,2020-07-02 22:00:00,2020-07-02,915,84,44,88,37
18096,3194,773,2020-07-01 22:00:00,2020-07-01,687,83,27,87,24
17409,3170,746,2020-06-30 22:00:00,2020-06-30,479,82,19,86,18
16930,3152,727,2020-06-29 22:00:00,2020-06-29,533,81,21,85,29
16397,3123,706,2020-06-28 22:00:00,2020-06-28,569,80,34,84,95
15828,3028,672,2020-06-27 22:00:00,2020-06-27,209,79,49,83,79
15619,2949,623,2020-06-26 22:00:00,2020-06-26,800,78,22,82,19
14819,2930,601,2020-06-25 22:00:00,2020-06-25,279,77,19,81,33
14540,2897,582,2020-06-24 22:00:00,2020-06-24,771,76,35,80,79
13769,2818,547,2020-06-23 22:00:00,2020-06-23,624,75,16,79,107
13145,2711,531,2020-06-22 22:00:00,2020-06-22,390,74,17,78,153
12755,2558,514,2020-06-21 22:00:00,2020-06-21,246,73,31,77,139
12509,2419,483,2020-06-20 22:00:00,2020-06-20,641,72,34,76,129
11868,2290,449,2020-06-19 22:00:00,2020-06-19,617,71,17,75,90
11251,2200,432,2020-06-18 22:00:00,2020-06-18,545,70,14,74,104
10706,2096,418,2020-06-17 22:00:00,2020-06-17,434,69,19,73,130
10272,1966,399,2020-06-16 22:00:00,2020-06-16,427,68,15,72,80
9845,1886,384,2020-06-15 22:00:00,2020-06-15,354,67,17,71,82
9491,1804,367,2020-06-14 22:00:00,2020-06-14,509,66,16,70,102
8982,1702,351,2020-06-13 22:00:00,2020-06-13,421,65,17,69,135
8561,1567,334,2020-06-12 22:00:00,2020-06-12,340,64,18,68,63
8221,1504,316,2020-06-11 22:00:00,2020-06-11,355,63,27,67,91
7866,1413,289,2020-06-10 22:00:00,2020-06-10,364,62,22,66,90
7502,1323,267,2020-06-09 22:00:00,2020-06-09,447,61,15,65,62
7055,1261,252,2020-06-08 22:00:00,2020-06-08,263,60,22,64,128
6792,1133,230,2020-06-07 22:00:00,2020-06-07,307,59,14,63,80
6485,1053,216,2020-06-06 22:00:00,2020-06-06,331,58,58,62,74
6154,979,158,2020-06-05 22:00:00,2020-06-05,394,57,15,61,50
5760,929,143,2020-06-04 22:00:00,2020-06-04,174,56,20,60,105
5586,824,123,2020-06-03 22:00:00,2020-06-03,250,55,7,59,29
5336,795,116,2020-06-02 22:00:00,2020-06-02,249,54,8,58,60
5087,735,108,2020-06-01 22:00:00,2020-06-01,348,53,6,57,29
4739,706,102,2020-05-31 22:00:00,2020-05-31,132,52,12,56,58
4607,648,90,2020-05-30 22:00:00,2020-05-30,259,51,10,55,83
4348,565,80,2020-05-29 22:00:00,2020-05-29,203,50,12,54,72
4145,493,68,2020-05-28 22:00:00,2020-05-28,191,49,5,53,204
3954,289,63,2020-05-27 22:00:00,2020-05-27,194,48,4,52,15
3760,274,59,2020-05-26 22:00:00,2020-05-26,336,47,1,51,16
3424,258,58,2020-05-25 22:00:00,2020-05-25,370,46,3,50,14
3054,244,55,2020-05-24 22:00:00,2020-05-24,311,45,4,49,22
2743,222,51,2020-05-23 22:00:00,2020-05-23,231,44,3,48,0
2512,222,48,2020-05-22 22:00:00,2020-05-22,247,43,3,47,63
2265,159,45,2020-05-21 22:00:00,2020-05-21,132,42,2,46,4
2133,155,43,2020-05-20 22:00:00,2020-05-20,132,41,5,45,16
2001,139,38,2020-05-19 22:00:00,2020-05-19,89,40,3,44,1
1912,138,35,2020-05-18 22:00:00,2020-05-18,149,39,2,43,0
1763,138,33,2020-05-17 22:00:00,2020-05-17,120,38,3,42,3
1643,135,30,2020-05-16 22:00:00,2020-05-16,125,37,1,41,6
1518,129,29,2020-05-15 22:00:00,2020-05-15,176,36,0,40,8
1342,121,29,2020-05-14 22:00:00,2020-05-14,143,35,2,39,1
1199,120,27,2020-05-13 22:00:00,2020-05-13,85,34,1,38,9
1114,111,26,2020-05-12 22:00:00,2020-05-12,62,33,0,37,1
1052,110,26,2020-05-11 22:00:00,2020-05-11,85,32,2,36,6
967,104,24,2020-05-10 22:00:00,2020-05-10,67,31,0,35,3
900,101,24,2020-05-09 22:00:00,2020-05-09,68,30,1,34,11
832,90,23,2020-05-08 22:00:00,2020-05-08,34,29,2,33,4
798,86,21,2020-05-07 22:00:00,2020-05-07,35,28,2,32,7
763,79,19,2020-05-06 22:00:00,2020-05-06,33,27,0,31,0
