Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
137,62,11,2020-05-26 22:00:00,2020-05-26,2,16,1,55,0
135,62,10,2020-05-25 22:00:00,2020-05-25,8,15,0,54,4
127,58,10,2020-05-24 22:00:00,2020-05-24,0,14,0,53,1
127,57,10,2020-05-23 22:00:00,2020-05-23,0,13,0,52,0
127,57,10,2020-05-22 22:00:00,2020-05-22,2,12,0,51,10
125,47,10,2020-05-21 22:00:00,2020-05-21,0,11,0,50,1
125,46,10,2020-05-20 22:00:00,2020-05-20,1,10,0,49,1
124,45,10,2020-05-19 22:00:00,2020-05-19,7,9,0,48,2
117,43,10,2020-05-18 22:00:00,2020-05-18,0,8,0,47,0
117,43,10,2020-05-17 22:00:00,2020-05-17,1,7,0,46,0
116,43,10,2020-05-16 22:00:00,2020-05-16,3,6,0,45,1
113,42,10,2020-05-15 22:00:00,2020-05-15,0,5,0,44,1
113,41,10,2020-05-14 22:00:00,2020-05-14,0,4,0,43,5
113,36,10,2020-05-13 22:00:00,2020-05-13,4,3,0,42,0
109,36,10,2020-05-12 22:00:00,2020-05-12,5,2,0,41,1
104,35,10,2020-05-11 22:00:00,2020-05-11,7,1,0,40,0
97,35,10,2020-05-10 22:00:00,2020-05-10,3,0,0,39,0
94,35,10,2020-05-09 22:00:00,2020-05-09,1,0,0,38,1
93,34,10,2020-05-08 22:00:00,2020-05-08,0,0,0,37,7
93,27,10,2020-05-07 22:00:00,2020-05-07,0,0,0,36,0
93,27,10,2020-05-06 22:00:00,2020-05-06,1,0,1,35,0
92,27,9,2020-05-05 22:00:00,2020-05-05,10,0,0,34,5
82,22,9,2020-05-04 22:00:00,2020-05-04,0,0,0,33,0
82,22,9,2020-05-03 22:00:00,2020-05-03,0,0,0,32,0
82,22,9,2020-05-02 22:00:00,2020-05-02,0,0,0,31,0
82,22,9,2020-05-01 22:00:00,2020-05-01,4,0,1,30,4
78,18,8,2020-04-30 22:00:00,2020-04-30,4,0,0,29,3
74,15,8,2020-04-29 22:00:00,2020-04-29,0,0,0,28,0
74,15,8,2020-04-28 22:00:00,2020-04-28,0,0,0,27,3
74,12,8,2020-04-27 22:00:00,2020-04-27,0,0,0,26,0
74,12,8,2020-04-26 22:00:00,2020-04-26,1,0,1,25,0
73,12,7,2020-04-25 22:00:00,2020-04-25,3,0,0,24,0
70,12,7,2020-04-24 22:00:00,2020-04-24,3,0,0,23,3
67,9,7,2020-04-23 22:00:00,2020-04-23,1,0,0,22,0
66,9,7,2020-04-22 22:00:00,2020-04-22,0,0,0,21,0
66,9,7,2020-04-21 22:00:00,2020-04-21,1,0,0,20,0
65,9,7,2020-04-20 22:00:00,2020-04-20,2,0,1,19,0
63,9,6,2020-04-19 22:00:00,2020-04-19,0,0,0,18,0
63,9,6,2020-04-18 22:00:00,2020-04-18,6,0,0,17,0
57,9,6,2020-04-17 22:00:00,2020-04-17,2,0,0,16,1
55,8,6,2020-04-16 22:00:00,2020-04-16,8,0,0,15,0
47,8,6,2020-04-15 22:00:00,2020-04-15,0,0,0,14,0
47,8,6,2020-04-14 22:00:00,2020-04-14,2,0,0,13,0
45,8,6,2020-04-13 22:00:00,2020-04-13,0,0,0,12,0
45,8,6,2020-04-12 22:00:00,2020-04-12,5,0,0,11,0
40,8,6,2020-04-11 22:00:00,2020-04-11,3,0,0,10,0
37,8,6,2020-04-10 22:00:00,2020-04-10,0,0,0,9,0
37,8,6,2020-04-09 22:00:00,2020-04-09,4,0,1,8,0
33,8,5,2020-04-08 22:00:00,2020-04-08,2,0,0,7,0
31,8,5,2020-04-07 22:00:00,2020-04-07,2,0,1,6,8
29,0,4,2020-04-06 22:00:00,2020-04-06,5,0,0,5,0
24,0,4,2020-04-05 22:00:00,2020-04-05,1,0,0,4,0
23,0,4,2020-04-04 21:00:00,2020-04-04,4,0,0,3,0
19,0,4,2020-04-03 21:00:00,2020-04-03,0,0,0,2,0
19,0,4,2020-04-02 21:00:00,2020-04-02,7,0,2,1,0
12,0,2,2020-04-01 21:00:00,2020-04-01,4,0,1,0,0
8,0,1,2020-03-31 21:00:00,2020-03-31,0,0,0,0,0
8,0,1,2020-03-30 21:00:00,2020-03-30,0,0,0,0,0
8,0,1,2020-03-29 21:00:00,2020-03-29,3,0,0,0,0
5,0,1,2020-03-28 21:00:00,2020-03-28,0,0,0,0,0
5,0,1,2020-03-27 21:10:00,2020-03-27,0,0,0,0,0
5,0,1,2020-03-26 22:20:00,2020-03-26,0,0,0,0,0
5,0,1,2020-03-25 23:20:00,2020-03-25,-15,0,0,0,0
20,0,1,2020-03-24 21:20:00,2020-03-24,1,0,0,0,0
19,0,1,2020-03-23 21:40:00,2020-03-23,1,0,0,0,0
18,0,1,2020-03-22 21:00:00,2020-03-22,3,0,0,0,0
15,0,1,2020-03-21 21:00:00,2020-03-21,10,0,0,0,0
5,0,1,2020-03-20 21:20:00,2020-03-20,1,0,0,0,0
4,0,1,2020-03-19 21:30:00,2020-03-19,-7,0,0,0,0
11,0,1,2020-03-18 22:00:00,2020-03-18,4,0,0,0,0
7,0,1,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
7,0,1,2020-03-16 21:00:00,2020-03-16,6,0,0,0,0
1,0,1,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
1,0,1,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
1,0,1,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
1,0,1,2020-03-12 21:00:00,2020-03-12,1,0,1,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
